"Grouped Products","المنتجات المجمعة"
"Please specify the quantity of product(s).","الرجاء تحديد كمية المنتج (المنتجات)."
"Cannot process the item.","لا يمكن معالجة هذا المنتج."
"Add Products to Group","إضافة المنتجات للمجموعة"
"Cancel","إلغاء"
"Add Selected Products","إضافة منتجات مختارة"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","تتكون منتج مجمعة من منتجات مستقلة متعددة، التي تقدم كمجموعة. يمكنك تقديم أشكال مختلفة منتج واحد أو مجموعة منهم حسب الموسم أو موضوع لإنشاء مجموعة منسقة. ويمكن شراء كل منتج على حدة، أو كجزء من المجموعة."
"Remove","ازالة"
"ID","التعريف"
"Thumbnail","صورة مصغره"
"Name","اسم"
"Attribute Set","مجموعة السمة"
"Status","الحاله"
"SKU","رمز المنتج"
"Price","السعر"
"Default Quantity","الكمية الافتراضية"
"Actions","اعمال"
"Associated Products","المنتجات المرتبطه بها"
"Availability:","متوفر:"
"Out of stock","غير متوفر بالمخزن"
"Product Name","اسم المنتج"
"Qty","الكميّة"
"No options of this product are available.","لا توجد خيارات متوفرة لهذا المنتج."
"There are no grouped products.","There are no grouped products."
"Default Qty","الكمية الافتراضية"
"Starting at","Starting at"
"Availability","التوفر"
"In stock","متوفر"
"Grouped product items","Grouped product items"
"Grouped Product Image","تجميع صورة المنتج"
"Select...","اختر..."
"Type","النوع"
"Quantity","الكمية"
"AttributeSetText","نص تعيين السمة"
"StatusText","نص الحالة"
"Position","Position"
