"Grouped Products","Груписани производи"
"Please specify the quantity of product(s).","Изаберите количину производа."
"Cannot process the item.","Не може процесс тхе итем."
"Add Products to Group","Додавај производе у групу"
"Cancel","Откажи"
"Add Selected Products","Додати изабране производе"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Уклони"
"ID","ИД"
"Thumbnail","Сличице"
"Name","Име"
"Attribute Set","Скуп атрибута"
"Status","Статус"
"SKU","Шифра"
"Price","Цена"
"Default Quantity","Подразумевана количина"
"Actions","Радње"
"Associated Products","Придружени Производи"
"Availability:","Доступност:"
"Out of stock","Нема на лагеру"
"Product Name","Назив производа"
"Qty","Кол"
"No options of this product are available.","Ни једна опција за овај производ није доступна."
"There are no grouped products.","Нема груписаних производа."
"Default Qty","Подразумевано Кол"
"Starting at","Почев од"
"Availability","Доступност"
"In stock","На стању"
"Grouped product items","Grouped product items"
"Grouped Product Image","Гроупед Производ Слика"
"Select...","Изабрати..."
"Type","Тип"
"Quantity","Количина"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Позиција"
