"Downloadable Information","Download de Informação"
"Add New Link","Adicionar Novo Link"
"Upload Files","Carregar Ficheiros"
"All Files","Todos os arquivos"
"Unlimited","Ilimitado"
"Something went wrong while getting the requested content.","Algo correu mal ao obter o conteúdo solicitado."
"My Downloadable Products","Os meus Produtos para Download"
"We can't find the link you requested.","Não conseguimos encontrar o link pedido."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Por favor inicie sessão para fazer download do seu produto ou compre <a href=""%1"">%2</a>."
"Please sign in to download your product.","Por favor entre na sua conta para fazer o download do seu produto."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpe, houve um erro ao obter o conteúdo solicitado. Por favor contacte o dono da loja."
"Please set resource file and link type.","Por favor defina o ficheiro de recurso e o tipo de link."
"Invalid download link type.","Tipo de link de download inválido."
"Something went wrong while saving the file(s).","Algo correu mal ao gravar o(s) arquivo(s)."
"Provided content must be valid base64 encoded data.","Conteúdo fornecido deve ser codificado com dados base64 válidos."
"Provided file name contains forbidden characters.","O nome do ficheiro fornecido contém caracteres proibidos."
"Link file not provided","Link do ficheiro não fornecido"
"Link price must have numeric positive value.","O preço do link deve ter um valor numérico positivo."
"Number of downloads must be a positive integer.","O número de downloads deve ser um número inteiro positivo."
"Sort order must be a positive integer.","A ordem de classificação deve ser um número inteiro positivo."
"Link URL must have valid format.","O URL do link deve ter um formato válido."
"Provided file content must be valid base64 encoded data.","O conteúdo fornecido deve ser devidamente codificado através de base64."
"Sample URL must have valid format.","O URL da Amostra deve ter um formato válido."
"Order id cannot be null","O id da encomenda não pode ser null"
"Order item id cannot be null","O id do item da encomenda não pode ser null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Sample file not provided","Ficheiro de exemplo não fornecido"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Sim"
"No","Não"
"Use config","Usar configuração"
"Upload File","Carregar ficheiro"
"URL","URL"
"attachment","anexo"
"inline","inline"
"Pending","Pendente"
"Invoiced","Faturada"
"To enable the option set the weight to no","Para ativar a opção defina o peso para ""não"""
"Is this downloadable Product?","Isto é um Produto com download?"
"Links","Links"
"Title","Título"
"Links can be purchased separately","Os Links podem ser comprados em separado"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","São recomendados caracteres alfanumérico, hífens e underscores para nomes de ficheiro. Caracteres impróprios são substituídos com '_'."
"Add Link","Adicionar Link"
"Price","Preço"
"File","Ficheiro"
"Sample","Amostra"
"Shareable","Partilhável"
"Max. Downloads","Máx. Downloads"
"Samples","Amostras"
"Use Default Value","Usar o Valor Pré-definido"
"sample","amostra"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Adicione links aos seus ficheiros de produto aqui."
"[STORE VIEW]","[VISTA DE LOJA]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Ordenação"
"Attach File or Enter Link","Anexar Ficheiro ou Inserir Link"
"Sort Variations","Ordenar Variações"
"Browse Files...","Procurar Ficheiros..."
"Delete","Eliminar"
"Add product preview files here.","Adicione ficheiros de pré-visualização do produto aqui."
"SKU","REF"
"U","U"
"Select all","Selecionar tudo"
"Unselect all","Desmarcar tudo"
"Availability","Disponibilidade"
"In stock","Em stock"
"Out of stock","Esgotado"
"Go to <a href=""%1"">My Downloadable Products</a>","Ir para <a href=""%1"">Os Meus Produtos com Download</a>"
"Downloadable Products","Produtos com Download"
"Order #","Encomenda #"
"Date","Data"
"Status","Estado"
"Remaining Downloads","Downloads Restantes"
"View Order","Ver Encomenda"
"Start Download","Iniciar Download"
"You have not purchased any downloadable products yet.","Ainda não comprou nenhum produto passível de download."
"Back","Voltar"
"download","download"
"Gift Message","Mensagem da Oferta"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Product Name","Nome do Produto"
"Qty","Qtd"
"Subtotal","Subtotal"
"Discount Amount","Desconto"
"Row Total","Total da Linha"
"Qty Invoiced","Qtd Faturada"
"Ordered","Encomendada"
"Shipped","Enviada"
"Canceled","Cancelada"
"Refunded","Reembolsada"
"We could not detect a size.","Não foi possível detetar um tamanho."
"Downloadable Product Section","Seção de Produtos com Download"
"Downloads","Downloads"
"Downloadable Product Options","Opções de Produto com Download"
"Order Item Status to Enable Downloads","Estado do Item da Encomenda para Ativar Downloads"
