"Downloadable Information","Downloadbare informatie"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriek- (a-z en A-Z), streepje- (-) en underscore- (_) karakters zijn aanbevolen voor bestandnamen. Ongeldige karakters worden vervangen door een underscore (_)."
"Add Link","Link toevoegen"
"Price","prijs"
"File","Bestand"
"Sample","demo"
"Shareable","Deelbaar"
"Max. Downloads","Max. downloads"
"Samples","Demo's"
"Use Default Value","Gebruik standaard waarde"
"sample","voorbeeld"
"Is this a downloadable Product?","Is dit een downloadbaar product?"
"Add links to your product files here.","Voeg links naar uw productbestanden hier toe."
"[STORE VIEW]","[WINKELAANZICHT]"
"[GLOBAL]","[GLOBAAL]"
"Sort Order","Sorteervolgorde"
"Attach File or Enter Link","Bestand toevoegen of voer link in"
"Sort Variations","Sorteer variaties"
"Browse Files...","Blader door bestanden..."
"Delete","Verwijder"
"Add product preview files here.","Voeg productvoorvertoningsbestanden hier toe."
"SKU","Art.nr."
"U","U"
"Select all","Alles selecteren"
"Unselect all","Selectie ongedaan maken"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Go to <a href=""%1"">My Downloadable Products</a>","Ga naar <a href=""%1"">Downloads</a>"
"Downloadable Products","Download-producten"
"Order #","Ordernr."
"Date","Datum"
"Status","status"
"Remaining Downloads","Resterende downloads"
"View Order","Bestelling bekijken"
"Start Download","Start het downloaden"
"You have not purchased any downloadable products yet.","U hebt nog geen producten besteld die u kunt downloaden."
"Back","Terug"
"download","downloaden"
"Gift Message","Cadeau-bericht"
"From:","Van:"
"To:","Tot:"
"Message:","Bericht:"
"Product Name","Product Naam"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Discount Amount","Korting"
"Row Total","Rijtotaal"
"Qty Invoiced","Gefactureerd aantal"
"Ordered","Besteld"
"Shipped","Verzonden"
"Canceled","Geannuleerd"
"Refunded","Teruggestort"
"We could not detect a size.","We kunnen geen grootte detecteren."
"Downloadable Product Section","Downloadbare producten sectie"
"Downloads","Downloads"
"Downloadable Product Options","Opties download-product"
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Default Link Title","Standaard-linktitel"
"Open Links in New Window","Links openen in nieuw venster"
"Use Content-Disposition","Gebruik Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagen download-producten bevat."
"Guest checkout will only work with shareable.","Afrekenen als gast werk alleen met deelbare producten"
"Product type of the product must be 'downloadable'.","Producttype van het product moet zijn 'downloaden'."
"The product needs to be the downloadable type. Verify the product and try again.","Het product moet het downloadbare type zijn. Controleer het product en probeer het opnieuw."
"The link information is invalid. Verify the link and try again.","De link-informatie is ongeldig. Controleer de link en probeer het opnieuw."
"The link type is invalid. Verify and try again.","Het link-type is ongeldig. Controleer en probeer het opnieuw."
"The link title is empty. Enter the link title and try again.","De titel voor de link is leeg. Voer de titel voor de link in en probeer het opnieuw."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Er is geen downloadbare link gevonden met de opgegeven ID. Controleer de ID en probeer het opnieuw."
"The downloadable link isn't related to the product. Verify the link and try again.","De downloadbare link is niet gerelateerd aan het product. Controleer de link en probeer het opnieuw."
"The link with ""%1"" ID can't be deleted.","De link met ID ""%1"" kan niet worden verwijderd."
"The sample information is invalid. Verify the information and try again.","De voorbeeldinformatie is ongeldig. Controleer de informatie en probeer het opnieuw."
"The sample type is invalid. Verify the sample type and try again.","Het voorbeeldtype is ongeldig. Controleer het voorbeeldtype en probeer het opnieuw."
"The sample title is empty. Enter the title and try again.","De voorbeeldtitel is leeg. Voer de titel in en probeer het opnieuw."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Geen downloadbare voorbeeld met de opgegeven ID gevonden. Controleer het ID en probeer het opnieuw."
"The downloadable sample isn't related to the product. Verify the link and try again.","Het downloadbare voorbeeld is niet gerelateerd aan het product. Controleer de link en probeer het opnieuw."
"The sample with ""%1"" ID can't be deleted.","Het voorbeeld met ID ""%1"" kan niet worden verwijderd."
