"Downloadable Information","Informazioni scaricabile"
"Add New Link","Aggiungi nuovo link"
"Upload Files","Carica i file"
"All Files","Tutti i file"
"Unlimited","Illimitato"
"Something went wrong while getting the requested content.","Qualcosa è andato storto durante il recupero del contenuto richiesto."
"My Downloadable Products","Prodotti scaricabili"
"We can't find the link you requested.","Impossibile trovare il link richiesto."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Registrati per acquistare o scaricare il tuo prodotto <a href=""%1"">%2</a>."
"Please sign in to download your product.","Registrati per scaricare il tuo prodotto."
"The link has expired.","Il link è scaduto."
"The link is not available.","Il link non è disponibile."
"Sorry, there was an error getting requested content. Please contact the store owner.","Si è verificato un errore durante il recupero il contenuto richiesto. Si prega di contattare il proprietario del negozio."
"Please set resource file and link type.","Imposta file risorsa e tipo link."
"Invalid download link type.","Tipo di link per il download non valido."
"Something went wrong while saving the file(s).","Qualcosa è andato storto durante il salvataggio del(i) file."
"Provided content must be valid base64 encoded data.","Contenuto fornito deve essere composto da dati con codifica base64 validi."
"Provided file name contains forbidden characters.","Il nome file fornito contiene caratteri non consentiti."
"Link file not provided","File di collegamento non fornito"
"Link price must have numeric positive value.","Il prezzo del link deve avere un valore numerico positivo."
"Number of downloads must be a positive integer.","Numero di download deve essere un numero intero positivo."
"Sort order must be a positive integer.","L'ordinamento deve essere un numero intero positivo."
"Link URL must have valid format.","L'URL del link deve avere un formato valido."
"Provided file content must be valid base64 encoded data.","Contenuto del file fornito deve avere i dati con codifica base64 validi."
"Sample URL must have valid format.","L'URL di esempio deve avere un formato valido."
"Order id cannot be null","Id ordine non può essere nullo"
"Order item id cannot be null","ID elemento ordine non può essere nullo"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Specifica i link prodotto."
"Sample file not provided","File di esempio non fornito"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Sì"
"No","No"
"Use config","Utilizzare config"
"Upload File","Carica file"
"URL","URL"
"attachment","allegato"
"inline","inline"
"Pending","In attesa"
"Invoiced","Fatturati"
"To enable the option set the weight to no","Per attivare l'opzione impostare il peso a no"
"Is this downloadable Product?","È questo prodotto scaricabile?"
"Links","Links"
"Title","Titolo"
"Links can be purchased separately","I link possono essere acquistati separatamente"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumerici, trattini e caratteri di sottolineatura sono consigliati per i nomi dei file. Caratteri impopri vengono sostituiti con '_'."
"Add Link","Aggiungi un link"
"Price","Prezzo"
"File","File"
"Sample","Esempio"
"Shareable","Condivisibile"
"Max. Downloads","Downloads massimi"
"Samples","Esempi"
"Use Default Value","Usa il valore predefinito"
"sample","esempio"
"Is this a downloadable Product?","Questo è un prodotto scaricabile?"
"Add links to your product files here.","Aggiungi link ai file prodotto qui."
"[STORE VIEW]","[VISTA NEGOZIO]"
"[GLOBAL]","[GLOBALE]"
"Sort Order","Ordinamento"
"Attach File or Enter Link","Allega un file o inserisci un link"
"Sort Variations","Ordina varianti"
"Browse Files...","Sfoglia i file..."
"Delete","Elimina"
"Add product preview files here.","Aggiungi i file di anteprima prodotto qui."
"SKU","Cod.Art."
"U","U"
"Select all","Seleziona tutto"
"Unselect all","Deseleziona tutto"
"Availability","Disponibilita'"
"In stock","Disponibile"
"Out of stock","Non Disponibile"
"Go to <a href=""%1"">My Downloadable Products</a>","Vai ai <a href=""%1"">Prodotti scaricabili</a>"
"Downloadable Products","Prodotti scaricabili"
"Order #","Ordine n. "
"Date","Data"
"Status","Stato"
"Remaining Downloads","Donwloads disponibili"
"View Order","Visualizza ordine"
"Start Download","Avvia Download"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato nessun prodotto scaricabile."
"Back","Indietro"
"download","download"
"Gift Message","Messaggio regalo"
"From:","Da:"
"To:","A:"
"Message:","Messaggio:"
"Product Name","Nome prodotto"
"Qty","Qtà"
"Subtotal","Subtotale"
"Discount Amount","Sconto quantità"
"Row Total","Totale riga"
"Qty Invoiced","Qtà fatturata"
"Ordered","Ordinato"
"Shipped","Spediti"
"Canceled","Cancellato"
"Refunded","Rimborsati"
"We could not detect a size.","Non è possibile individuare una dimensione."
"Downloadable Product Section","Sezione Prodotti Scaricabili"
"Downloads","Downloads"
"Downloadable Product Options","Opzioni prodotto scaricabile"
"Order Item Status to Enable Downloads","Status elemento ordine per Abilitare i download"
"Default Maximum Number of Downloads","Numero massimo predefinito di download"
"Default Sample Title","Titolo di esempio predefinito"
"Default Link Title","Link titolo predefinito"
"Open Links in New Window","Apri link in una nuova finestra"
"Use Content-Disposition","Usa disposizione contenuto"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disattiva Checkout per ospiti se il carrello contiene prodotti scaricabili"
"Guest checkout will only work with shareable.","Il checkout per ospiti funzionerà solo se è condivisibile."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
