"Downloadable Information","מידע להורדה"
"Add New Link","הוסף קישור חדש"
"Upload Files","העלאת קבצים"
"All Files","כל הקבצים"
"Unlimited","בלתי מוגבל"
"Something went wrong while getting the requested content.","משהו השתבש בעת קבלת התוכן המבוקש."
"My Downloadable Products","המוצרים להורדה שלי"
"We can't find the link you requested.","אנחנו לא מסוגלים למצוא את הקישור המבוקש."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","אנא התחבר כדי להוריד את המוצר או לרכוש <a href=""%1"">%2</a>."
"Please sign in to download your product.","אנא התחבר לחשבון כדי להוריד את המוצר שלך."
"The link has expired.","הקישור פג תוקף."
"The link is not available.","הקישור אינו זמין."
"Sorry, there was an error getting requested content. Please contact the store owner.","מצטערים, הייתה שגיאה בקבלת התוכן המבוקש. נא ליצור קשר עם בעל החנות."
"Please set resource file and link type.","אנא הגדר את קובץ המקור וסוג הקישור."
"Invalid download link type.","סוג הקישור להורדה לא חוקי."
"Something went wrong while saving the file(s).","משהו השתבש בעת שמירת הקבצים."
"Provided content must be valid base64 encoded data.","תוכן שסופק חייב להיות נתונים המקודדים באמצעות base64 בתוקף."
"Provided file name contains forbidden characters.","שם הקובץ שהתקבל מכיל תווים אסורים."
"Link file not provided","קובץ קישור לא התקבל"
"Link price must have numeric positive value.","קישור המחיר חייב להיות ערך חיובי מספרי."
"Number of downloads must be a positive integer.","מספר ההורדות חייב להיות מספר שלם חיובי."
"Sort order must be a positive integer.","סדר המיון חייב להיות מספר שלם חיובי."
"Link URL must have valid format.","קישור URL חייב להיות בתבנית חוקית."
"Provided file content must be valid base64 encoded data.","הקובץ שהתקבל חייב להיות נתונים המקודדים באמצעות base64 בתוקף."
"Sample URL must have valid format.","לדוגמה URL חייב להיות בתבנית חוקית."
"Order id cannot be null","מזהה ההזמנה אינו יכול להיות ריק"
"Order item id cannot be null","מזהה פריט סדר אינו יכול להיות ריק"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","נא ציין את קישורי המוצר."
"Sample file not provided","הקובץ לדוגמה לא התקבל"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","כן"
"No","לא"
"Use config","השתמש בהגדרה"
"Upload File","העלה קובץ"
"URL","כתובות URL"
"attachment","מצורף"
"inline","בתוך השורה"
"Pending","ממתינה"
"Invoiced","חויב"
"To enable the option set the weight to no","כדי לאפשר את האפשרות יש לסמן את המשקל בערך ״לא״"
"Is this downloadable Product?","האם זה מוצר להורדה?"
"Links","קישורים"
"Title","כותרת"
"Links can be purchased separately","קישורים ניתן לרכוש בנפרד"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","אותיות אלפא-נומריים, מקף ותווים תחתון מומלץ עבור הגדרת שמות קבצים. תווים לא תקין, הוחלפו ב '_'."
"Add Link","הוספת קישור"
"Price","מחיר"
"File","קובץ"
"Sample","דוגמה"
"Shareable","ניתן לשיתוף"
"Max. Downloads","מקסימום הורדות"
"Samples","דגימות"
"Use Default Value","השתמש בערך ברירת המחדל"
"sample","דוגמית"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","הוסף קישורים לקבצים המוצר שלך כאן."
"[STORE VIEW]","[תצוגת חנות]"
"[GLOBAL]","[גלובלי]"
"Sort Order","סדר מיון"
"Attach File or Enter Link","צרף קובץ או הזינו קישור"
"Sort Variations","מיון וריאציות"
