"Downloadable Information","可下载的信息"
"Add New Link","添加新的链接"
"Upload Files","上传文件"
"All Files","所有文本"
"Unlimited","无限"
"Something went wrong while getting the requested content.","在得到请求的内容时出现了问题"
"My Downloadable Products","我下载的产品"
"We can't find the link you requested.","我们找不到您请求的链接。"
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","请登录以下载您的产品或购买 <a href=""%1"">%2</a>。"
"Please sign in to download your product.","请登录后下载您的产品。"
"The link has expired.","链接已过期。"
"The link is not available.","链接不可用。"
"Sorry, there was an error getting requested content. Please contact the store owner.","对不起，这里有一个错误被请求的内容。请与店主联系。"
"Please set resource file and link type.","请设置资源文件和链接类型。"
"Invalid download link type.","无效下载链接类型。"
"Something went wrong while saving the file(s).","在保存文件(s)时出现了问题"
"Provided content must be valid base64 encoded data.","提供的内容必须是有效的 base64 编码数据。"
"Provided file name contains forbidden characters.","提供的文件名称，包含禁用的字符。"
"Link file not provided","不提供链接文件"
"Link price must have numeric positive value.","链接价格必须有正的数值。"
"Number of downloads must be a positive integer.","下载次数必须是一个正整数。"
"Sort order must be a positive integer.","排序顺序必须是一个正整数。"
"Link URL must have valid format.","链接的 URL 必须有有效的格式。"
"Provided file content must be valid base64 encoded data.","提供的内容必须是有效的 base64 编码数据。"
"Sample URL must have valid format.","样品的 URL 必须有有效的格式。"
"Order id cannot be null","订单 id 不能为空"
"Order item id cannot be null","订单项目 id 不能为空"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","请指定产品链接。"
"Sample file not provided","不提供示例文件"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
