"Downloadable Information","اطلاعات قابل دانلود"
"Add New Link","افزودن لینک جدید"
"Upload Files","بارگذاری فایل ها"
"All Files","همه‌ فایل‌ ها"
"Unlimited","نامحدود"
"Something went wrong while getting the requested content.","در هنگام دریافت محتوای درخواستی خطایی رخ داده است."
"My Downloadable Products","محصولات قابل دانلود من"
"We can't find the link you requested.","ما نمی توانیم لینک درخواستی شما را پیدا کنیم."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","لطفا برای دانلود محصول یا خرید <a href=""%1"">%2</a> وارد سیستم شوید."
"Please sign in to download your product.","برای دانلود محصولتان لطفا وارد شوید."
"The link has expired.","لینک منقضی شده است."
"The link is not available.","لینک در دسترس نیست."
"Sorry, there was an error getting requested content. Please contact the store owner.","با عرض پوزش، خطایی در گرفتن محتوای درخواستی وجود دارد. لطفا با مالک فروشگاه تماس بگیرید."
"Please set resource file and link type.","لطفا فایل منبع و نوع لینک را تنظیم نمایید."
"Invalid download link type.","نوع لینک دانلود نامعتبر است."
"Something went wrong while saving the file(s).","هنگام ذخیره فایل (ها) مشکلی پیش آمد."
"Provided content must be valid base64 encoded data.","محتوای ارائه شده باید از نوع داده کد شده معتبر base64 باشد."
"Provided file name contains forbidden characters.","نام فایل ارائه شده شامل کاراکترهای های ممنوعه است."
"Link file not provided","فایل لینک ارائه نشده است"
"Link price must have numeric positive value.","لینک قیمت باید مقدار مثبت عددی داشته باشد."
"Number of downloads must be a positive integer.","تعداد دانلودها باید یک عدد صحیح مثبت باشد."
"Sort order must be a positive integer.","مرتب سازی باید یک عدد صحیح مثبت باشد."
"Link URL must have valid format.","لینک URL باید دارای قالب معتبر باشد."
"Provided file content must be valid base64 encoded data.","محتوای فایل ارائه شده باید از نوع داده کد شده معتبر base64 باشد."
"Sample URL must have valid format.","URL نمونه باید فرمت معتبر داشته باشد."
"Order id cannot be null","شناسه سفارش نمی تواند خالی باشد"
"Order item id cannot be null","شناسه سفارش محصول نمی تواند خالی باشد"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
