"Downloadable Information","Informasi yang dapat didownload"
"Add New Link","Tambahkan Tautan Baru"
"Upload Files","Upload Files"
"All Files","Semua Berkas"
"Unlimited","Tak terbatas"
"Something went wrong while getting the requested content.","Ada yang tidak beres saat mendapatkan konten yang diminta."
"My Downloadable Products","My Downloadable Products"
"We can't find the link you requested.","Kami tidak dapat menemukan tautan yang Anda minta."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>."
"Please sign in to download your product.","Silahkan masuk untuk mendownload produk anda."
"The link has expired.","Tautan telah kedaluwarsa."
"The link is not available.","Tautan tidak tersedia."
"Sorry, there was an error getting requested content. Please contact the store owner.","Maaf, ada kesalahan saat meminta konten. Silahkan hubungi pemilik toko."
"Please set resource file and link type.","Harap atur sumber daya file dan tipe link."
"Invalid download link type.","Jenis tautan unduhan tidak valid."
"Something went wrong while saving the file(s).","Ada yang tidak beres saat menyimpan file(s)."
"Provided content must be valid base64 encoded data.","Asalkan konten base64 harus dikodekan data."
"Provided file name contains forbidden characters.","Nama berkas yang disediakan mengandung karakter terlarang."
"Link file not provided","Tautan file tidak tersedia"
"Link price must have numeric positive value.","Harga link harus memiliki nilai positif numerik."
"Number of downloads must be a positive integer.","Jumlah download harus berupa bilangan bulat positif."
"Sort order must be a positive integer.","Urutan sortir harus berupa bilangan bulat positif."
"Link URL must have valid format.","URL tautan harus memiliki format yang valid."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Sample URL must have valid format.","Contoh URL harus memiliki format yang valid."
"Order id cannot be null","Order id tidak bisa null"
"Order item id cannot be null","Order item id cannot be null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Contoh file tidak tersedia"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Ya"
"No","Tidak"
"Use config","Gunakan config"
"Upload File","Unggah berkas"
"URL","URL"
"attachment","lampiran"
"inline","inline"
"Pending","Ditunda"
"Invoiced","Faktur"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Apakah Produk yang dapat diunduh ini?"
"Links","Links"
"Title","Judul"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Add Link"
"Price","Harga"
"File","Berkas"
"Sample","Mencicipi"
"Shareable","Shareable"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","Gunakan Nilai Default"
"sample","sample"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[TAMPILAN TOKO]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Urutan"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Urutkan Variasi"
"Browse Files...","Telusuri berkas"
"Delete","Hapus"
"Add product preview files here.","Add product preview files here."
"SKU","SKU"
"U","U"
"Select all","Pilih Semua"
"Unselect all","Unselect all"
"Availability","Tersedianya"
"In stock","Dalam Persediaan"
"Out of stock","Persediaan Habis"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Order #","Pesanan #"
"Date","Tanggal"
"Status","Keadaan"
"Remaining Downloads","Download Tersisa"
"View Order","Tampilan Pemesanan"
"Start Download","Mulai mengunduh"
"You have not purchased any downloadable products yet.","Anda belum membeli produk yang dapat diunduh."
"Back","Kembali"
"download","download"
"Gift Message","Pesan hadiah"
"From:","Dari:"
"To:","Untuk:"
"Message:","Pesan:"
"Product Name","Nama Produk"
"Qty","Jumlah"
"Subtotal","Total bagian"
"Discount Amount","Jumlah Diskon"
"Row Total","Jumlah baris"
"Qty Invoiced","Qty ditagih"
"Ordered","Dipesan"
"Shipped","Dikirim"
"Canceled","Dibatalkan"
"Refunded","Dikembalikan"
"We could not detect a size.","Kami tidak bisa mendeteksi ukurannya."
"Downloadable Product Section","Bagian Produk yang dapat diunduh"
"Downloads","Unduhan"
"Downloadable Product Options","Pilihan Produk yang dapat didownload"
"Order Item Status to Enable Downloads","Status Item Pemesanan ke Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Judul Sampel Default"
"Default Link Title","Judul tautan default"
"Open Links in New Window","Buka Tautan di Jendela Baru"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
