"Downloadable Information","Información Descargable"
"Add New Link","Añadir nuevo enlace"
"Upload Files","Subir archivos"
"All Files","Todos los archivos"
"Unlimited","Ilimitado"
"Something went wrong while getting the requested content.","Algo salió mal al obtener el contenido solicitado."
"My Downloadable Products","Artículos para descargar"
"We can't find the link you requested.","No podemos encontrar el link que solicito."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Por favor, acceda a su cuenta para descargar su artículo o compra <a href=""%1"">%2</a>."
"Please sign in to download your product.","Por favor, ingrese a su cuenta para descargar su producto."
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Please set resource file and link type.","Por favor, asigne el archivo de recurso y el tipo de enlace."
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Something went wrong while saving the file(s).","Algo salió mal al guardar los archivos."
"Provided content must be valid base64 encoded data.","El contenido proporcionado debe ser datos base64 codificado válido."
"Provided file name contains forbidden characters.","El nombre del archivo contiene caracteres prohibidos."
"Link file not provided","Archivo de enlace no proporcionado"
"Link price must have numeric positive value.","Precio de enlace debe tener valor numérico positivo."
"Number of downloads must be a positive integer.","Número de descargas debe ser un número entero positivo."
"Sort order must be a positive integer.","Orden de clasificación debe ser un entero positivo."
"Link URL must have valid format.","URL de enlace debe tener formato válido."
"Provided file content must be valid base64 encoded data.","El contenido del archivo proporcionado debe ser datos base64 codificado válido."
"Sample URL must have valid format.","Muestra URL debe tener formato válido."
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de artículo."
"Sample file not provided","Archivo muestra no proporcionado"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Sí"
"No","No 	"
"Use config","Usar config"
"Upload File","Subir archivo"
"URL","URL"
"attachment","documento adjunto"
"inline","en línea"
"Pending","Pendiente"
"Invoiced","Facturado"
"To enable the option set the weight to no","Para habilitar la opción establece el peso a no"
"Is this downloadable Product?","¿Es este producto descargable?"
"Links","Enlaces"
"Title","Título"
"Links can be purchased separately","Los enlaces se puede comprar por separado."
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Se recomiendan los caracteres alfanuméricos, guion y guion bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"Add Link","Añadir enlace"
"Price","Precio"
"File","Archivo"
"Sample","Muestra"
"Shareable","Se puede compartir"
"Max. Downloads","Máximas descargas"
"Samples","Muestras"
"Use Default Value","Usar Valor Predeterminado"
"sample","muestra"
"Is this a downloadable Product?","¿Es un producto descargable?"
"Add links to your product files here.","Añadir enlaces a tus archivos de producto aquí."
"[STORE VIEW]","[VISTA DE TIENDA]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Orden de aparición"
"Attach File or Enter Link","Adjuntar archivo o ingresar enlace"
"Sort Variations","Organizar variaciones"
"Browse Files...","Examinar Archivos..."
"Delete","Borrar"
"Add product preview files here.","Añadir archivos de vista previa del producto aquí."
"SKU","Unidad de mantenimiento de existencias (SKU)"
