"Downloadable Information","Nastavení stažení"
"Add New Link","Přidat nový odkaz"
"Upload Files","Nahrát soubory"
"All Files","Všechny soubory"
"Unlimited","Neomezeno"
"Something went wrong while getting the requested content.","Při získávání požadovaného obsahu nastala chyba."
"My Downloadable Products","Mé produkty ke stažení"
"We can't find the link you requested.","Požadovaný odkaz nelze najít."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Pro stažení produktu se přihlaste nebo kupte <a href=""%1"">%2</a>."
"Please sign in to download your product.","Pro stažení produktu se přihlaste prosím."
"The link has expired.","Platnost odkazu vypršela."
"The link is not available.","Odkaz není dostupný."
"Sorry, there was an error getting requested content. Please contact the store owner.","Při získávání požadovaného obsahu nastala chyba. Obraťte se na vlastníka obchodu."
"Please set resource file and link type.","Nastavte zdrojový soubor a typ odkazu."
"Invalid download link type.","Neplatný typ odkazu ke stažení."
"Something went wrong while saving the file(s).","Při ukládání souboru nastala chyba."
"Provided content must be valid base64 encoded data.","Zadaný obsah musí být platná base64 kódovaná data."
"Provided file name contains forbidden characters.","Název souboru obsahuje nepovolené znaky."
"Link file not provided","Odkazovaný soubor není k dispozici"
"Link price must have numeric positive value.","Cena odkazu musí být kladné číslo."
"Number of downloads must be a positive integer.","Počet stažení musí být celé kladné číslo."
"Sort order must be a positive integer.","Pořadí musí být celé kladné číslo."
"Link URL must have valid format.","URL odkazu musí mít platný formát."
"Provided file content must be valid base64 encoded data.","Poskytnutý obsah souboru musí být platná base64 kódovaná data."
"Sample URL must have valid format.","URL vzorku musí mít platný formát."
"Order id cannot be null","ID objednávky nemůže být prázdné"
"Order item id cannot be null","ID položky objednávky nemůže být prázdné"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Zvolte odkazy produktu prosím."
"Sample file not provided","Ukázkový soubor není k dispozici"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Ano"
"No","Ne"
"Use config","Použít konfiguraci"
"Upload File","Nahrát soubor"
"URL","URL"
"attachment","příloha"
"inline","řadový"
"Pending","Nevyřízená"
"Invoiced","Fakturováno"
"To enable the option set the weight to no","Zapnutím volby nastavíte hmotnost na ne"
"Is this downloadable Product?","Toto Je produkt ke stažení?"
"Links","Odkazy"
"Title","Název"
"Links can be purchased separately","Odkazy mohou být zakoupeny samostatně"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Název souboru může obsahovat pouze alfanumerické znaky, pomlčku a podtržítko. Nesprávné znaky budou nahrazeny podtržítkem."
"Add Link","Přidat odkaz"
"Price","Cena"
"File","Soubor"
"Sample","Ukázka"
"Shareable","Lze sdílet"
"Max. Downloads","Max. stažení"
"Samples","Ukázky"
"Use Default Value","Použít výchozí hodnotu"
"sample","ukázka"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Odkazy na soubory produktu zde."
"[STORE VIEW]","[ZOBRAZENÍ]"
"[GLOBAL]","[GLOBÁLNÍ]"
"Sort Order","Řadit podle"
"Attach File or Enter Link","Připojit soubor nebo zadat odkaz"
"Sort Variations","Seřadit varianty"
"Browse Files...","Procházet soubory..."
"Delete","Smazat"
"Add product preview files here.","Náhledy souborů produktu zde."
"SKU","Kód"
"U","U"
"Select all","Vybrat vše"
"Unselect all","Zrušit výběr všech"
"Availability","Dostupnost"
"In stock","Skladem"
"Out of stock","Není skladem"
"Go to <a href=""%1"">My Downloadable Products</a>","Přejít na <a href=""%1"">produkty ke stažení</a>"
"Downloadable Products","Produkty ke stažení"
"Order #","Objednávka č."
"Date","Datum"
"Status","Stav"
"Remaining Downloads","Zbývá počet stažení"
"View Order","Zobrazit objednávku"
"Start Download","Spustit stahování"
"You have not purchased any downloadable products yet.","Žádný produkt ke stažení nemáte zatím zakoupen."
"Back","Zpět"
"download","stáhnout"
"Gift Message","Darovací vzkaz"
"From:","Od:"
"To:","Komu:"
"Message:","Vzkaz:"
"Product Name","Název produktu"
"Qty","Množství"
"Subtotal","Mezisoučet"
"Discount Amount","Výše slevy"
"Row Total","Celkem za položku"
"Qty Invoiced","Fakturováno KS"
"Ordered","Objednáno"
"Shipped","Odesláno"
"Canceled","Zrušeno"
"Refunded","Vráceno"
"We could not detect a size.","Velikost nelze zjistit."
"Downloadable Product Section","Sekce produkt ke stažení"
"Downloads","Soubory ke stažení"
"Downloadable Product Options","Nastavení produktu ke stažení"
"Order Item Status to Enable Downloads","Stav objednávky pro zapnutí stahování"
"Default Maximum Number of Downloads","Výchozí maximální počet stažení"
"Default Sample Title","Výchozí ukázkový název"
"Default Link Title","Výchozí název odkazu"
"Open Links in New Window","Otevřít odkaz v novém okně"
"Use Content-Disposition","Použít Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vypnout pokladnu hostům, pokud košík obsahuje produkt ke stažení"
"Guest checkout will only work with shareable.","Pokladna hosta bude pracovat pouze se sdílitelnými."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
