"No","Не"
"Filterable (with results)","Filterable (with results)"
"Filterable (no results)","Filterable (no results)"
"Use in Layered Navigation","Користи у слојевитој навигацији"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Цан бе усед онлy wитх цаталог инпут тyпе Дропдоwн, Мултипле Изабери анд Цена"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Цан бе усед онлy wитх цаталог инпут тyпе Дропдоwн, Мултипле Изабери анд Цена."
"Use in Search Results Layered Navigation","Усе ин Претрага Ресултс Лаyеред Навигатион"
"Position","Позиција"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block."
"item","ставка"
"items","ставке"
"Now Shopping by","Сада купити преко"
"Previous","Претходни"
"Remove","Уклони"
"Remove This Item","Уклони ову ставку"
"Shop By","Купити по"
"Clear All","Очисти све"
"Shopping Options","Опције куповине"
"Layered Navigation","Слојевита навигација"
"Display Product Count","Прикажи број производа"
"Price Navigation Step Calculation","Калкулација корака навигације цене"
"Default Price Navigation Step","Подразумевано Цена Навигатион Степ"
"Maximum Number of Price Intervals","Макс. број интервала цена"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Display Price Interval as One Price","Дисплаy Цена Интервал ас Оне Цена"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Interval Division Limit","Ограничење поделе интервала"
"Please specify the number of products, that will not be divided into subintervals.","Молимо наведите тхе нумбер оф продуцтс, тхат wилл нот бе дивидед инто субинтервалс."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Цан бе усед онлy wитх цаталог инпут тyпе Да/Не, Дропдоwн, Мултипле Изабери анд Цена"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Може се користити само са типом уноса каталога Да/Не, Падајући, Вишеструки избор и Цена.
                    <бр>Цена није компатибилна са опцијом <б>'Филтерабилно (без резултата)'</б> - 
                     неће имати утицаја на филтер цене."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Цан бе усед онлy wитх цаталог инпут тyпе Да/Не, Дропдоwн, Мултипле Изабери анд Цена."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Цан бе усед онлy wитх цаталог инпут тyпе Да/Не (Боолеан), Дропдоwн, Мултипле Изабери анд Цена."
