"No","Tidak"
"Filterable (with results)","Filterable (dengan hasil)"
"Filterable (no results)","Difabel (tidak ada hasil)"
"Use in Layered Navigation","Gunakan di Layered Navigation"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Gunakan di Search Results Layered Navigation"
"Position","Posisi"
"Position in Layered Navigation","Posisi di Layered Navigation"
"Position of attribute in layered navigation block.","Posisi atribut pada blok navigasi berlapis."
"item","barang"
"items","item"
"Now Shopping by","Sekarang Belanja oleh"
"Previous","Sebelumnya"
"Remove","Hapus"
"Remove This Item","Hapus item ini"
"Shop By","Toko oleh"
"Clear All","Bersihkan semua"
"Shopping Options","Pilihan Belanja"
"Layered Navigation","Navigasi berlapis"
"Display Product Count","Tampilkan Jumlah Produk"
"Price Navigation Step Calculation","Perhitungan Langkah Navigasi Harga"
"Default Price Navigation Step","Langkah Navigasi Harga Default"
"Maximum Number of Price Intervals","Jumlah Interval Jumlah Maksimum"
"Maximum number of price intervals is 100","Jumlah maksimum interval harga adalah 100"
"Display Price Interval as One Price","Interval Harga Display sebagai Satu Harga"
"This setting will be applied when all prices in the specific price interval are equal.","Pengaturan ini akan diterapkan bila semua harga dalam interval harga tertentu sama."
"Interval Division Limit","Batas Interval Divisi"
"Please specify the number of products, that will not be divided into subintervals.","Silakan tentukan jumlah produk, yang tidak akan dibagi menjadi subinterval."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
