"Save and Continue Edit","Сохранить и продолжить редактирование"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Add Shared Catalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","Удаление объектов"
"Name","Название"
"Type","Тип"
"Created At","Создано в"
"Created By","Created By"
"Select","Выбрать"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Set Discount"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","Артикул"
"Websites","Веб-сайты"
"Cost","Cost"
"MSRP","MSRP"
"Price","Цена"
"Custom Price","Custom Price"
"New Price","New Price"
"Tax Class","Налоговый класс"
"All Store Views","Хранилище всех просмотров"
"Store View","Представление магазина"
"Thumbnail","Мини-изображение"
"Attribute Set","Набор атрибутов"
"Visibility","Видимость"
"Status","Статус"
"tier_price_form","tier_price_form"
"Add Price","Добавить цену"
"Website","Веб-сайт"
"Quantity","Количество"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
