"Save and Continue Edit","Guardar y continuar editando"
"Catalog Structure","Estructura del catálogo"
"Catalog Id","Id de Catálogo"
"Store Id","Id de la tienda"
"Cancel","Cancelar"
"Done","Hecho"
"Back","Atrás"
"Delete","Borrar"
"This action cannot be undone. Are you sure you want to delete this catalog?","Esta acción no se puede deshacer. ¿Está seguro que desea eliminar este catálogo?"
"Duplicate","Duplicar"
"Linked Products","Productos enlazados"
"Reset","Restablecer"
"Save","Guardar"
"Pricing","Precios"
"Products","Productos"
"All Stores","Todas las tiendas"
"Shared Catalogs","Configurar catálogos"
"The companies have been reassigned.","Las empresas han sido reasignadas."
"Error while reassigning the company.","Error al reasignar la empresa."
"Discount value cannot be outside the range 0-100","El Valor de descuento no puede estar fuera del intervalo 0-100"
"We found a duplicate website, tier price or quantity.","Se encontró un sitio web, precios del segmento, grupo de clientes o cantidad duplicados."
"The selected items are being processed. You can continue to work in the meantime.","Los items seleccionados se están procesando. Puede continuar el trabajo mientras tanto."
"The selected changes have been applied to the shared catalog.","Los cambios seleccionados se han aplicado al catalogo compartido."
"New Shared Catalog","Nuevo Catálogo Compartido"
"The shared catalog was deleted successfully.","El Catalogo compartido fue eliminado exitosamente."
"Duplicate of %1","Duplicado de %1"
"You saved the shared catalog.","Guardaste el Catalogo Compartido."
"Something went wrong while saving the shared catalog.","Algo salió mal al guardar el catálogo compartido."
"A total of %1 record(s) were deleted.","Un total de %1 registro(s) fueron eliminados."
"No shared catalog name is specified in request.","No se especifica ningún nombre de catálogo compartido en la solicitud."
"Requested categories don't exist: %categoriesIds.","Las categorías solicitadas no existen: %categoryIds."
"You cannot unassign a company from the public shared catalog.","No puede desasignar una empresa del catálogo público compartido."
"Customer Groups","Grupos de cliente"
"Could not set default customer group","No se pudo establecer el grupo de clientes predeterminado"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","Ya existe un grupo de clientes con este nombre. Introduzca un nombre diferente para crear un catálogo compartido."
"Could not save customer group.","No se pudo guardar el grupo de clientes."
"Could not update shared catalog customer group","No se pudo actualizar el grupo de clientes del catálogo compartido"
"No such public catalog entity","No existe tal entidad de catálogo público"
"Cannot load product items for shared catalog","No se pueden cargar artículos de productos para el catálogo compartido"
"Could not save ProductItem","No se pudo guardar Artículo del Producto"
"Cannot delete product with id %1","No se puede eliminar el producto con id %1"
"Invalid value of ""%value"" provided for the %fieldName field.","El valor de ""%value"" no es válido para el campo %fieldName."
"Cannot delete shared catalog with id %1","No se puede eliminar el catálogo compartido con id %1"
"Permission with the same scope","Permiso con el mismo alcance"
"Assign Categories to Shared Catalog","Asignar categorías a un catálogo compartido"
"Something went wrong while scheduling operations.","Algo salió mal al programar operaciones."
"Sorry, something went wrong during product prices update. Please see log for details.","Lo sentimos, algo salió mal durante la actualización de los precios del producto. Por favor, consulte el registro para más detalles."
"Assign custom prices to selected products","Asignar precios personalizados a productos seleccionados"
"Something went wrong while processing the request.","Algo salió mal al procesar la solicitud."
"Could not save shared catalog.","No se pudo guardar el catálogo compartido."
"Custom","Personalizado"
"Public","Público"
"You must enable category permissions for the following products: %skus.","Debe habilitar los permisos de categoría para los siguientes productos: %skus."
"Requested product doesn't exist: %sku.","El artículo solicitado no existe: %sku."
"No such shared catalog entity","Ninguna entidad del catálogo compartido"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","No puede convertir un catálogo público un catálogo personalizado. Si necesita reemplazar este catálogo público, crea un catálogo personalizado y entonces cámbielo a público."
"Requested Shared Catalog is not found","El catalogo compartido solicitado no se encuentra"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","El catalogo (id:%1) no puede ser eliminado porque es un catalogo público. Debes crear un nuevo catalogo antes de eliminar este."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","No se puede crear el catalogo compartido porque falta alguna información. Por favor, asegúrese de dar el Grupo, Nombre e Impuestos."
"The maximum allowed catalog name length is %1 characters.","El máximo de caracteres para el nombre del catalogo es %1"
"A catalog named %catalogName already exists. Please select a different name.","Ya existe un catálogo llamado %catalogName. Por favor, seleccione un nombre diferente."
"You cannot change the customer group for a shared catalog.","No puede cambiar el grupo de clientes para un catalogo compartido."
"Yes","Sí"
"No","No 	"
"Configure","Configurar"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Por favor <a href=""%1"">crear</a> al menos un catálogo compartido público para proceder."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","Un catálogo compartido está vinculado a este grupo de clientes. Debe eliminar el catálogo compartido antes de poder eliminar este grupo de clientes."
"Requested product doesn't exist: %1.","El artículo solicitado no existe: %1."
"error","error"
"Exception","Excepción"
"Exception message","Mensaje de excepción"
"test","prueba"
"exception message","mensaje de excepción"
"Some internal exception message.","Algun mensaje interno de excepción."
"exception","excepción"
"Exception Message","Mensaje de excepción"
"All Websites","Todos sitios web"
"Website 3","Página web 3"
"Website 1","Página web 1"
"Set Pricing and Structure","Establecer precio y estructura"
"Assign Companies","Asignar empresas"
"General Settings","Configuración General"
"Delete ""${ $.$data.name }""","Eliminar ""${ $.$data.name }"""
"Catalog and Tier Price","Catálogo y precios del segmento"
"Group or Catalog","Grupo o catálogo"
