"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Catalog Structure","Struktura katalogu"
"Catalog Id","Id katalogu"
"Store Id","Id sklepu"
"Cancel","Anuluj"
"Done","Gotowe"
"Back","Powrót"
"Delete","Usuń"
"This action cannot be undone. Are you sure you want to delete this catalog?","Tej czynności nie można cofnąć. Czy na pewno chcesz usunąć ten katalog?"
"Duplicate","Duplikat"
"Linked Products","Powiązane produkty"
"Reset","Resetuj"
"Save","Zapisz"
"Pricing","Wycena"
"Products","Produkty"
"All Stores","Wszystkie sklepy"
"Shared Catalogs","Udostępnione katalogi"
"The companies have been reassigned.","Firmy zostały przeniesione."
"Error while reassigning the company.","Błąd podczas ponownego przypisywania firmy."
"Discount value cannot be outside the range 0-100","Wartość rabatu nie może wykraczać poza zakres 0-100"
"We found a duplicate website, tier price or quantity.","Znaleźliśmy zduplikowaną stronę internetową, cenę na poziomie lub ilość."
"The selected items are being processed. You can continue to work in the meantime.","Wybrane elementy są przetwarzane. W międzyczasie możesz kontynuować pracę."
"The selected changes have been applied to the shared catalog.","Wybrane zmiany zostały zastosowane do katalogu udostępnionego."
"New Shared Catalog","Nowy udostępniony katalog"
"The shared catalog was deleted successfully.","Katalog współdzielony został pomyślnie usunięty."
"Duplicate of %1","Duplikat %1"
"You saved the shared catalog.","Zapisałeś udostępniony katalog."
"Something went wrong while saving the shared catalog.","Coś poszło nie tak podczas zapisywania udostępnionego katalogu."
"A total of %1 record(s) were deleted.","Usunięto %1 wpis(ów)."
"No shared catalog name is specified in request.","W żądaniu nie podano nazwy katalogu współdzielonego."
"Requested categories don't exist: %categoriesIds.","Żądane kategorie nie istnieją: %categoriesIds."
"You cannot unassign a company from the public shared catalog.","Nie można usunąć przypisania firmy z publicznego katalogu współdzielonego."
"Customer Groups","Grupy klientów"
"Could not set default customer group","Nie można ustawić domyślnej grupy klientów"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","Grupa klientów o tej nazwie już istnieje. Wprowadź inną nazwę, aby utworzyć katalog współdzielony."
"Could not save customer group.","Nie można zapisać grupy klientów."
"Could not update shared catalog customer group","Nie można zaktualizować grupy klientów katalogu współdzielonego"
"No such public catalog entity","Brak takiego podmiotu w katalogu publicznym"
