"Save and Continue Edit","Salva e continua modifica"
"Catalog Structure","Struttura Catalogo"
"Catalog Id","Id Catalogo"
"Store Id","Id Negozio"
"Cancel","Annulla"
"Done","Fine"
"Back","Indietro"
"Delete","Elimina"
"This action cannot be undone. Are you sure you want to delete this catalog?","Questa azione non può essere annullata. Sei sicuro di che voler eliminare questo catalogo?"
"Duplicate","Duplica"
"Linked Products","Prodotti correlati"
"Reset","Reimposta"
"Save","Salva"
"Pricing","Prezzi"
"Products","Prodotti"
"All Stores","Tutti i negozi"
"Shared Catalogs","Cataloghi condivisi"
"The companies have been reassigned.","Le aziende sono state riassegnate."
"Error while reassigning the company.","Errore durante la riassegnazione dell'azienda."
"Discount value cannot be outside the range 0-100","Valore dello sconto non può essere compreso nell'intervallo 0-100"
"We found a duplicate website, tier price or quantity.","Sono stati trovati un duplicato di un sito, una fascia di prezzo o di una quantità."
"The selected items are being processed. You can continue to work in the meantime.","Gli elementi selezionati sono in fase di elaborazione. È possibile continuare a lavorare nel frattempo."
"The selected changes have been applied to the shared catalog.","Le modifiche selezionate sono state applicate al catalogo di condiviso."
"New Shared Catalog","Nuovo catalogo condiviso"
"The shared catalog was deleted successfully.","Il catalogo condiviso è stato eliminato con successo."
"Duplicate of %1","Duplicato di %1"
"You saved the shared catalog.","Hai salvato il catalogo condiviso."
"Something went wrong while saving the shared catalog.","Qualcosa è andato storto durante il salvataggio del catalogo condiviso."
"A total of %1 record(s) were deleted.","%1 record eliminato/i."
"No shared catalog name is specified in request.","Nella richiesta viene specificato alcun nome di catalogo condiviso."
"Requested categories don't exist: %categoriesIds.","La categoria richiesta non esiste: %categoriesids."
"You cannot unassign a company from the public shared catalog.","Non puoi rimuovere l'assegnazione di un'azienda dal listino pubblico condiviso."
"Customer Groups","Gruppi cliente"
"Could not set default customer group","Could not set default customer group"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","A customer group with this name already exists. Enter a different name to create a shared catalog."
"Could not save customer group.","Could not save customer group."
"Could not update shared catalog customer group","Could not update shared catalog customer group"
"No such public catalog entity","Nessun catalogo pubblico"
"Cannot load product items for shared catalog","Cannot load product items for shared catalog"
"Could not save ProductItem","Non è possibile salvare il prodotto"
"Cannot delete product with id %1","Impossibile eliminare il prodotto con id %1"
"Invalid value of ""%value"" provided for the %fieldName field.","Il valore ""%value"" fornito per il campo %fieldName non è valido."
