"Save and Continue Edit","Сачувај и настави уређивање"
"Catalog Structure","Каталог Струцтуре"
"Catalog Id","Каталог Ид"
"Store Id","Продавница Ид"
"Cancel","Одустани"
"Done","Готово"
"Back","Назад"
"Delete","Обрисати"
"This action cannot be undone. Are you sure you want to delete this catalog?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис цаталог?"
"Duplicate","Duplicate"
"Linked Products","Линкед Производи"
"Reset","Ресетовати"
"Save","Сачувај"
"Pricing","Pricing"
"Products","Производи"
"All Stores","Све продавнице"
"Shared Catalogs","Shared Catalogs"
"The companies have been reassigned.","Тхе цомпаниес су реассигнед."
"Error while reassigning the company.","Грешка wхиле реассигнинг тхе цомпанy."
"Discount value cannot be outside the range 0-100","Попуст валуе не може бе оутсиде тхе ранге 0-100"
"We found a duplicate website, tier price or quantity.","We found a duplicate website, tier price or quantity."
"The selected items are being processed. You can continue to work in the meantime.","The selected items are being processed. You can continue to work in the meantime."
"The selected changes have been applied to the shared catalog.","Тхе селецтед цхангес су апплиед то тхе схаред цаталог."
"New Shared Catalog","Ново Схаред Каталог"
"The shared catalog was deleted successfully.","Тхе схаред цаталог wас делетед успешно."
"Duplicate of %1","Duplicate of %1"
"You saved the shared catalog.","You saved the shared catalog."
"Something went wrong while saving the shared catalog.","Нешто није у реду wхиле савинг тхе схаред цаталог."
"A total of %1 record(s) were deleted.","Укупно %1 запис(а) је обрисано."
"No shared catalog name is specified in request.","Не схаред цаталог наме ис специфиед ин реqуест."
"Requested categories don't exist: %categoriesIds.","Requested categories don't exist: %categoriesIds."
"You cannot unassign a company from the public shared catalog.","Yоу не може унассигн а цомпанy фром тхе публиц схаред цаталог."
"Customer Groups","Групе купаца"
"Could not set default customer group","Није могао сет дефаулт цустомер гроуп"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","A customer group with this name already exists. Enter a different name to create a shared catalog."
"Could not save customer group.","Није могао саве цустомер гроуп."
"Could not update shared catalog customer group","Није могао упдате схаред цаталог цустомер гроуп"
"No such public catalog entity","Не суцх публиц цаталог ентитy"
"Cannot load product items for shared catalog","Не може лоад продуцт итемс фор схаред цаталог"
"Could not save ProductItem","Није могао саве ПродуцтИтем"
"Cannot delete product with id %1","Не може делете продуцт wитх ид %1"
"Invalid value of ""%value"" provided for the %fieldName field.","Неисправна вредност у ""%валуе"" обезбеђеној за %фиелдНаме поље."
"Cannot delete shared catalog with id %1","Не може делете схаред цаталог wитх ид %1"
"Permission with the same scope","Дозвола са истим опсегом"
"Assign Categories to Shared Catalog","Ассигн Категорије то Схаред Каталог"
"Something went wrong while scheduling operations.","Нешто није у реду wхиле сцхедулинг оператионс."
"Sorry, something went wrong during product prices update. Please see log for details.","Дошло је до грешке приликом ажурирања цена производа. Молимо погледајте лог за детаље."
"Assign custom prices to selected products","Assign custom prices to selected products"
"Something went wrong while processing the request.","Дошло је до грешке приликом обраде захтева."
"Could not save shared catalog.","Није могао саве схаред цаталог."
"Custom","Изборно"
"Public","Јавно"
"You must enable category permissions for the following products: %skus.","You must enable category permissions for the following products: %skus."
"Requested product doesn't exist: %sku.","Реqуестед продуцт не постоји: %ску."
"No such shared catalog entity","Не суцх схаред цаталог ентитy"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","Yоу не може цонверт а публиц цаталог то а цустом цаталог. Иф yоу неед то реплаце тхис публиц цаталог, цреате а цустом цаталог, тхен цханге итс тyпе то публиц."
"Requested Shared Catalog is not found","Реqуестед Схаред Каталог ис није пронађено"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Каталог (ид:%1) не може бе делетед бецаусе ит ис а публиц цаталог. Yоу муст цреате а неw публиц цаталог бефоре yоу цан делете тхис цаталог."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Не може цреате а схаред цаталог бецаусе соме информатион ис недостаје. Плеасе маке суре yоу провидед Продавница Група ИД, Назив анд Порез Цласс."
"The maximum allowed catalog name length is %1 characters.","The maximum allowed catalog name length is %1 characters."
"A catalog named %catalogName already exists. Please select a different name.","А цаталог намед %цаталогНаме алреадy еxистс. Молимо изаберите а дифферент наме."
"You cannot change the customer group for a shared catalog.","Yоу не може цханге тхе цустомер гроуп фор а схаред цаталог."
"Yes","Да"
"No","Не"
"Configure","Подеси"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Молимо <а хреф=""%1"">креирајте</а> бар један јавни дељени каталог да бисте наставили."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group."
"Requested product doesn't exist: %1.","Реqуестед продуцт не постоји: %1."
"error","error"
"Exception","Изузетак"
"Exception message","Порука о изузећу"
"test","test"
"exception message","exception message"
"Some internal exception message.","Нека порука о интерном одступању."
"exception","exception"
"Exception Message","Exception Message"
"All Websites","Све Wеб локације"
"Website 3","Веб сајт 3"
"Website 1","Веб сајт 1"
"Set Pricing and Structure","Set Pricing and Structure"
"Assign Companies","Ассигн Компаније"
"General Settings","Опште поставке"
"Delete ""${ $.$data.name }""","Обриши ""${ $.$дата.наме }"""
"Catalog and Tier Price","Каталог анд Тиер Цена"
"Group or Catalog","Група ор Каталог"
