"Cancel","Odustani"
"Preview","Pregled"
"Done","Gotovo"
"Remove from Update","Ukloni from Ažuriraj"
"Save","Sačuvaj"
"Schedule New Update","Raspored Novo Ažuriraj"
"View Specific Date","Pregled Specific Datum"
"Date & Time","Datum & Vreme"
"This update not exists.","This update not exists."
"Content Staging Dashboard","Sadržaj Staging Kontrolna tabla"
"The Start Time of this Update cannot be changed. It's been already started.","The Početak Vreme of this Ažuriraj ne može be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Buduće ažuriranje u ovom vremenskom opsegu već postoji. 
                            Izaberite drugi opseg da dodate novo buduće ažuriranje."
"Cannot save Update.","Ne može save Ažuriraj."
"Edit Existing Update","Izmeni Existing Ažuriraj"
"Assign to Another Update","Assign to Another Ažuriraj"
"Save as a New Update","Sačuvaj kao Novo Ažuriranje"
"Assign to Existing Update","Assign to Existing Ažuriraj"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"%1 is required parameter.","%1 je obavezno parameter."
"You removed this %1 from the update.","You removed this %1 from the update."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"Invalid action type %1.","Neispravan action type %1."
"Invalid action.","Neispravan action."
"Invalid parameter %1.","Neispravan parameter %1."
"Something went wrong while removing the %1.","Nešto nije u redu while removing the %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Nešto nije u redu while saving the %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class must implement ActionDataProviderInterface","Akcija class must implement ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Obriši Ažuriraj"
"View/Edit","Pregled/Promena"
"Active","Aktivan"
"Upcoming","Predstojeći"
"Please select Name for Future Update.","Molimo izaberite Naziv for Future Ažuriraj."
"Please select Start Time for Future Update.","Molimo izaberite Početak Vreme for Future Ažuriraj."
"Future Update Start Time cannot be earlier than current time.","Future Ažuriraj Početak Vreme ne može be earlier than current time."
"Future Update End Time cannot be equal or earlier than Start Time.","Future Ažuriraj Kraj Vreme ne može be equal or earlier than Početak Vreme."
"Future Update End Time cannot be earlier than current time.","Future Ažuriraj Kraj Vreme ne može be earlier than current time."
