"Cancel","Annulla"
"Preview","Anteprima"
"Done","Fine"
"Remove from Update","Rimuovere dall'aggiornamento"
"Save","Salva"
"Schedule New Update","Nuovo aggiornamento pianificato"
"View Specific Date","Visualizza data specifica"
"Date & Time","Data e Ora"
"This update not exists.","Questo aggiornamento non esiste."
"Content Staging Dashboard","Cruscotto di gestione temporanea del contenuto"
"The Start Time of this Update cannot be changed. It's been already started.","Il momento di inizio di questo aggiornamento non può essere cambiato. Già iniziato."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","Non è possibile salvare l'aggiornamento."
"Edit Existing Update","Modifica aggiornamento esistente"
"Assign to Another Update","Assegna ad un altro aggiornamento"
"Save as a New Update","Salvare come un nuovo aggiornamento"
"Assign to Existing Update","Assegna ad un aggiornamento esistente"
"You removed this %1 from the update and saved it in the other one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in altro."
"%1 is required parameter.","%1 è un parametro obbligatorio."
"You removed this %1 from the update.","Hai rimosso questo %1 dall\'aggiornamento."
"You removed this %1 from the update and saved it in a new one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in una nuova."
"Invalid action type %1.","Tipo di azione non valido: %1."
"Invalid action.","Azione non valida."
"Invalid parameter %1.","Parametro non valido: %1."
"Something went wrong while removing the %1.","Qualcosa è andato storto durante la rimozione del %1."
"The 'mode' value is unexpected.","Il valore 'modalità' è inaspettato."
"You saved this %1 update.","Hai salvato questo aggiornamento %1."
"Something went wrong while saving the %1.","Qualcosa è andato storto durante il salvataggio del %1."
"Requested type does not have corresponding implementation","Tipo richiesto non ha una implementazione corrispondente"
"Repository should return instance of %s","Repository deve restituire l'istanza di %s"
"Can not be rescheduled","Non può essere riprogrammato"
"Action class must implement ActionDataProviderInterface","La classe di azione deve implementare ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Elimina aggiornamento"
"View/Edit","Visualizza/modifica"
"Active","Attiva"
"Upcoming","In arrivo"
"Please select Name for Future Update.","Seleziona il nome per l'aggiornamento futuro."
"Please select Start Time for Future Update.","Seleziona la data di inizio per l'aggiornamento futuro."
"Future Update Start Time cannot be earlier than current time.","Ora di inizio aggiornamento futuro non può essere antecedente l'ora attuale."
"Future Update End Time cannot be equal or earlier than Start Time.","Il momento di fine dell'aggiornamento futuro non può essere uguale o precedente al momento di inizio."
"Future Update End Time cannot be earlier than current time.","Il termine del prossimo aggiornamento non può essere antecedente l'orario attuale."
"Update with id ""%1"" does not exist.","Aggiornamento con id ""%1"" non esiste."
"Active update can not be deleted","L'aggiornamento in esecuzione non può essere cancellato"
"Start time could not be changed while update active","L'orario di inizio non può essere cambiato durante l'esecuzione dell'aggiornamento"
"Unable to save Future Update.","Impossibile salvare il futuro aggiornamento."
"Test","Test"
"Error","Errore"
"Test Exception","Eccezione del Test"
"This action is unavailable","Questa azione non è disponibile"
"Magento Admin Panel","Pannello di amministrazione di Magento"
"Calendar","Calendario"
"Share","Condividi"
"Close","Chiudi"
"Scope","Ambito di applicazione"
"Scheduled Changes","Modifiche pianificate"
"Start","Inizia"
"End","Fine"
"Belongs to ","Appartiene a "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Si prega di confermare il cambio ambito di applicazione. Tutti i dati non salvati andranno persi."
"Share Preview Link","Condividi il Collegamento all'Anteprina"
"Staging","Staging"
"Create New Update","Crea nuovo aggiornamento"
"Back","Indietro"
"General","Generale"
"Status","Stato"
"Update Name","Aggiorna nome"
"Includes","Include"
"Start Time","Ora di inizio"
"End Time","Ora di fine"
"Description","Descrizione"
