"Cancel","Stornieren"
"Preview","Vorschau"
"Done","Fertig"
"Remove from Update","Von der Aktualisierung entfernen"
"Save","Speichern"
"Schedule New Update","Neue Aktualisierung planen"
"View Specific Date","Bestimmtes Datum anzeigen"
"Date & Time","Datum & Zeit"
"This update not exists.","Diese Aktualisierung existiert nicht."
"Content Staging Dashboard","InhaltsStaging-Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","Die Startzeit dieses Updates kann nicht geändert werden. Es wurde bereits gestartet."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","In diesem Zeitbereich existiert bereits ein zukünftiges Update. 
                           Wählen Sie einen anderen Bereich, um ein neues zukünftiges Update hinzuzufügen."
"Cannot save Update.","Update kann nicht gespeichert werden."
"Edit Existing Update","Vorhandene Aktualisierung bearbeiten"
"Assign to Another Update","Anderes Update zuweisen"
"Save as a New Update","Als neues Update speichern"
"Assign to Existing Update","Bestehendem Update zuordnen"
"You removed this %1 from the update and saved it in the other one.","Sie haben diese/s/n %1 von der Aktualisierung entfernt und in dem/der anderen gespeichert."
"%1 is required parameter.","%1 ist ein benötigter Parameter."
"You removed this %1 from the update.","Sie haben diese/n/s %1 von der Aktualisierung entfernt."
"You removed this %1 from the update and saved it in a new one.","Sie haben diese/s/n %1 von der Aktualisierung entfernt und in einer/m neuen gespeichert."
"Invalid action type %1.","Ungültiger Aktionstyp %1."
"Invalid action.","Ungültige Aktion."
"Invalid parameter %1.","Ungültiger Parameter %1."
"Something went wrong while removing the %1.","Etwas ist schiefgelaufen beim Entfernen von %1."
"The 'mode' value is unexpected.","Der 'mode' Wert ist unerwartet."
"You saved this %1 update.","Sie haben diese %1 Aktualisierung gespeichert."
"Something went wrong while saving the %1.","Etwas ist schiefgelaufen beim Speichern von %1."
"Requested type does not have corresponding implementation","Der angeforderte Typ hat keine entsprechende Implementierung"
"Repository should return instance of %s","Repository sollte Instanz von %s zurückgeben"
"Can not be rescheduled","Kann nicht neu vergeben werden"
"Action class must implement ActionDataProviderInterface","Action-Klasse muss ActionDataProviderInterface implementieren"
"entity_type","entity_Typ"
"Delete Update","Update löschen"
"View/Edit","Anzeigen/bearbeiten"
"Active","Aktiv"
"Upcoming","Bevorstehend"
"Please select Name for Future Update.","Bitte wählen Sie einen Namen für das zukünftige Update."
"Please select Start Time for Future Update.","Bitte wählen Sie eine Startzeit für das zukünftige Update."
"Future Update Start Time cannot be earlier than current time.","Die Startzeit des zukünftigen Updates kann nicht frührer als die aktuelle Zeit sein."
"Future Update End Time cannot be equal or earlier than Start Time.","Die Endzeit einer künftigen Aktualisierung kann nicht gleich oder früher sein als die Startzeit."
"Future Update End Time cannot be earlier than current time.","Die Endzeit des zukünftigen Updates kann nicht frührer als die aktuelle Zeit sein."
"Update with id ""%1"" does not exist.","Update mit der Id ""%1"" ist nicht vorhanden."
"Active update can not be deleted","Aktives Update kann nicht gelöscht werden"
"Start time could not be changed while update active","Startzeit konnte nicht geändert werden, während ein Update aktiv ist"
"Unable to save Future Update.","Das zukünftige Update konnte nicht gespeichert werden."
"Test","Test"
"Error","Fehler"
"Test Exception","Testausnahme"
"This action is unavailable","Dieser Artikel ist nicht verfügbar"
"Magento Admin Panel","Magento Admin Panel"
"Calendar","Kalender"
"Share","Teilen"
"Close","Schließen"
"Scope","Geltungsbereich"
"Scheduled Changes","Geplante Änderungen"
"Start","Starten"
"End","Ende"
"Belongs to ","Gehört zu "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Bitte bestätigen Sie den Bereichswechsel. Alle Daten, die noch nicht gespeichert wurden, gehen verloren."
"Share Preview Link","Vorschau-Link teilen"
"Staging","Staging"
"Create New Update","Neues Update erstellen"
"Back","Zurück"
"General","Allgemein"
"Status","Status"
"Update Name","Namen aktualisieren"
"Includes","Umfasst"
"Start Time","Startzeit"
"End Time","Endzeit"
"Description","Beschreibung"
"Preview Update","Vorschau aktualisieren"
"Remove this update","Dieses Update entfernen"
"Staging Dashboard","Staging-Dashboard"
"Assign to Another Campaign","Eine anderen Kampagne zuweisen"
"Assign to Existing Campaign","Bestehender Kampagne zuordnen"
"Create New Campaign","Neue Kampagne erstellen"
"Campaign/Promo Name","Kampagnen/Promo-Name"
"Action","Aktion"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Name"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","Die Future Update Startzeit ist ungültig. Es kann nicht später als die aktuelle Zeit + %1 Jahre sein."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","Die Endzeit für die Zukunft ist ungültig. Es kann nicht später als die aktuelle Zeit + %1 Jahre sein."
"Future Update already exists in this time range. Set a different range and try again.","Zukünftiges Update existiert bereits in diesem Zeitbereich. Legen Sie einen anderen Bereich fest und versuchen Sie es erneut."
"The required parameter is ""%1"". Set parameter and try again.","Der erforderliche Parameter ist ""%1"". Setze den Parameter und versuche es erneut."
"The ""%1"" action type is invalid. Verify the action type and try again.","Der ""%1"" Aktionstyp ist ungültig. Überprüfen Sie den Aktionstyp und versuchen Sie es erneut."
"The action is invalid. Verify the action and try again.","Die Aktion ist ungültig. Überprüfen Sie die Aktion und versuchen Sie es erneut."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","Der Parameter ""%1"" ist ungültig. Überprüfen Sie den Parameter und versuchen Sie es erneut."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","Der angeforderte Typ hat keine entsprechende Implementierung. Verjähren Sie den Typ und versuchen Sie es erneut."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Aktionsklasse muss ActionDataProviderInterface implementieren. Überprüfe die Aktionsklasse und versuche es erneut."
"The Name for Future Update needs to be selected. Select and try again.","Der Name für das Future Update muss ausgewählt werden. Wählen Sie und versuchen Sie es erneut."
"The Start Time for Future Update needs to be selected. Select and try again.","Die Startzeit für das Future Update muss ausgewählt werden. Wählen Sie und versuchen Sie es erneut."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","Die Future Update Startzeit ist ungültig. Sie kann nicht früher sein als die aktuelle Zeit."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","Die Endzeit für die Zukunft ist ungültig. Es kann nicht die gleiche Zeit oder früher sein als die aktuelle Zeit."
"The Future Update End Time is invalid. It can't be earlier than the current time.","Die Future Update EndStartzeit ist ungültig. Sie kann nicht früher sein als die aktuelle Zeit."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","Die Aktualisierung mit der ""%1"" ID existiert nicht. Überprüfen Sie die ID und versuchen Sie es erneut."
"The active update can't be deleted.","Das aktive Update kann nicht gelöscht werden."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","Die Startzeit kann nicht geändert werden, während das Update aktiv ist. Bitte warten Sie, bis das Update abgeschlossen ist und versuchen Sie es erneut."
"The future update was unable to be saved. Please try again.","Die zukünftige Aktualisierung konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
