"Cancel","Одустани"
"Preview","Преглед"
"Done","Готово"
"Remove from Update","Уклони фром Ажурирај"
"Save","Сачувај"
"Schedule New Update","Распоред Ново Ажурирај"
"View Specific Date","Преглед Специфиц Датум"
"Date & Time","Датум & Време"
"This update not exists.","This update not exists."
"Content Staging Dashboard","Садржај Стагинг Контролна табла"
"The Start Time of this Update cannot be changed. It's been already started.","Тхе Почетак Време оф тхис Ажурирај не може бе цхангед. Ит'с беен алреадy стартед."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Будуће ажурирање у овом временском опсегу већ постоји. 
                            Изаберите други опсег да додате ново будуће ажурирање."
"Cannot save Update.","Не може саве Ажурирај."
"Edit Existing Update","Измени Еxистинг Ажурирај"
"Assign to Another Update","Ассигн то Анотхер Ажурирај"
"Save as a New Update","Сачувај као Ново Ажурирање"
"Assign to Existing Update","Ассигн то Еxистинг Ажурирај"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"%1 is required parameter.","%1 је обавезно параметер."
"You removed this %1 from the update.","You removed this %1 from the update."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"Invalid action type %1.","Неисправан ацтион тyпе %1."
"Invalid action.","Неисправан ацтион."
"Invalid parameter %1.","Неисправан параметер %1."
"Something went wrong while removing the %1.","Нешто није у реду wхиле ремовинг тхе %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Нешто није у реду wхиле савинг тхе %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class must implement ActionDataProviderInterface","Акција цласс муст имплемент АцтионДатаПровидерИнтерфаце"
"entity_type","entity_type"
"Delete Update","Обриши Ажурирај"
"View/Edit","Преглед/Промена"
"Active","Активан"
"Upcoming","Предстојећи"
"Please select Name for Future Update.","Молимо изаберите Назив фор Футуре Ажурирај."
"Please select Start Time for Future Update.","Молимо изаберите Почетак Време фор Футуре Ажурирај."
"Future Update Start Time cannot be earlier than current time.","Футуре Ажурирај Почетак Време не може бе еарлиер тхан цуррент тиме."
"Future Update End Time cannot be equal or earlier than Start Time.","Футуре Ажурирај Крај Време не може бе еqуал ор еарлиер тхан Почетак Време."
"Future Update End Time cannot be earlier than current time.","Футуре Ажурирај Крај Време не може бе еарлиер тхан цуррент тиме."
"Update with id ""%1"" does not exist.","Ажурирање са ИД ""%1"" не постоји."
