"Cancel","Peruuta"
"Preview","Esikatselu"
"Done","Valmis"
"Remove from Update","Remove from Update"
"Save","Tallenna"
"Schedule New Update","Ajoita uusi päivitys"
"View Specific Date","View Specific Date"
"Date & Time","Päivämäärä & aika"
"This update not exists.","Tätä päivitystä ei ole olemassa."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Muokkaa olemassa olevaa päivitystä"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Tallenna uutena päivityksenä"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"%1 is required parameter.","%1 on pakollinen parametri."
"You removed this %1 from the update.","You removed this %1 from the update."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"Invalid action type %1.","Väärä toiminnan tyyppi %1."
"Invalid action.","Virheellinen toiminto."
"Invalid parameter %1.","Virheellinen parametri %1."
"Something went wrong while removing the %1.","Tapahtui virhe poistettaessa %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Something went wrong while saving the %1."
"Requested type does not have corresponding implementation","Vaadittu tyypillä ei ole vastaavaa täytäntöönpanoa"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Ei voida ajoittaa uudelleen"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Näytä/Muokkaa"
"Active","Aktiivinen"
"Upcoming","Tuleva(t)"
"Please select Name for Future Update.","Ole hyvä, ja valitse nimi tulevaisuuden päivityksille."
"Please select Start Time for Future Update.","Ole hyvä, ja valitse aloitusaika tulevaisuuden päivityksille."
"Future Update Start Time cannot be earlier than current time.","Tulevaisuuden päivityksen aloitusaika ei voi olla aiempi kuin tämänhetkinen aika."
"Future Update End Time cannot be equal or earlier than Start Time.","Tulevan päivityksen lopetusaika ei voi olla täsmällinen tai aiemmin kuin aloitusaika."
"Future Update End Time cannot be earlier than current time.","Tulevaisuuden päivityksen lopetusaika ei voi olla aiempi kuin tämänhetkinen aika."
"Update with id ""%1"" does not exist.","Päivitys ID:llä ""%1"" ei ole olemassa."
"Active update can not be deleted","Aktiivista pävivitystä ei voda poistaa"
"Start time could not be changed while update active","Aloitusaikaa ei voi muuttaa kun päivitys on aktiivinen"
"Unable to save Future Update.","Ei voitu tallentaa tulevaisuuden päivitystä"
"Test","Testi"
"Error","Virhe"
"Test Exception","Test Exception"
"This action is unavailable","Tämä toiminto ei ole käytettävissä"
"Magento Admin Panel","Magento hallintapaneeli"
"Calendar","Kalenteri"
"Share","Jaa"
"Close","Sulje"
"Scope","Kohde"
"Scheduled Changes","Ajoitetut muutokset"
"Start","Aloita"
"End","Loppu"
"Belongs to ","Belongs to "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Vahvista kohdekaupan vaihtaminen. Kaikki tallentamattomat tiedot menetetään."
"Share Preview Link","Jaa esikatselu-linkki"
"Staging","Staging"
"Create New Update","Create New Update"
"Back","Takaisin"
"General","Yleiset"
"Status","Tila"
"Update Name","Päivitä nimi"
"Includes","Includes"
"Start Time","Aloitusaika"
"End Time","Lopetusaika"
"Description","Kuvaus"
"Preview Update","Esikatsele päivitystä"
"Remove this update","Poista tämä päivitys"
"Staging Dashboard","Kojelauta"
"Assign to Another Campaign","Määritä toiseen kampanjaan"
"Assign to Existing Campaign","Määritä olemassa olevaan kampanjaan"
"Create New Campaign","Luo uusi kamppania"
"Campaign/Promo Name","Kampanjan/Promon nimi"
"Action","Toiminto"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Nimi"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
