"Cancel","取消"
"Preview","预览"
"Done","完成"
"Remove from Update","从更新中移除"
"Save","保存"
"Schedule New Update","安排新的更新"
"View Specific Date","查看特定日期"
"Date & Time","日期和时间"
"This update not exists.","此更新不存在。"
"Content Staging Dashboard","内容分期仪表板"
"The Start Time of this Update cannot be changed. It's been already started.","无法更改此更新的开始时间。此更新已经运行。"
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","这个未来更新的时间范围已经存在。 
选择一个不同的范围来添加新的未来更新。"
"Cannot save Update.","无法保存更新。"
"Edit Existing Update","编辑现有的更新"
"Assign to Another Update","将分配给另一个更新"
"Save as a New Update","另存为一个新的更新"
"Assign to Existing Update","将分配给现有的更新"
"You removed this %1 from the update and saved it in the other one.","您从更新中删除此% 1并将其保存在另一个。"
"%1 is required parameter.","%1 是必需的参数。"
"You removed this %1 from the update.","您从该更新中删除此 %1。"
"You removed this %1 from the update and saved it in a new one.","您从更新中删除了这个% 1，并将其保存在一个新的。"
"Invalid action type %1.","无效的操作类型 %1。"
"Invalid action.","无效的操作。"
"Invalid parameter %1.","%1 无效的参数。"
"Something went wrong while removing the %1.","删除% 1时出错了。"
"The 'mode' value is unexpected.","

“模式”值是意外的。 "
"You saved this %1 update.","

您保存了这个% 1更新。 "
"Something went wrong while saving the %1.","在保存% 1时出现了问题。"
"Requested type does not have corresponding implementation","请求类型没有相应的实现"
"Repository should return instance of %s","存储库应该返回 %s 的实例"
"Can not be rescheduled","不可以改期"
"Action class must implement ActionDataProviderInterface","动作类必须实现actiondataproviderinterface"
"entity_type","实体类型 "
"Delete Update","删除更新"
"View/Edit","查看/编辑"
"Active","活动"
"Upcoming","即将到来"
"Please select Name for Future Update.","请为将来更新选择名称。"
"Please select Start Time for Future Update.","请选择开始时间以便将来更新。"
"Future Update Start Time cannot be earlier than current time.","未来的更新起始时间不能早于当前时间。"
"Future Update End Time cannot be equal or earlier than Start Time.","将更新的结束时间不能等于或早于开始时间。"
"Future Update End Time cannot be earlier than current time.","未来更新结束时间不能早于当前时间。"
"Update with id ""%1"" does not exist.","ID为“% 1”的更新不存在。"
"Active update can not be deleted","不能删除活动更新"
"Start time could not be changed while update active","更新活动时启动时间不能更改"
"Unable to save Future Update.","无法保存未来更新。"
"Test","测试"
"Error","错误"
"Test Exception","测试异常"
"This action is unavailable","此操作是不可用"
"Magento Admin Panel","Magento 管理面板"
"Calendar","日历"
"Share","共享"
"Close","关闭"
"Scope","范围"
"Scheduled Changes","计划改变"
"Start","开始"
"End","结束"
"Belongs to ","属于"
"Please confirm scope switching. All data that hasn't been saved will be lost.","请确认范围开关。尚未保存的所有数据将都会丢失。"
"Share Preview Link","份额预览链接"
"Staging","分期"
"Create New Update","创建新的更新"
"Back","返回"
"General","基本的"
"Status","状态"
"Update Name","更新名称"
"Includes","包括"
"Start Time","平率"
"End Time","结束时间"
"Description","描述"
"Preview Update","预览更新"
"Remove this update","删除此更新"
"Staging Dashboard","分期仪表板"
"Assign to Another Campaign","将分配给另一项运动"
"Assign to Existing Campaign","分配给现有的活动"
"Create New Campaign","创建新的市场活动"
"Campaign/Promo Name","运动/促销名称"
"Action","操作"
"MMM d, y h:mm a","MMM d，y h:mm"
"Name","名字"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
