"Cancel","İptal"
"Preview","Ön İzleme"
"Done","Yapıldı"
"Remove from Update","Güncellemeden Kaldır"
"Save","Kaydet"
"Schedule New Update","Yeni Güncelleme Zamanlaması"
"View Specific Date","Belirli Tarihi Görüntüle"
"Date & Time","Tarih & Saat"
"This update not exists.","Bu güncelleme bulunmamaktadır."
"Content Staging Dashboard","İçerik Tabakası Gösterge Tablosu"
"The Start Time of this Update cannot be changed. It's been already started.","Güncellemenin başlangıç saati değiştirilemez. Zaten başladı."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Bu zaman aralığındaki gelecek olan güncelleme zaten mevcut. 
                            Yeni bir güncelleme eklemek için farklı bir aralık seçin."
"Cannot save Update.","Güncelleme kaydedilemiyor."
"Edit Existing Update","Varolan Güncellemeyi Düzenle"
"Assign to Another Update","Başka bir güncelleştirme için atama"
"Save as a New Update","Yeni bir Güncelleme olarak kaydet"
"Assign to Existing Update","Varolan Güncelleştirmeye Atama"
"You removed this %1 from the update and saved it in the other one.","Bu %1 'i güncellemeden kaldırdınız ve diğerine kaydettiniz."
"%1 is required parameter.","%1 gerekli parametredir."
"You removed this %1 from the update.","Bu%1'i güncellemeden kaldırdınız."
"You removed this %1 from the update and saved it in a new one.","Bu %1'i güncellemeden kaldırdınız ve yenisiyle değiştirdiniz."
"Invalid action type %1.","Geçersiz eylem türü %1."
"Invalid action.","Geçersiz eylem."
"Invalid parameter %1.","Geçersiz parametre%1."
"Something went wrong while removing the %1.","%1 kaldırılırken bir şeyler ters gitti."
"The 'mode' value is unexpected.","'mod' değeri beklenmedik bir şekildedir."
"You saved this %1 update.","Bu %1 güncellemeyi kaydettiniz."
"Something went wrong while saving the %1.","%1 kaydedilirken bir şeyler ters gitti."
"Requested type does not have corresponding implementation","İstenen türde, ilgili uygulama yok"
"Repository should return instance of %s","Depo,%s örneğini döndürmelidir"
"Can not be rescheduled","Yeniden planlanamaz"
"Action class must implement ActionDataProviderInterface","Eylem sınıfı EylemVeriSağlayıcıArabirimi"
"entity_type","varlık türü"
"Delete Update","Güncellemeyi sil"
"View/Edit","Gör/Düzenle"
"Active","Aktif"
"Upcoming","Yaklaşan"
"Please select Name for Future Update.","Lütfen gelecekteki güncelleştirme için adı seçin."
"Please select Start Time for Future Update.","Lütfen Gelecekteki Güncelleme için Başlangıç Saati'ni seçin."
"Future Update Start Time cannot be earlier than current time.","Gelecekteki güncelleme başlangıç ​​saati, geçerli saatten önce olamaz."
"Future Update End Time cannot be equal or earlier than Start Time.","Güncellemenin bitiş zamanı başlangıç zamanıyla aynı olamaz."
"Future Update End Time cannot be earlier than current time.","Gelecekteki güncelleme bitiş zamanı, şimdiki zamandan önce olamaz."
"Update with id ""%1"" does not exist.","""%1"" kimliğine sahip güncelleme mevcut değil."
"Active update can not be deleted","Etkin güncelleme silinemiyor"
"Start time could not be changed while update active","Güncelleme aktifken başlangıç ​​saati değiştirilemedi"
"Unable to save Future Update.","Gelecek olan güncelleme kaydedilemiyor."
"Test","Deneme"
"Error","Hata"
"Test Exception","Sınama İstisna"
"This action is unavailable","Bu işlem kullanım dışı"
"Magento Admin Panel","Magento Admin Paneli"
"Calendar","Takvim"
"Share","Paylaş"
"Close","Kapat"
"Scope","Kapsam"
"Scheduled Changes","Zamanlanmış Değişiklikler"
"Start","Başla"
"End","Bitir"
"Belongs to ","-a, e attir "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Site geçişini onaylayınız. Kaydedilmeyen verileriniz kaybolacak."
"Share Preview Link","Ön izleme paylaş bağlantısı"
"Staging","Gösterim"
"Create New Update","Yeni Güncelleme Oluştur"
"Back","Geri"
"General","Genel"
"Status","Durum"
"Update Name","Güncelleme Adı"
"Includes","İçeriyor"
"Start Time","Başlangıç Zamanı"
"End Time","Bitiş Saati"
"Description","Açıklama"
