"Cancel","Cancelar"
"Preview","Pré-Visualizar"
"Done","Concluído"
"Remove from Update","Remove from Update"
"Save","Gravar"
"Schedule New Update","Agendar Nova Actualização"
"View Specific Date","Mostrar Data Específica"
"Date & Time","Data & Hora"
"This update not exists.","This update not exists."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Atualização futura neste intervalo de tempo já existe.
                     Selecione um intervalo diferente para adicionar uma nova atualização futura."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Edit Existing Update"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Guardar como Nova Atualização"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","Removeu isto %1 da atualização e gravou-o na outra."
"%1 is required parameter.","%1 parâmetro necessário."
"You removed this %1 from the update.","Removeu este %1 da atualização."
"You removed this %1 from the update and saved it in a new one.","Removeu este %1 da atualização e gravou-o numa nova."
"Invalid action type %1.","Tipo de ação inválida %1."
"Invalid action.","Ação inválida."
"Invalid parameter %1.","%1 parâmetro(s) inválido(s)."
"Something went wrong while removing the %1.","Something went wrong while removing the %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","Gravou a atualização %1."
"Something went wrong while saving the %1.","Algo correu mal durante a gravação de %1."
"Requested type does not have corresponding implementation","Tipo solicitado não tem implementação correspondente"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class must implement ActionDataProviderInterface","A Ação da classe deve implementar ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Ver/Editar"
"Active","Ativo"
"Upcoming","Próximos"
"Please select Name for Future Update.","Por Favor, Selecione o Nome Para Atualização do Futuro."
"Please select Start Time for Future Update.","Por Favor, Selecione o Hora de Inicio Para Atualização do Futuro."
"Future Update Start Time cannot be earlier than current time.","Hora de início de atualização futura não pode ser anterior à hora atual."
"Future Update End Time cannot be equal or earlier than Start Time.","A Hora de término da atualização futura não pode ser igual ou anterior à Hora de início."
"Future Update End Time cannot be earlier than current time.","Hora de término de atualização futura não pode ser anterior à hora atual."
"Update with id ""%1"" does not exist.","A atualzação com id ""%1"" não existe."
"Active update can not be deleted","Atualização de ativa não pode ser eliminada"
"Start time could not be changed while update active","Hora de início não pode ser alterada durante a atualização de ativa"
"Unable to save Future Update.","Não é possível salvar o Atualização Futura."
"Test","Test"
"Error","Erro"
"Test Exception","Test Exception"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Painel de Administração do Magento"
"Calendar","Calendar"
"Share","Partilhar"
"Close","Fechar"
"Scope","Escopo"
"Scheduled Changes","Mudanças Agendadas"
"Start","Ínicio"
"End","Fim"
"Belongs to ","Pertence a "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de escopo. Todos os dados que não foram gravados serão perdidos."
"Share Preview Link","Share Preview Link"
"Staging","Staging"
"Create New Update","Create New Update"
"Back","Voltar"
"General","Geral"
"Status","Estado"
"Update Name","Nome da Atualização"
"Includes","Incluí"
"Start Time","Hora de início"
"End Time","Hora de Fim"
"Description","Descrição"
"Preview Update","Pré-visualização atualização"
"Remove this update","Remover esta atualização"
"Staging Dashboard","Painel de teste"
"Assign to Another Campaign","Atribuir a outra Campanha"
"Assign to Existing Campaign","Atribuir a Campanha Existente"
"Create New Campaign","Criar Nova Campanha"
"Campaign/Promo Name","Nome da Campanha/Promoção"
"Action","Ação"
"MMM d, y h:mm a","d MMM yyyy h:mm a"
"Name","Nome"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
