"Cancel","Batal"
"Preview","Pratinjau"
"Done","Selesai"
"Remove from Update","Hapus dari Pembaruan"
"Save","Menyimpan"
"Schedule New Update","Jadwalkan Update Baru"
"View Specific Date","Lihat tanggal tertentu"
"Date & Time","Tanggal & Waktu"
"This update not exists.","Pembaruan ini tidak ada."
"Content Staging Dashboard","Dasbor Pementasan Konten"
"The Start Time of this Update cannot be changed. It's been already started.","Walau mulai pembaruan ini tidak dapat diubah. itu telah sudah dimulai."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Update Masa Depan di rentang waktu ini sudah ada.
                            Pilih rentang yang berbeda untuk menambahkan Update Masa Depan yang baru."
"Cannot save Update.","Tidak dapat menyimpan pembaruan."
"Edit Existing Update","Update yang sudah ada"
"Assign to Another Update","Pindah ke update yang lain"
"Save as a New Update","Simpan sebagai Update Baru"
"Assign to Existing Update","Pindah ke update yang lain"
"You removed this %1 from the update and saved it in the other one.","Anda menghapus% 1 ini dari pembaruan dan menyimpannya di folder yang lain.
 "
"%1 is required parameter.","%1adalah parameter yang diperlukan."
"You removed this %1 from the update.","Anda menghapus % 1 ini dari pembaruan."
"You removed this %1 from the update and saved it in a new one.","Anda menghapus% 1 ini dari pembaruan dan menyimpan di folder yang lain."
"Invalid action type %1.","Pilihan tidak sah id %1."
"Invalid action.","Tindakan tidak valid."
"Invalid parameter %1.","%1 parameter tidak sah."
"Something went wrong while removing the %1.","Ada yang tidak beres saat menyimpan% 1."
"The 'mode' value is unexpected.","Nilai 'mode' tidak terduga."
"You saved this %1 update.","Anda diselamatkan pembaruan %1."
"Something went wrong while saving the %1.","Ada yang tidak beres saat menyimpan% 1.
 "
"Requested type does not have corresponding implementation","Jenis yang diminta tidak memiliki implementasi yang sesuai"
"Repository should return instance of %s","Repositori harus mengembalikan instance% s"
"Can not be rescheduled","Tidak bisa dijadwal ulang"
"Action class must implement ActionDataProviderInterface","Kelas action harus menerapkan ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Hapus pembaruan"
"View/Edit","Lihat/Ubah"
"Active","Aktif"
"Upcoming","Mendatang"
"Please select Name for Future Update.","Silakan pilih Name for Future Update."
"Please select Start Time for Future Update.","Silahkan pilih nama for fortune update."
"Future Update Start Time cannot be earlier than current time.","Masa Depan pembaruan mulai waktu tidak bisa lebih awal dari waktu sekarang."
"Future Update End Time cannot be equal or earlier than Start Time.","Waktu akhir update masa depan tidak bisa sama atau lebih awal dari waktu mulai."
"Future Update End Time cannot be earlier than current time.","Pembaruan selanjutnya waktu akhir tidak bisa lebih awal dari waktu sekarang."
"Update with id ""%1"" does not exist.","Pembaruan dengan id ""% 1"" tidak ada.
 "
"Active update can not be deleted","Pembaruan aktif tidak dapat dihapus"
"Start time could not be changed while update active","Waktu mulai tidak bisa diubah sementara pembaruan aktif"
"Unable to save Future Update.","Tida dapat menyelamatkan masa depan pembaruan."
"Test","Uji"
"Error","Kesalahan"
"Test Exception","Uji kesalahan"
"This action is unavailable","Tindakan ini tidak tersedia"
"Magento Admin Panel","Panel Admin Magento"
"Calendar","Kalender"
"Share","Bagikan"
"Close","Tutup"
"Scope","Cakupan"
"Scheduled Changes","Perubahan terjadwal"
"Start","Mulai"
"End","Akhir"
"Belongs to ","Milik "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Silakan konfirmasikan pengalihan cakupan. Semua data yang belum disimpan akan hilang."
"Share Preview Link","Bagikan Link Pratinjau"
"Staging","Pemanggungan"
"Create New Update","Buat Pembaruan Terbaru"
"Back","Kembali"
"General","Umum"
"Status","Subjek"
"Update Name","Perbarui nama"
"Includes","Termasuk"
"Start Time","Waktu mulai"
"End Time","Waktu Selesai"
"Description","Deskripsi"
