"Cancel","キャンセル"
"Preview","プレビュー"
"Done","完了"
"Remove from Update","アップデートから削除"
"Save","保存"
"Schedule New Update","新しいアップデートを予定する"
"View Specific Date","特定の日付を表示"
"Date & Time","日付時刻"
"This update not exists.","この更新プログラムは存在しません。"
"Content Staging Dashboard","コンテンツステージングダッシュボード"
"The Start Time of this Update cannot be changed. It's been already started.","この更新プログラムの開始時刻は変更できません。既に開始されています。"
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","更新を保存できません。"
"Edit Existing Update","既存の更新を編集する"
"Assign to Another Update","他のアップデートに割り当て"
"Save as a New Update","新しいアップデートとして保存"
"Assign to Existing Update","既存のアップデートに割り当て"
"You removed this %1 from the update and saved it in the other one.","この%1をアップデートから削除して、別のものに保存しました。"
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","この %1 を更新プログラムから削除しました。"
"You removed this %1 from the update and saved it in a new one.","この %1 をアップデートから削除し、新しい %1 に保存しました。"
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","%1 を削除中に何か問題が発生しました。"
"The 'mode' value is unexpected.","'mode'値は予期しない値です。"
"You saved this %1 update.","この %1 アップデートを保存しました。"
"Something went wrong while saving the %1.","%1を保存中に何か問題が発生しました。"
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"Repository should return instance of %s","リポジトリは %s のインスタンスを返す必要があります"
"Can not be rescheduled","再スケジュールすることはできません"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","エンティティタイプ"
"Delete Update","更新を削除"
"View/Edit","表示/編集"
"Active","アクティブ"
"Upcoming","もうすぐ開始"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","テスト"
"Error","エラー"
"Test Exception","テスト例外"
"This action is unavailable","この操作は利用できません"
"Magento Admin Panel","Magento管理画面"
"Calendar","カレンダー"
"Share","共有"
"Close","閉じる"
"Scope","スコープ"
"Scheduled Changes","予定された変更"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","開始"
"End","終了"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","ステータス"
"This update includes","This update includes"
"To Start","To Start"
"To End","To End"
"Belongs to ","属する "
"Please confirm scope switching. All data that hasn't been saved will be lost.","スコープの変更を確認してください。保存されなかったデータは全て失われます。"
"Share Preview Link","プレビューリンクの共有"
"Staging","ステージング"
"Create New Update","アップデートの作成"
"Back","戻る"
"General","全般"
"Update Name","更新名"
"Includes","含む"
"Start Time","開始時間"
"End Time","終了時間"
"Description","概要"
