"Cancel","Отказ"
"Preview","преглед"
"Done","Готово"
"Remove from Update","Премахване от актуализация"
"Save","Запиши"
"Schedule New Update","График за нова актуализация"
"View Specific Date","Изглед на определена дата"
"Date & Time","Дата & час"
"This update not exists.","Тази актуализация не съществува."
"Content Staging Dashboard","Съдържание постановка табло"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Редактиране на съществуващи актуализации"
"Assign to Another Update","Присвояване към друга актуализация"
"Save as a New Update","Запиши като нов ъпдейт"
"Assign to Existing Update","Присвояване към съществуваща актуализация"
"You removed this %1 from the update and saved it in the other one.","Премахнали сте тази %1 от актуализиране и сте го записали в другата."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","Отстранили сте този %1 от актуализацията."
"You removed this %1 from the update and saved it in a new one.","Премахнали сте тази %1 от актуализиране и го записахте в нова."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Нещо се обърка, докато премахвахте %1."
"The 'mode' value is unexpected.","Стойността на ""режим"" е неочаквана."
"You saved this %1 update.","Записали сте актуализацията %1."
"Something went wrong while saving the %1.","Нещо се обърка при запазване на %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Хранилището трябва да върне екземпляр на %s"
"Can not be rescheduled","Не могат да бъдат предоговорени"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Изтриване на актуализация"
"View/Edit","Преглед/редактиране"
"Active","Активно"
"Upcoming","Предстоящи"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Тест"
"Error","Грешка"
"Test Exception","Тест изключение"
"This action is unavailable","Това действие не е налично"
"Magento Admin Panel","Magento администрация"
"Calendar","Календар"
"Share","Сподели"
"Close","Затвори"
"Scope","Обхват"
"Scheduled Changes","Планирани промени"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Старт"
"End","Край"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","Статус"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Принадлежи към "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Потвърдете превключване на обхвата. Всички данни, които не са записани ще бъдат загубени."
"Share Preview Link","Сподели преглед връзка"
"Staging","Постановка"
"Create New Update","Създаване на нова актуализация"
"Back","Обратно"
"General","Главен"
"Update Name","Обновяване на име"
"Includes","Включва"
"Start Time","Начален час"
"End Time","Краен час"
"Description","Описание"
