"Cancel","Cancelar"
"Preview","Vista previa"
"Done","Hecho"
"Remove from Update","Eliminar de la actualización"
"Save","Guardar"
"Schedule New Update","Programar nueva actualización"
"View Specific Date","Ver fecha específica"
"Date & Time","Fecha y hora"
"This update not exists.","Esta actualización no existe."
"Content Staging Dashboard","Panel contenido puesta en escena"
"The Start Time of this Update cannot be changed. It's been already started.","La hora de inicio de esta actualización no se puede cambiar. Ya ha comenzado."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","No se puede guardar la actualización."
"Edit Existing Update","Editar actualización existente"
"Assign to Another Update","Asignar a otra actualización"
"Save as a New Update","Guardar como una nueva actualización"
"Assign to Existing Update","Asignar a actualización vigente"
"You removed this %1 from the update and saved it in the other one.","Ha removido este %1 de la actualización y lo guardo en el otro."
"%1 is required parameter.","%1 is required parameter."
"You removed this %1 from the update.","Ha removido este %1 de la actualización."
"You removed this %1 from the update and saved it in a new one.","Removiste este %1 de la actualización y lo guardaste en una nueva."
"Invalid action type %1.","Invalid action type %1."
"Invalid action.","Invalid action."
"Invalid parameter %1.","Invalid parameter %1."
"Something went wrong while removing the %1.","Algo salió mal al remover el %1."
"The 'mode' value is unexpected.","El valor de 'mode' es inesperado."
"You saved this %1 update.","Has guardado esta actualización %1."
"Something went wrong while saving the %1.","Algo salió mal al guardar el %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Repositorio debe devolver instancia de %s"
"Can not be rescheduled","No puede ser reprogramado"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface"
"entity_type","entidad_tipo"
"Delete Update","Eliminar actualización"
"View/Edit","Ver/Editar"
"Active","Activo"
"Upcoming","Próximos"
"Please select Name for Future Update.","Please select Name for Future Update."
"Please select Start Time for Future Update.","Please select Start Time for Future Update."
"Future Update Start Time cannot be earlier than current time.","Future Update Start Time cannot be earlier than current time."
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time."
"Future Update End Time cannot be earlier than current time.","Future Update End Time cannot be earlier than current time."
"Update with id ""%1"" does not exist.","Update with id ""%1"" does not exist."
"Active update can not be deleted","Active update can not be deleted"
"Start time could not be changed while update active","Start time could not be changed while update active"
"Unable to save Future Update.","Unable to save Future Update."
"Test","Prueba"
"Error","Error"
"Test Exception","Excepción de la prueba"
"This action is unavailable","Esta acción no esta disponible"
"Magento Admin Panel","Panel de administración de Magento"
"Calendar","Calendario"
"Share","Compartir"
"Close","Cerrar"
"Scope","Alcance"
"Scheduled Changes","Cambios programados"
"Start","Comenzar"
"End","Fin"
"Belongs to ","Pertenece a "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor, confirme el cambio en el campo. Todos los datos que no se haya guardado se perderá."
"Share Preview Link","Compartir enlace de previzualización"
"Staging","Puesta en escena"
"Create New Update","Crear nueva actualización"
"Back","Atrás"
"General","General"
"Status","Estatus"
"Update Name","Actualizar nombre"
"Includes","Incluye"
"Start Time","Hora de inicio"
"End Time","Hora de finalización"
"Description","Descripción"
"Preview Update","Preview Update"
"Remove this update","Remove this update"
"Staging Dashboard","Staging Dashboard"
"Assign to Another Campaign","Assign to Another Campaign"
"Assign to Existing Campaign","Assign to Existing Campaign"
"Create New Campaign","Create New Campaign"
"Campaign/Promo Name","Campaign/Promo Name"
"Action","Acción"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Nombre"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
