"Wish List","รายการสินค้าที่ต้องการ"
"Qty","จำนวน"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Availability","Availability"
"In stock","มีสินค้า"
"Out of stock","สินค้าหมด"
"Edit","แก้ไข"
"Remove Item","Remove Item"
"Remove item","ลบสินค้า"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"This Wish List has no Items","This Wish List has no Items"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Click <a href=""%1"">here</a> to continue shopping.","คลิก <a href=""%1"">ที่นี่</a> เพื่อช้อปปิ้งต่อ"
"See Details","ดูรายละเอียด"
"Options Details","รายละเอียดตัวเลือก"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","สินค้า"
"Back","ย้อนกลับ"
"Wish List is empty now.","Wish List is empty now."
"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Last Added Items"
"Remove This Item","Remove This Item"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","คุณยังไม่มีสินค้าในรายการสินค้าที่คุณต้องการ"
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Wish List Section","Wish List Section"
"Share Options","Share Options"
"Email Sender","ผู้ส่งอีเมล"
"Email Template","เทมเพลตอีเมล"
"Email template chosen based on theme fallback when ""Default"" option is selected.","อีเมลเทมเพลทจะเลือกตาม ค่าตั้งต้นที่ถูกเลือก"
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
"Enabled","เปิดใช้งาน"
"My Wish List Link","ลิงค์รายการสินค้าที่ฉันต้องการ"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","ชื่อสินค้า"
"User Description","User Description"
"Quantity","จำนวน"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Action","ดำเนินการ"
"Configure","ตั้งค่า"
"Delete","ลบ"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 เป็นค่าเริ่มต้น สูงสุด 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
