"Wish List","قائمة الامنيات"
"Wish List Sharing","مشاركة قائمة الأمنيات"
"My Wish List","قائمة الأمنيات الخاصة بي"
"%1's Wish List","قائمة الأمنيات %1 's"
"Page not found.","لم يتم العثور على الصفحة."
"We can't specify a product.","لا يمكن تحديد منتج."
"We can't add the item to Wish List right now: %1.","لا يمكن إضافة العنصر إلى قائمة الرغبات الآن: %1."
"We can't add the item to Wish List right now.","لا يمكن إضافة العنصر إلى قائمة الرغبات الآن."
"You added %1 to your shopping cart.","تمت إضافة %1 إلى عربة التسوق."
"This product(s) is out of stock.","هذا المنتج (المنتجات) غير متوفر في المخزن."
"We can't add the item to the cart right now.","لا يمكن إضافة العنصر إلى السلة المشتريات الآن."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","لا يمكن إعداد المنتج الآن."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","وقد تم نقل %1 إلى رغبتكم قائمة."
"We can't move the item to the wish list.","لا يمكن نقل العنصر إلى قائمة الرغبات."
"We can't delete the item from Wish List right now because of an error: %1.","لا يمكن حذف العنصر من قائمة الرغبات الآن بسبب خطأ: %1."
"We can't delete the item from the Wish List right now.","لا يمكن حذف العنصر من قائمة الرغبات الآن."
"Message length must not exceed %1 symbols","يجب أن لا يتجاوز طول الرسالة %1 رمز"
"Please enter an email address.","الرجاء ادخال عنوان البريد الالكتروني."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"Your wish list has been shared.","لقد تم مشاركة قائمة رغباتكم."
"We can't delete item from Wish List right now.","لا يمكن حذف عنصر من قائمة الرغبات الآن."
"Can't save description %1","لا يمكن حفظ %1 الوصف"
"Can't update wish list","لا يمكن تحديث قائمة الرغبات"
"%1 has been updated in your Wish List.","تم تحديث %1 في قائمة الأمنيات."
"We can't update your Wish List right now.","لا يمكن تحديث قائمة رغباتكم الآن."
"The requested Wish List doesn't exist.","قائمة الرغبات المطلوبة غير موجودة."
"We can't create the Wish List right now.","لا يمكن إنشاء قائمة الرغبات الآن."
"%1 items","%1 قطعة"
"1 item","منتج ١"
"Comment","تعليق"
"Display number of items in wish list","عرض عدد العناصر في قائمة الامنيات"
"Display item quantities","عرض كميات السلع"
"An item option with code %1 already exists.","خيار المنتج بالكود %1 موجود مسبقا."
"We can't specify a wish list.","لا يمكن تحديد قائمة الرغبات."
"Cannot specify product.","لا يمكن تحديد المنتج."
"Product is not salable.","المنتج غير قابل للبيع."
"Invalid item option format.","تنسيق خيار المنتج غير صحيح."
"%1 for ""%2"".","%1 إلى""%2""."
"We can't add this item to your shopping cart right now.","لا يمكننا الآن إضافة هذا البند إلى عربة التسوق الخاصة بك."
"We couldn't add the following product(s) to the shopping cart: %1.","لم نستطع إضافة المنتج (المنتجات) التالي إلى سلة التسوق: %1."
"We can't update the Wish List right now.","لا يمكن تحديث قائمة رغباتكم الآن."
"%1 product(s) have been added to shopping cart: %2.","%1 منتج تم إضافتها إلى سلة التسوق: %2."
"Comment:","التعليق:"
"We cannot retrieve the Wish List.","لا يمكننا استرداد قائمة الأمنيات."
"%1's Wishlist","قائمة الرغبات %1 's"
"We can't specify a wish list item.","لا يمكن تحديد عنصر قائمة الرغبات."
"The product does not exist.","هذا المنتج غير موجود."
"Test Phrase","اختبار العبارة"
"message","رسالة"
"Message","رسالة"
"error-message","رسالة الخطأ"
"LocalizedException","إستثناء المحليات"
"Product Exception.","استثناء المنتج."
"Localized Exception.","استثناء المنطقة."
"Are you sure you want to remove this item?","هل أنت متأكد أنك تريد حذف هذا العنصر؟"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","مشاركة قائمة الامنيات"
"Add All to Cart","إضافة الكل إلى سلة التسوق"
"Update Wish List","تحديث قائمة الأمنيات"
"Move to Wishlist","النقل إلى قائمة الأمنيات"
"Add to Wish List","أضف لقائمة الرغبات"
"View Product","عرض المنتج"
"Qty","الكميّة"
"Add to Cart","أضف لسلة التسوق"
"Availability","التوفر"
"In stock","متوفر"
"Out of stock","غير متوفر بالمخزن"
"Edit","تعديل"
"Remove Item","إزالة سلعة"
"Remove item","أزل المنتج"
"Add to Compare","إضافة إلى المقارنة"
"This Wish List has no Items","لاتوجد منتجات في قاءمة الأمنيات"
"%1 has been added to your Wish List.","%1 تمت إضافتها إلى قائمة أمنياتك."
"Click <a href=""%1"">here</a> to continue shopping.","<a href=""%1"">اضفط هنا</a> لمواصلة التسوق."
"See Details","عرض التفاصيل"
"Options Details","تفاصيل الخيارات"
"RSS link to %1's wishlist","رابط RSS الى %1 قائمة الاماني"
"RSS Feed","RSS تغذية"
"Product","المنتج"
"Back","رجوع"
