"Wish List","Листа жеља"
"Wish List Sharing","Wисх Листа Схаринг"
"My Wish List","Моја листа жеља"
"%1's Wish List","%1'с Wисх Листа"
"Page not found.","Страница није пронађена."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","Wе цан'т адд тхе итем то Wисх Листа ригхт ноw: %1."
"We can't add the item to Wish List right now.","Wе цан'т адд тхе итем то Wисх Листа ригхт ноw."
"You added %1 to your shopping cart.","Успешно сте додали %1 у вашу корпу."
"This product(s) is out of stock.","Овог(их) производа нема на стању."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","Wе цан'т лоад тхе Wисх Листа итем ригхт ноw."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","Тхе реqуестед царт итем не постоји."
"%1 has been moved to your wish list.","%1 је мовед то yоур wисх лист."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","Wе цан'т делете тхе итем фром Wисх Листа ригхт ноw бецаусе оф ан еррор: %1."
"We can't delete the item from the Wish List right now.","Wе цан'т делете тхе итем фром тхе Wисх Листа ригхт ноw."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Молимо унесите ан емаил аддресс."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Молимо унесите исправну емаил адресу."
"Your wish list has been shared.","Yоур wисх лист је схаред."
"We can't delete item from Wish List right now.","Wе цан'т делете итем фром Wисх Листа ригхт ноw."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 је упдатед ин yоур Wисх Листа."
"We can't update your Wish List right now.","Wе цан'т упдате yоур Wисх Листа ригхт ноw."
"The requested Wish List doesn't exist.","Тхе реqуестед Wисх Листа не постоји."
"We can't create the Wish List right now.","Wе цан'т цреате тхе Wисх Листа ригхт ноw."
"%1 items","%1 ставке"
"1 item","1 ставка"
"Comment","Коментар"
"Display number of items in wish list","Display number of items in wish list"
"Display item quantities","Прикажи количине производа"
"An item option with code %1 already exists.","Опција ставке са кодом %1 већ постоји."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Не може специфy продуцт."
"Product is not salable.","Производ није доступан."
"Invalid item option format.","Неисправан итем оптион формат."
"%1 for ""%2"".","%1 за ""%2""."
"We can't add this item to your shopping cart right now.","Тренутно овај производ није могуц́е додати у вашу корпу."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","Wе цан'т упдате тхе Wисх Листа ригхт ноw."
"%1 product(s) have been added to shopping cart: %2.","%1 продуцт(с) су аддед то схоппинг царт: %2."
"Comment:","Comment:"
"We cannot retrieve the Wish List.","Wе не може ретриеве тхе Wисх Листа."
"%1's Wishlist","%1'с Листа жеља"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Производ не постоји."
"Test Phrase","Test Phrase"
"message","порука"
"Message","Порука"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Производ Еxцептион."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Јесте ли сигурни да желите да уклоните овај артикал?"
"Special Price","Посебна цена"
"Regular Price","Редовна цена"
"Share Wish List","Схаре Wисх Листа"
"Add All to Cart","Додај Све то Корпа"
"Update Wish List","Ажурирај Wисх Листа"
"Move to Wishlist","Премести то Листа жеља"
"Add to Wish List","Додај у листу жеља"
"View Product","Преглед Производ"
"Qty","Кол"
"Add to Cart","Додај у корпу"
"Availability","Доступност"
"In stock","На стању"
"Out of stock","Нема на лагеру"
"Edit","Измени"
"Remove Item","Уклони ставку"
"Remove item","Уклони ставку"
"Add to Compare","Додај за упоређивање"
"This Wish List has no Items","Тхис Wисх Листа хас но Итемс"
"%1 has been added to your Wish List.","%1 је аддед то yоур Wисх Листа."
"Click <a href=""%1"">here</a> to continue shopping.","Кликните <а хреф=""%1"">овде</а> да наставите куповину."
"See Details","Погледај детаље"
"Options Details","Детаљи Опција"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Производ"
"Back","Назад"
"Wish List is empty now.","Wисх Листа ис емптy ноw."
"* Required Fields","* Обавезна поља"
"Sharing Information","Дељење Информација"
"Email addresses, separated by commas","Е-пошта аддрессес, сепаратед бy цоммас"
"Check here to link an RSS feed to your Wish List.","Цхецк хере то линк ан РСС феед то yоур Wисх Листа."
"Last Added Items","Последњи Аддед Итемс"
"Remove This Item","Уклони ову ставку"
"Go to Wish List","Го то Wисх Листа"
"You have no items in your wish list.","You have no items in your wish list."
"Take a look at %customer_name's Wish List","Таке а лоок ат %цустомер_наме'с Wисх Листа"
"%customer_name wants to share this Wish List from %store_name with you:","%цустомер_наме wантс то схаре тхис Wисх Листа фром %сторе_наме wитх yоу:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Преглед алл Wисх Листа итемс"
"Wish List Section","Wисх Листа Сецтион"
"Share Options","Share Options"
"Email Sender","Пошиљаоц Мејла"
"Email Template","Емаил шаблони"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Е-пошта Теxт Ленгтх Лимит"
"General Options","Опште Опције"
"Enabled","Омогућено"
"My Wish List Link","Мy Wисх Листа Линк"
"Display Wish List Summary","Дисплаy Wисх Листа Сажетак"
"Enable RSS","Омогући РСС"
"No Items Found","Не Итемс Фоунд"
"Product Name","Назив производа"
"User Description","Усер Опис"
"Quantity","Количина"
"Add Locale","Додајте Локал"
"Add Date","Додајте Датум"
"Days in Wish List","Дана у Листи Жеља"
"Action","Акција"
"Configure","Подеси"
"Delete","Обрисати"
"Product Details and Comment","Производ Детаљи анд Цоммент"
"Add To Wishlist","Додај То Листа жеља"
"Are you sure you want to remove this product from your Wish List?","Да ли сте сигурни желите да ремове тхис продуцт фром yоур Wисх Листа?"
"%1 has been removed from your Wish List.","%1 је ремовед фром yоур Wисх Листа."
"10 by default. Max - 10000","10 је задата вредност. Максимум - 10000"
"255 by default","255 је задата вредност"
"The Wish List item can't load at this time. Please try again later.","Тхе Wисх Листа итем цан'т лоад ат тхис тиме. Покушајте поново латер."
"The cart item doesn't exist.","Тхе царт итем не постоји."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Прикажи ин Сидебар"
