"Wish List","لیست علاقه مندی"
"Wish List Sharing","به اشتراک گذاری لیست علاقه مندی ها"
"My Wish List","فهرست علاقه‌مندی من"
"%1's Wish List","لیست علاقه مندی %1"
"Page not found.","صفحه یافت نشد."
"We can't specify a product.","ما نمی توانیم یک محصول را مشخص کنیم."
"We can't add the item to Wish List right now: %1.","ما نمی توانیم این مورد:%1را حالا به لیست دلخواه اضافه کنیم."
"We can't add the item to Wish List right now.","ما نمی توانیم این مورد را به لیست علاقه مندی اضافه کنیم."
"You added %1 to your shopping cart.","شما %1 به سبد خرید اضافه نمودید."
"This product(s) is out of stock.","این محصول (ها) موجود نیست."
"We can't add the item to the cart right now.","ما اکنون نمی توانیم آیتم را به سبد خرید اضافه کنیم."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","ما اکنون نمی توانیم محصول را پیکربندی کنیم."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 به لیست علاقه مندی شما منتقل شده است."
"We can't move the item to the wish list.","ما نمی توانیم آیتم را به لیست علاقه مندی منتقل کنیم."
"We can't delete the item from Wish List right now because of an error: %1.","ما نمی توانیم آیتم را از لیست دلخواه در حال حاضر به دلیل یک خطا: %1 حذف کنیم."
"We can't delete the item from the Wish List right now.","ما نمی توانیم آیتم را از فهرست علاقه مندی خود حذف کنیم."
"Message length must not exceed %1 symbols","طول پیام نباید بیش از %1 علامت باشد"
"Please enter an email address.","لطفا یک آدرس ایمیل وارد کنید."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"Your wish list has been shared.","لیست علاقه مندی های شما به اشتراک گذاشته شده است."
"We can't delete item from Wish List right now.","ما نمی توانیم آیتم را از فهرست علاقه مندی حذف کنیم."
"Can't save description %1","توضیحات %1 را نمیتوان ذخیره کرد"
"Can't update wish list","لیست علاقه مندی را نمی توان به روز کرد"
"%1 has been updated in your Wish List.","%1در لیست علاقه مندی شما به روز شده است."
"We can't update your Wish List right now.","اکنون نمیتوانیم لیست دلخواه علاقه مندی را به روزرسانی کنیم."
"The requested Wish List doesn't exist.","لیست علاقه مندی مورد نظر وجود ندارد."
"We can't create the Wish List right now.","اکنون نمیتوانیم لیست علاقه مندی خود را ایجاد کنیم."
"%1 items","%1موردها"
"1 item","1 مورد"
"Comment","نظر"
"Display number of items in wish list","نمایش تعداد آیتم ها در لیست علاقه مندی"
"Display item quantities","نمایش مقادیر آیتم"
"An item option with code %1 already exists.","گزینه آیتم با کد %1 از قبل وجود دارد."
"We can't specify a wish list.","ما نمیتوانیم یک لیست علاقه مندی را مشخص کنیم."
"Cannot specify product.","نمی‌توان محصول را مشخص کرد."
"Product is not salable.","محصول قابل فروش نیست."
"Invalid item option format.","ساختار گزینه‌ی آیتم نامعتبر است."
"%1 for ""%2"".","%1 برای ""%2""."
"We can't add this item to your shopping cart right now.","ما اکنون نمی توانیم این آیتم را به سبد خرید خود اضافه کنیم."
"We couldn't add the following product(s) to the shopping cart: %1.","ما نمی توانیم محصول(ها) زیر را به سبد خرید:%1 اضافه کنیم."
"We can't update the Wish List right now.","اکنون نمیتوانیم لیست علاقه مندی را به روز کنیم."
"%1 product(s) have been added to shopping cart: %2.","%1 محصول (ها) به سبد خرید: %2 اضافه شده است."
"Comment:","توضیح:"
"We cannot retrieve the Wish List.","ما نمیتوانیم لیست علاقه مندی را بازیابی کنیم."
"%1's Wishlist","%1در فهرست علاقمندیها"
"We can't specify a wish list item.","ما نمی توانیم آیتم لیست علاقه مندی را مشخص کنیم."
"The product does not exist.","محصول وجود ندارد."
"Test Phrase","تست عبارت"
"message","پیغام"
"Message","پیام"
"error-message","پیام خطا"
"LocalizedException","استثناء محلی"
"Product Exception.","محصول استثنا."
"Localized Exception.","استثناء محلی."
"Are you sure you want to remove this item?","آیا مطمئن هستید که می خواهید این مورد را حذف کنید?"
"Special Price","قیمت ویژه"
"Regular Price","قیمت عادی"
"Share Wish List","به اشتراک گذاشتن لیست علاقه مندی"
"Add All to Cart","افزودن همه به سبد"
"Update Wish List","به روز رسانی لیست علاقه مندی ها"
"Move to Wishlist","انتقال به لیست دلخواه"
"Add to Wish List","اضافه کردن به لیست علاقه مندی"
"View Product","مشاهده‌ی محصول"
"Qty","تعداد"
"Add to Cart","اضافه کردن به سبد خرید"
"Availability","دسترسی"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Edit","ويرايش"
"Remove Item","برداشتن آیتم"
"Remove item","برداشتن آیتم"
"Add to Compare","افزودن به مقایسه"
"This Wish List has no Items","این لیست علاقه مندی هیچ موردی ندارد"
"%1 has been added to your Wish List.","%1 به فهرست علاقه مندی شما اضافه شده است."
"Click <a href=""%1"">here</a> to continue shopping.","<a href=""<a href=""%1"">""> اینجا </a> برای ادامه خرید کلیک کنید."
"See Details","مشاهده جزئیات"
"Options Details","تنظیمات جزئیات"
"RSS link to %1's wishlist","لینک RSS به لیست علاقه مندی %1"
"RSS Feed","فید RSS"
"Product","محصول"
"Back","بازگشت"
"Wish List is empty now.","لیست علاقه مندی در حال حاضر خالی است."
"* Required Fields","* زمينه هاي مورد نياز"
"Sharing Information","اطلاعات تسهیم"
"Email addresses, separated by commas","آدرس‌های ایمیل، جدا شده با کاما"
"Check here to link an RSS feed to your Wish List.","برای اشتراک یک خوراک RSS به لیست علاقه مندی خود اینجا را بررسی کنید."
"Last Added Items","آخرین آیتم‌های افزوده شده"
"Remove This Item","برداشتن این آیتم"
"Go to Wish List","رفتن به لیست علاقه مندی"
"You have no items in your wish list.","شما هیچ موردی در لیست علاقمندی های خود ندارید."
"Take a look at %customer_name's Wish List","نگاهی به لیست دلخواه %customer_name's بندازید"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name میخواهد این لیست دلخواه را از %store_name با شما به اشتراک بگذارد:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","مشاهده تمام اقلام لیست علاقه مندی"
"Wish List Section","بخش لیست علاقه مندی"
"Share Options","گزینه‌های تسهیم"
"Email Sender","فرستنده‌ی ایمیل"
"Email Template","قالب ایمیل"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Max Emails Allowed to be Sent","حداکثر ایمیل مجاز ارسال می شود"
"Email Text Length Limit","محدودیت طول متن ایمیل"
"General Options","گزینه های عمومی"
"Enabled","فعال"
"My Wish List Link","لینک لیست علاقه مندی من"
"Display Wish List Summary","نمایش خلاصه لیست علاقه مندی"
"Enable RSS","RSS ممکن"
"No Items Found","آیتمی یافت نشد"
"Product Name","نام محصول"
"User Description","شرح کاربری"
"Quantity","تعداد"
"Add Locale","اضافه کردن منطقه"
"Add Date","اضافه کردن تاریخ"
"Days in Wish List","روزها در لیست علاقه مندی"
"Action","اقدام"
"Configure","پیکربندی"
"Delete","حذف"
"Product Details and Comment","جزئیات محصول و نظر"
"Add To Wishlist","افزودن به لیست علاقمندیها"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 به طور پیش فرض حداکثر 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","شما باید وارد شوید یا ثبت نام کنید تا موارد را به لیست علاقه مندی های خود اضافه کنید."
"Show in Sidebar","نمایش در نوار کناری"
