"Wish List","Списък с желани"
"Wish List Sharing","Споделяне на списък с желани"
"My Wish List","Моят списък с желани"
"%1's Wish List","%1 на Списък с желани продукти"
"Page not found.","Страницата не е намерена."
"We can't specify a product.","Не може да зададете даден продукт."
"We can't add the item to Wish List right now: %1.","Не може да добавите елемент към Списък с желани продукти точно сега: %1."
"We can't add the item to Wish List right now.","Не може да добавите елемент към Списък с желани продукти точно сега: %1."
"You added %1 to your shopping cart.","Добавихте %1 към вашата количка."
"This product(s) is out of stock.","Този продукт е изчерпан."
"We can't add the item to the cart right now.","Не може да добавите елемент в количката точно сега."
"We can't load the Wish List item right now.","Не може да зареди елемента желание списък точно сега."
"We can't configure the product right now.","Не може да конфигурирате продукта точно сега."
"The requested cart item doesn't exist.","Исканият елемент не съществува."
"%1 has been moved to your wish list.","%1 е била преместена във вашия Списък с желани продукти"
"We can't move the item to the wish list.","Не може да премести елемент от Списък с желани продукти"
"We can't delete the item from Wish List right now because of an error: %1.","Не може да изтриете елемента от Списък с желани продукти точно сега поради грешка: %1."
"We can't delete the item from the Wish List right now.","Не може да изтрие продукта от Списък с желани продукти точно сега."
"Message length must not exceed %1 symbols","Дължина на съобщение не трябва да превишава %1 символи"
"Please enter an email address.","Моля, въведете адрес на електронна поща."
"This wish list can be shared %1 more times.","Този Списък с желани продукти може да бъде споделян още %1 пъти."
"Please enter a valid email address.","Моля, въведете валиден е-мейл адрес."
"Your wish list has been shared.","Вашият Списък с желани продукти е бил споделен."
"We can't delete item from Wish List right now.","Не може да изтриете елемент от Списък с желани продукти  точно сега."
"Can't save description %1","Не може да запише описание %1"
"Can't update wish list","Не може да актуализира Списък с желани продукти "
"%1 has been updated in your Wish List.","%1 е актуализиран във вашия Списък с желани продукти "
"We can't update your Wish List right now.","Не може да актуализирате вашия Списък с желани продукти точно сега."
"The requested Wish List doesn't exist.","Заявеният Списък с желани продукти  не съществува."
"We can't create the Wish List right now.","Не може да създаде Списък с желани продукти  точно сега."
"%1 items","%1 артикули"
"1 item","1 артикул"
"Comment","Коментар"
"Display number of items in wish list","Показване на броя на елементите в Списъка с желани продукти "
"Display item quantities","Покажи наличности по артикул"
"An item option with code %1 already exists.","Елемент опция с код %1 вече съществува."
"We can't specify a wish list.","Не може да зададете Списък с желани продукти "
"Cannot specify product.","Не може да определи продукт."
"Product is not salable.","Продуктът не е продаваем."
"Invalid item option format.","Невалиден елемент опция формат."
"%1 for ""%2"".","%1 за ""%2""."
"We can't add this item to your shopping cart right now.","Не може да добавите този елемент към вашата пазарска количка точно сега."
"We couldn't add the following product(s) to the shopping cart: %1.","Не може да добавите следния продукт или продукти в количката: %1."
"We can't update the Wish List right now.","Не може да създаде списък с желани продукти точно сега."
"%1 product(s) have been added to shopping cart: %2.","%1 продукти са били добавени към количката: %2."
"Comment:","Коментар:"
"We cannot retrieve the Wish List.","Не можем да извлечем списък с желани продукти"
"%1's Wishlist","на %1 в списък с желани продукти"
"We can't specify a wish list item.","Не може да зададете списък с желани продукти елемент."
"The product does not exist.","Този продукт не съществува."
"Test Phrase","Тест фраза"
"message","съобщение"
"Message","Съобщение"
"error-message","съобщение за грешка"
"LocalizedException","Локализирани изключения"
"Product Exception.","Изключение от продукта."
"Localized Exception.","Локализирано изключение."
"Are you sure you want to remove this item?","Сигурни ли сте, че искате да изтриете артикула?"
"Special Price","Промо цена"
"Regular Price","Редовна цена"
"Share Wish List","Сподели списък с желани продукти"
"Add All to Cart","Добави всички към количката"
"Update Wish List","Актуализиране на списък с желани продукти"
"Move to Wishlist","Премести към желани"
"Add to Wish List","Добави към Списък с желани продукти"
"View Product","Преглед на продукт"
"Qty","Кол-во"
"Add to Cart","Добави в количка"
"Availability","Наличност"
"In stock","На склад"
"Out of stock","Изчерпано количество"
"Edit","Редактирай"
"Remove Item","Премахване на продукт"
"Remove item","Премахни"
"Add to Compare","Добави за сравнение"
"This Wish List has no Items","Този списък с желани не съдържа елементи"
"%1 has been added to your Wish List.","%1 е добавен към вашия списък с желани продукти"
"Click <a href=""%1"">here</a> to continue shopping.","Натиснете <a href=""%1"">тук</a> за да продължите с пазаруването."
"See Details","Виж детайли"
"Options Details","Детайли на опциите"
"RSS link to %1's wishlist","RSS линк към %1 на желания"
"RSS Feed","RSS новини"
"Product","Продукт"
"Back","Обратно"
"Wish List is empty now.","Списъкът с желани продукти е празен."
"* Required Fields","* Задължителни полета"
"Sharing Information","информация за споделянето"
"Email addresses, separated by commas","Имейл адресите, разделени със запетайка"
"Check here to link an RSS feed to your Wish List.","Проверете тук за свързване на RSS feed към вашия списък с желания."
"Last Added Items","Последно добавени неща"
"Remove This Item","Премахнете този елемент"
"Go to Wish List","Отиди към списък с желания"
"You have no items in your wish list.","Нямате продукти във Вашия списък с желания."
"Take a look at %customer_name's Wish List","Вижте списъка с желания на %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name иска да сподели този списък с желания от %store_name с вас:"
"Message from %customer_name:","Съобщение от %customer_name:"
"View all Wish List items","Преглед на всички избрани продукти"
"Wish List Section","Раздел със Списък с желани продукти"
"Share Options","Опции за споделяне"
"Email Sender","Имейл подател"
"Email Template","Шаблон на имейл"
