"Wish List","Список желаний"
"Wish List Sharing","Wish List Sharing"
"My Wish List","Мой список желаний"
"%1's Wish List","Список пожеланий %1"
"Page not found.","Страница не найдена."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","%1 добавлены в вашу корзину."
"This product(s) is out of stock.","Этого товара нет в наличии."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 была перемещена в свой список пожеланий."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Длина сообщения не должна превышать %1 символов"
"Please enter an email address.","Пожалуйста, введите адрес электронной почты."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Введите допустимый адрес электронной почты."
"Your wish list has been shared.","Ваш список пожеланий были поделён."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Не удается обновить список желаний"
"%1 has been updated in your Wish List.","%1 был обновлен в вашем списке желаний."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1товары"
"1 item","1 товар"
"Comment","Комментарий"
"Display number of items in wish list","Показать количество элементов в списке пожеланий"
"Display item quantities","Показ количество товаров"
"An item option with code %1 already exists.","Элемент параметра с кодом %1 уже существует."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Не удается указать товар."
"Product is not salable.","Продукт не на продажу."
"Invalid item option format.","Формат параметра недопустим для элемента."
"%1 for ""%2"".","%1 для ""%2""."
"We can't add this item to your shopping cart right now.","Мы не может добавить этот элемент в корзину прямо сейчас."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 товар(ов) были добавлены в корзину: %2."
"Comment:","Комментарий:"
"We cannot retrieve the Wish List.","Мы не можем получить список пожеланий."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
