"Wish List","ઇચ્છા યાદી"
"Wish List Sharing","ઇચ્છા સૂચિ વહેંચણી"
"My Wish List","મારા વિશસૂચિ"
"%1's Wish List","%1 ની ઇચ્છાની સૂચિ"
"Page not found.","પેજ નથી મળ્યું."
"We can't specify a product.","અમે કોઈ ઉત્પાદનનો ઉલ્લેખ કરી શકતા નથી."
"We can't add the item to Wish List right now: %1.","અમે હમણાં વસ્તુને વિશ સૂચિમાં ઉમેરી શકતા નથી:%1."
"We can't add the item to Wish List right now.","અમે હમણાં વિશ સૂચિમાં આઇટમ ઉમેરી શકતા નથી."
"You added %1 to your shopping cart.","તમે તમારા શોપિંગ કાર્ટમાં %1 ઉમેર્યા છે."
"This product(s) is out of stock.","આ ઉત્પાદન (ઓ) સ્ટોકની બહાર છે."
"We can't add the item to the cart right now.","અમે હમણાં કાર્ટમાં વસ્તુ ઉમેરી શકતા નથી."
"We can't load the Wish List item right now.","અમે હમણાં વિશ સૂચિ આઇટમ લોડ કરી શકીએ નહીં."
"We can't configure the product right now.","અમે હમણાં ઉત્પાદનને ગોઠવી શકતા નથી."
"The requested cart item doesn't exist.","વિનંતી કરેલી કાર્ટ આઇટમ અસ્તિત્વમાં નથી."
"%1 has been moved to your wish list.","%1 ને તમારી ઇચ્છા સૂચિમાં ખસેડવામાં આવ્યો છે."
"We can't move the item to the wish list.","અમે આઇટમને ઇચ્છા સૂચિમાં ખસેડી શકતા નથી."
"We can't delete the item from Wish List right now because of an error: %1.","ભૂલના કારણે અમે હમણાં વિશ સૂચિમાંથી આઇટમ કાઢી શકતા નથી:%1."
"We can't delete the item from the Wish List right now.","અમે હમણાં વિશ સૂચિમાંથી આઇટમ કાઢી શકતા નથી."
"Message length must not exceed %1 symbols","સંદેશની લંબાઈ %1 પ્રતીકોથી વધુ ન હોવી જોઈએ"
"Please enter an email address.","કૃપા કરીને એક ઇમેઇલ સરનામું દાખલ કરો."
"This wish list can be shared %1 more times.","આ ઇચ્છા સૂચિ %1 વધુ વખત શેર કરી શકાય છે."
"Please enter a valid email address.","કૃપા કરીને માન્ય ઇમેઇલ સરનામું દાખલ કરો."
"Your wish list has been shared.","તમારી ઇચ્છા સૂચિ શેર કરવામાં આવી છે."
"We can't delete item from Wish List right now.","અમે હમણાં વિશ સૂચિમાંથી આઇટમ કાઢી શકતા નથી."
"Can't save description %1","વર્ણન %1 સાચવી શકતા નથી"
"Can't update wish list","ઇચ્છા સૂચિને અપડેટ કરી શકાતી નથી"
"%1 has been updated in your Wish List.","%1 તમારી ઇચ્છા સૂચિમાં અપડેટ કરવામાં આવ્યું છે."
"We can't update your Wish List right now.","અમે હમણાં તમારી વિશ સૂચિને અપડેટ કરી શકીએ નહીં."
"The requested Wish List doesn't exist.","વિનંતી કરેલી વિશ સૂચિ અસ્તિત્વમાં નથી."
"We can't create the Wish List right now.","અમે હમણાં વિશ સૂચિ બનાવી શકતા નથી."
"%1 items","%1 આઇટમ્સ"
"1 item","1 આઇટમ"
"Comment","ટિપ્પણી"
"Display number of items in wish list","ઇચ્છા સૂચિમાં આઇટમ્સની સંખ્યા દર્શાવો"
"Display item quantities","આઇટમની માત્રા દર્શાવો"
"An item option with code %1 already exists.","કોડ %1 સાથેનો આઇટમ વિકલ્પ પહેલેથી અસ્તિત્વમાં છે."
"We can't specify a wish list.","અમે ઇચ્છા સૂચિનો ઉલ્લેખ કરી શકતા નથી."
"Cannot specify product.","ઉત્પાદનનો ઉલ્લેખ કરી શકાતો નથી."
"Product is not salable.","ઉત્પાદન વેચાણયોગ્ય નથી."
"Invalid item option format.","અમાન્ય આઇટમ વિકલ્પ ફોર્મેટ."
"%1 for ""%2"".","""%2"" માટે %1."
"We can't add this item to your shopping cart right now.","અમે હમણાં આ વસ્તુને તમારા શોપિંગ કાર્ટમાં ઉમેરી શકતા નથી."
"We couldn't add the following product(s) to the shopping cart: %1.","અમે શોપિંગ કાર્ટમાં નીચેના ઉત્પાદનો (ઓ) ઉમેરી શક્યાં નથી:%1."
"We can't update the Wish List right now.","અમે હમણાં વિશ સૂચિને અપડેટ કરી શકીએ નહીં."
"%1 product(s) have been added to shopping cart: %2.","શોપિંગ કાર્ટમાં%1 ઉત્પાદનો (ઓ) ઉમેરવામાં આવ્યાં છે:%2."
"Comment:","ટિપ્પણી:"
"We cannot retrieve the Wish List.","અમે વિશ સૂચિ પ્રાપ્ત કરી શકતા નથી."
"%1's Wishlist","%1 ની વિશલિસ્ટ"
"We can't specify a wish list item.","અમે ઇચ્છા સૂચિ આઇટમનો ઉલ્લેખ કરી શકતા નથી."
"The product does not exist.","ઉત્પાદન અસ્તિત્વમાં નથી."
"Test Phrase","પરીક્ષણ વાક્ય"
"message","સંદેશ"
"Message","સંદેશ"
"error-message","ક્ષતી સંદેશ"
"LocalizedException","સ્થાનિકીકરણ"
"Product Exception.","ઉત્પાદન અપવાદ."
"Localized Exception.","સ્થાનિક અપવાદ."
"Are you sure you want to remove this item?","શું તમે ખરેખર આ આઇટમને દૂર કરવા માંગો છો?"
"Special Price","ખાસ કિંમત"
"Regular Price","નિયમિત ભાવ"
"Share Wish List","વિશ સૂચિ શેર કરો"
"Add All to Cart","કાર્ટમાં બધા ઉમેરો"
"Update Wish List","વિશ સૂચિ અપડેટ કરો"
"Move to Wishlist","વિશસૂચિમાં ખસેડો"
"Add to Wish List","ઈચ્છા ની યાદ I માં ઉમેરવું"
"View Product","ઉત્પાદન જુઓ"
"Qty","ક્યુટી"
"Add to Cart","સૂચી માં સામેલ કરો"
"Availability","ઉપલબ્ધતા"
"In stock","ઉપલબ્ધ છે"
"Out of stock","સ્ટોક સમાપ્ત"
"Edit","સંપાદિત કરો"
"Remove Item","આઇટમ દૂર કરો"
"Remove item","આઇટમ દૂર કરો"
"Add to Compare","સરખામણી કરો"
"This Wish List has no Items","આ વિશ સૂચિમાં કોઈ આઇટમ્સ નથી"
"%1 has been added to your Wish List.","%1 તમારી વિશ સૂચિમાં ઉમેરવામાં આવ્યો છે."
"Click <a href=""%1"">here</a> to continue shopping.","ખરીદી ચાલુ રાખવા માટે <a href=""%1""> અહીં </a> ક્લિક કરો."
"See Details","વિગતો જુઓ"
"Options Details","વિકલ્પો વિગતો"
"RSS link to %1's wishlist","આરએસએસ %1 ની વિશલિસ્ટ સાથે લિંક"
"RSS Feed","આરએસએસ ફીડ"
"Product","ઉત્પાદન"
"Back","પાછળ"
"Wish List is empty now.","વિશ સૂચિ હવે ખાલી છે."
"* Required Fields","* જરૂરી માહિતી"
"Sharing Information","શેરિંગ માહિતી"
"Email addresses, separated by commas","ઇમેઇલ સરનામાંઓ, અલ્પવિરામથી વિભાજિત"
"Check here to link an RSS feed to your Wish List.","આરએસએસ ફીડને તમારી વિશ સૂચિથી લિંક કરવા માટે અહીં તપાસો."
"Last Added Items","છેલ્લે ઉમેરાયેલ આઇટમ્સ"
"Remove This Item","આ વસ્તુ દૂર કરો"
"Go to Wish List","વિશ સૂચિ પર જાઓ"
"You have no items in your wish list.","તમારી ઇચ્છા સૂચિમાં તમારી પાસે કોઈ આઇટમ્સ નથી."
"Take a look at %customer_name's Wish List","%customer_name ની વિશ સૂચિ પર એક નજર નાખો"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name તમારી પાસે આ સ્ટોર નામમાંથી %store_name થી શેર કરવા માંગે છે:"
"Message from %customer_name:","%customer_name નો સંદેશ:"
"View all Wish List items","બધી વિશ સૂચિ આઇટમ્સ જુઓ"
"Wish List Section","ઇચ્છા સૂચિ વિભાગ"
"Share Options","શેર વિકલ્પો"
"Email Sender","ઇમેઇલ પ્રેષક"
"Email Template","ઇમેઇલ .ાંચો"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફaultલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફ fallલબેકના આધારે ઇમેઇલ નમૂના પસંદ કરવામાં આવે છે."
"Max Emails Allowed to be Sent","મહત્તમ ઇમેઇલ્સ મોકલવાની મંજૂરી"
"Email Text Length Limit","ઇમેઇલ લખાણ લંબાઈ મર્યાદા"
"General Options","સામાન્ય વિકલ્પો"
"Enabled","સક્ષમ"
"My Wish List Link","મારી વિશ સૂચિ લિંક"
"Display Wish List Summary","વિશ સૂચિનો સારાંશ દર્શાવો"
"Enable RSS","આરએસએસ સક્ષમ કરો"
"No Items Found","કોઈ આઇટમ્સ મળી નથી"
"Product Name","ઉત્પાદન નામ"
"User Description","વપરાશકર્તા વર્ણન"
"Quantity","જથ્થો"
"Add Locale","લોકેલ ઉમેરો"
"Add Date","તારીખ ઉમેરો"
"Days in Wish List","વિશ સૂચિમાં દિવસો"
"Action","ક્રિયા"
"Configure","ગોઠવો"
"Delete","કાઢી નાખો"
"Product Details and Comment","ઉત્પાદન વિગતો અને ટિપ્પણી"
"Add To Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Are you sure you want to remove this product from your Wish List?","શું તમે ખરેખર આ ઉત્પાદનને તમારી વિશ સૂચિમાંથી દૂર કરવા માંગો છો?"
"%1 has been removed from your Wish List.","%1 ને તમારી વિશ સૂચિમાંથી દૂર કરવામાં આવ્યો છે."
"10 by default. Max - 10000","10 મૂળભૂત રીતે. મહત્તમ - 10000"
"255 by default","255 મૂળભૂત રીતે"
"The Wish List item can't load at this time. Please try again later.","વિશ સૂચિ આઇટમ આ સમયે લોડ થઈ શકશે નહીં. પછીથી ફરી પ્રયત્ન કરો."
"The cart item doesn't exist.","કાર્ટ આઇટમ અસ્તિત્વમાં નથી."
"You must login or register to add items to your wishlist.","તમારી ઇચ્છા સૂચિમાં આઇટમ્સ ઉમેરવા માટે તમારે લ loginગિન અથવા રજીસ્ટર કરવું આવશ્યક છે."
"Show in Sidebar","સાઇડબારમાં બતાવો"
