"Wish List","Lista želja"
"Wish List Sharing","Wish Lista Sharing"
"My Wish List","Moja lista želja"
"%1's Wish List","%1's Wish Lista"
"Page not found.","Stranica nije pronađena."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish Lista right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish Lista right now."
"You added %1 to your shopping cart.","Uspešno ste dodali %1 u vašu korpu."
"This product(s) is out of stock.","Ovog(ih) proizvoda nema na stanju."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish Lista item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item ne postoji."
"%1 has been moved to your wish list.","%1 je moved to your wish list."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish Lista right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish Lista right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Molimo unesite an email address."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Molimo unesite ispravnu email adresu."
"Your wish list has been shared.","Your wish list je shared."
"We can't delete item from Wish List right now.","We can't delete item from Wish Lista right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 je updated in your Wish Lista."
"We can't update your Wish List right now.","We can't update your Wish Lista right now."
"The requested Wish List doesn't exist.","The requested Wish Lista ne postoji."
"We can't create the Wish List right now.","We can't create the Wish Lista right now."
"%1 items","%1 stavke"
"1 item","1 stavka"
"Comment","Komentar"
"Display number of items in wish list","Display number of items in wish list"
"Display item quantities","Prikaži količine proizvoda"
"An item option with code %1 already exists.","Opcija stavke sa kodom %1 već postoji."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Ne može specify product."
"Product is not salable.","Proizvod nije dostupan."
"Invalid item option format.","Neispravan item option format."
"%1 for ""%2"".","%1 za ""%2""."
"We can't add this item to your shopping cart right now.","Trenutno ovaj proizvod nije moguće dodati u vašu korpu."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish Lista right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) su added to shopping cart: %2."
"Comment:","Comment:"
"We cannot retrieve the Wish List.","We ne može retrieve the Wish Lista."
"%1's Wishlist","%1's Lista želja"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Proizvod ne postoji."
"Test Phrase","Test Phrase"
"message","poruka"
"Message","Poruka"
"error-message","error-message"
"LocalizedException","Lokalizovani izuzetak"
"Product Exception.","Proizvod Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Jeste li sigurni da želite da uklonite ovaj artikal?"
"Special Price","Posebna cena"
"Regular Price","Redovna cena"
"Share Wish List","Share Wish Lista"
"Add All to Cart","Dodaj Sve to Korpa"
"Update Wish List","Ažuriraj Wish Lista"
"Move to Wishlist","Premesti to Lista želja"
"Add to Wish List","Dodaj u listu želja"
"View Product","Pregled Proizvod"
"Qty","Kol"
"Add to Cart","Dodaj u korpu"
"Availability","Dostupnost"
"In stock","Na stanju"
"Out of stock","Nema na lageru"
"Edit","Izmeni"
"Remove Item","Ukloni stavku"
"Remove item","Ukloni stavku"
"Add to Compare","Dodaj za upoređivanje"
"This Wish List has no Items","This Wish Lista has no Items"
"%1 has been added to your Wish List.","%1 je added to your Wish Lista."
