"Wish List","පැතුම් ලැයිස්තුව"
"Wish List Sharing","පැතුම් ලැයිස්තුව බෙදාගැනීම"
"My Wish List","මගේ පැතුම් ලැයිස්තුව"
"%1's Wish List","%1ගේ පැතුම් ලැයිස්තුව"
"Page not found.","පිටුව හමු නොවීය."
"We can't specify a product.","අපට නිෂ්පාදනයක් සඳහන් කළ නොහැක."
"We can't add the item to Wish List right now: %1.","අපට දැන් අයිතමය පැතුම් ලැයිස්තුවට එක් කළ නොහැක: %1."
"We can't add the item to Wish List right now.","අපට දැන් අයිතමය පැතුම් ලැයිස්තුවට එක් කළ නොහැක."
"You added %1 to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට %1 එකතු කළා."
"This product(s) is out of stock.","මෙම නිෂ්පාදනය(ය) තොග අවසන්ය."
"We can't add the item to the cart right now.","අපට දැන් භාණ්ඩය කරත්තයට එක් කළ නොහැක."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","අපට දැන් නිෂ්පාදනය වින්‍යාස කළ නොහැක."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 ඔබගේ කැමැත්ත ලැයිස්තුවට ගෙන ගොස් ඇත."
"We can't move the item to the wish list.","අපට අයිතමය පැතුම් ලැයිස්තුවට ගෙන යා නොහැක."
"We can't delete the item from Wish List right now because of an error: %1.","දෝෂයක් නිසා අපට දැන් කැමති ලැයිස්තුවෙන් අයිතමය මකා දැමිය නොහැක: %1."
"We can't delete the item from the Wish List right now.","අපට දැන් කැමති ලැයිස්තුවෙන් අයිතමය මකා දැමිය නොහැක."
"Message length must not exceed %1 symbols","පණිවිඩ දිග සංකේත %1 නොඉක්මවිය යුතුය"
"Please enter an email address.","කරුණාකර විද්‍යුත් තැපැල් ලිපිනයක් ඇතුළු කරන්න."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","කරණාකර වලංගු ඊතැපැල් ලිපිනයක් ඇතුළු කරන්න."
"Your wish list has been shared.","ඔබගේ පැතුම් ලැයිස්තුව බෙදාගෙන ඇත."
"We can't delete item from Wish List right now.","අපට දැන් කැමති ලැයිස්තුවෙන් අයිතමය මැකිය නොහැක."
"Can't save description %1","විස්තරය %1සුරැකිය නොහැක"
"Can't update wish list","පැතුම් ලැයිස්තුව යාවත්කාලීන කළ නොහැක"
"%1 has been updated in your Wish List.","ඔබගේ පැතුම් ලැයිස්තුවේ %1 යාවත්කාලීන කර ඇත."
"We can't update your Wish List right now.","අපට දැන් ඔබගේ පැතුම් ලැයිස්තුව යාවත්කාලීන කළ නොහැක."
"The requested Wish List doesn't exist.","ඉල්ලූ පැතුම් ලැයිස්තුව නොපවතී."
"We can't create the Wish List right now.","අපට දැන් පැතුම් ලැයිස්තුව සෑදිය නොහැක."
"%1 items","අයිතම %1 ක්"
"1 item","1 අයිතමය"
"Comment","අදහස් දක්වන්න"
"Display number of items in wish list","පැතුම් ලැයිස්තුවේ ඇති අයිතම ගණන පෙන්වන්න"
"Display item quantities","අයිතම ප්‍රමාණ පෙන්වන්න"
"An item option with code %1 already exists.","%1 කේතය සහිත අයිතම විකල්පයක් දැනටමත් පවතී."
"We can't specify a wish list.","අපට කැමති ලැයිස්තුවක් සඳහන් කළ නොහැක."
"Cannot specify product.","නිෂ්පාදනය සඳහන් කළ නොහැක."
"Product is not salable.","නිෂ්පාදනය විකිණිය නොහැක."
"Invalid item option format.","වලංගු නොවන අයිතම විකල්ප ආකෘතිය."
"%1 for ""%2"".","""%2"" සඳහා %1."
"We can't add this item to your shopping cart right now.","අපට මෙම අයිතමය දැන් ඔබේ සාප්පු කරත්තයට එක් කළ නොහැක."
"We couldn't add the following product(s) to the shopping cart: %1.","අපට පහත නිෂ්පාදන(ය) සාප්පු කරත්තයට එක් කිරීමට නොහැකි විය: %1."
"We can't update the Wish List right now.","අපට දැන් පැතුම් ලැයිස්තුව යාවත්කාලීන කළ නොහැක."
"%1 product(s) have been added to shopping cart: %2.","%1 භාණ්ඩ(ය) සාප්පු කරත්තයට එකතු කර ඇත: %2."
"Comment:","අදහස් දැක්වීම:"
"We cannot retrieve the Wish List.","අපට පැතුම් ලැයිස්තුව ලබා ගත නොහැක."
"%1's Wishlist","%1ගේ පැතුම් ලැයිස්තුව"
"We can't specify a wish list item.","අපට කැමති ලැයිස්තු අයිතමයක් සඳහන් කළ නොහැක."
"The product does not exist.","නිෂ්පාදනය නොපවතී."
"Test Phrase","පරීක්ෂණ වාක්‍ය ඛණ්ඩය"
"message","පණිවුඩය"
"Message","පණිවුඩය"
"error-message","දෝෂ පණිවිඩය"
"LocalizedException","LocalizedException"
"Product Exception.","නිෂ්පාදන ව්යතිරේකය."
"Localized Exception.","ස්ථානීය ව්යතිරේකය."
"Are you sure you want to remove this item?","ඔබට මෙම අයිතමය ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Special Price","විශේෂ මිල"
"Regular Price","නිත්ය මිල"
"Share Wish List","කැමති ලැයිස්තුව බෙදා ගන්න"
"Add All to Cart","කරත්තයට සියල්ල එක් කරන්න"
"Update Wish List","පැතුම් ලැයිස්තුව යාවත්කාලීන කරන්න"
"Move to Wishlist","අවශ්ය ලැයිස්තු වෙත ගෙන යන්න"
"Add to Wish List","පැතුම් ලැයිස්තුවට එක් කරන්න"
"View Product","නිෂ්පාදනය බලන්න"
"Qty","Qty"
"Add to Cart","ගැලට එක් කරන්න"
"Availability","පවතින බව"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Edit","සංස්කරණය කරන්න"
"Remove Item","අයිතමය ඉවත් කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"This Wish List has no Items","මෙම පැතුම් ලැයිස්තුවේ අයිතම නොමැත"
"%1 has been added to your Wish List.","ඔබගේ පැතුම් ලැයිස්තුවට %1 එකතු කර ඇත."
"Click <a href=""%1"">here</a> to continue shopping.","සාප්පු යාම දිගටම කරගෙන යාමට මෙහි <a href=""%1""></a> ක්ලික් කරන්න."
"See Details","විස්තර බලන්න"
"Options Details","විකල්ප විස්තර"
"RSS link to %1's wishlist","%1හි පැතුම් ලැයිස්තුවට RSS සබැඳිය"
"RSS Feed","RSS සංග්‍රහය"
"Product","නිෂ්පාදන"
"Back","ආපසු"
"Wish List is empty now.","පැතුම් ලැයිස්තුව දැන් හිස් ය."
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Sharing Information","තොරතුරු බෙදාගැනීම"
"Email addresses, separated by commas","ඊමේල් ලිපින, කොමා වලින් වෙන් කර ඇත"
"Check here to link an RSS feed to your Wish List.","ඔබගේ කැමති ලැයිස්තුවට RSS සංග්‍රහයක් සම්බන්ධ කිරීමට මෙහි පරීක්ෂා කරන්න."
"Last Added Items","අවසන් වරට එකතු කරන ලද අයිතම"
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Go to Wish List","පැතුම් ලැයිස්තුවට යන්න"
"You have no items in your wish list.","ඔබගේ කැමැත්ත ලැයිස්තුවේ ඔබට අයිතම නොමැත."
"Take a look at %customer_name's Wish List","%customer_name's Wish List බලන්න"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name හට %store_name වෙතින් මෙම පැතුම් ලැයිස්තුව ඔබ සමඟ බෙදා ගැනීමට අවශ්‍යයි:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","සියලුම පැතුම් ලැයිස්තු අයිතම බලන්න"
"Wish List Section","පැතුම් ලැයිස්තු කොටස"
"Share Options","බෙදාගැනීමේ විකල්ප"
"Email Sender","ඊමේල් යවන්නා"
"Email Template","ඊමේල් සැකිල්ල"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Max Emails Allowed to be Sent","උපරිම ඊමේල් යැවීමට අවසර ඇත"
"Email Text Length Limit","ඊමේල් පෙළ දිග සීමාව"
"General Options","සාමාන්ය විකල්ප"
"Enabled","සබල කර ඇත"
"My Wish List Link","මගේ පැතුම් ලැයිස්තු සබැඳිය"
"Display Wish List Summary","පැතුම් ලැයිස්තු සාරාංශය පෙන්වන්න"
"Enable RSS","RSS සබල කරන්න"
"No Items Found","අයිතම කිසිවක් හමු නොවීය"
"Product Name","නිෂ්පාදන නාමය"
"User Description","පරිශීලක විස්තරය"
"Quantity","ප්රමාණය"
"Add Locale","Locale එක් කරන්න"
"Add Date","දිනය එකතු කරන්න"
"Days in Wish List","පැතුම් ලැයිස්තුවේ දින"
"Action","කටයුතු"
"Configure","වින්‍යාස කරන්න"
"Delete","මකන්න"
"Product Details and Comment","නිෂ්පාදන විස්තර සහ අදහස්"
"Add To Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 ඔබගේ පැතුම් ලැයිස්තුවෙන් ඉවත් කර ඇත."
"10 by default. Max - 10000","10 පෙරනිමියෙන්. උපරිම - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","පැතුම් ලැයිස්තු අයිතමය මෙම අවස්ථාවේදී පූරණය කළ නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The cart item doesn't exist.","කරත්ත අයිතමය නොපවතී."
"You must login or register to add items to your wishlist.","ඔබගේ පැතුම් ලැයිස්තුවට අයිතම එක් කිරීමට ඔබ පුරනය වීම හෝ ලියාපදිංචි විය යුතුය."
"Show in Sidebar","පැති තීරුවේ පෙන්වන්න"
