"Wish List","Lista de Desejos"
"Wish List Sharing","Partilhar Lista de Desejos"
"My Wish List","A Minha Lista de Desejos"
"%1's Wish List","Lista de Desejos de %1"
"Page not found.","Página não encontrada."
"We can't specify a product.","Não conseguimos especificar um produto."
"We can't add the item to Wish List right now: %1.","De momento não é possível adicionar o item à Lista de Desejos: %1."
"We can't add the item to Wish List right now.","De momento não é possível adicionar o item à Lista de Desejos."
"This product(s) is out of stock.","Este(s) produto(s) estão sem stock."
"We can't add the item to the cart right now.","De momento não é possível adicionar o item ao carrinho de compras."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","De momento não é possível configurar o produto."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 foi movido para a sua lista de desejos."
"We can't move the item to the wish list.","Não conseguimos mover o item para a lista de desejos."
"You must login or register to add items to your wishlist.","É necessário iniciar sessão ou registrar-se para adicionar itens à sua lista de desejos."
"We can't delete the item from Wish List right now because of an error: %1.","De momento não é possível remover o item da Lista de Desejos devido a um erro: %1."
"We can't delete the item from the Wish List right now.","De momento não é possível remover o item da Lista de Desejos."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Message length must not exceed %1 symbols","O comprimento da mensagem não deve exceder %1 símbolos"
"Please enter an email address.","Por favor insira um endereço de email."
"Maximum of %1 emails can be sent.","Maximum of %1 emails can be sent."
"Please enter a valid email address.","Por favor introduza um endereço de email válido."
"Your wish list has been shared.","A sua lista de desejos foi partilhada."
"We can't delete item from Wish List right now.","De momento não é possível remover o item da lista de desejos."
"%1 has been updated in your Wish List.","%1 foi atualizado na sua Lista de Desejos."
"Can't save description %1","Não é possível gravar a descrição %1"
"Can't update wish list","Não é possível atualizar a lista de desejos"
"We can't update your Wish List right now.","De momento não é possível atualizar a sua Lista de Desejos."
"You added %1 to your shopping cart.","%1 foi adicionado ao carrinho de compras."
"The requested Wish List doesn't exist.","A Lista de Desejos solicitada não existe."
"We can't create the Wish List right now.","De momento não é possível criar a Lista de Desejos."
"%1 items","%1 artigos"
"1 item","1 artigo"
"Comment","Comentário"
"Display number of items in wish list","Mostrar o número de items na lista de desejos"
"Display item quantities","Mostrar as quantidades dos artigos"
"An item option with code %1 already exists.","Já existe uma opção de item com o código %1."
"We can't specify a wish list.","Nós não é possível especificar uma lista de desejos."
"Cannot specify product.","Não é possível especificar o produto."
"Product is not salable.","O produto não é vendível."
"Invalid item option format.","Formato de opção de item inválido."
"%1 for ""%2"".","%1 para ""%2""."
"We can't add this item to your shopping cart right now.","De momento não é possível adicionar este item ao seu carrinho de compras."
"We couldn't add the following product(s) to the shopping cart: %1.","Não conseguimos adicionar o(s) seguinte(s) produto(s) ao carrinho de compras: %1."
"We can't update the Wish List right now.","De momento não é possível atualizar a Lista de Desejos."
"%1 product(s) have been added to shopping cart: %2.","%1 produto(s) foram adicionados ao carrinho de compras: %2."
"Comment:","Comentário:"
"We cannot retrieve the Wish List.","Não conseguimos obter a Lista de Desejos."
"%1's Wishlist","Lista de Desejos de %1"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","Não conseguimos especificar um item de lista de desejos."
"The product does not exist.","O produto não existe."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
"Could not add the product with SKU ""%sku"" to the wishlist:: %message","Could not add the product with SKU ""%sku"" to the wishlist:: %message"
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The wishlist item with ID ""%id"" does not belong to the wishlist","The wishlist item with ID ""%id"" does not belong to the wishlist"
"Could not find a wishlist item with ID ""%id""","Could not find a wishlist item with ID ""%id"""
"We can't delete the item with ID ""%id"" from the Wish List right now.","We can't delete the item with ID ""%id"" from the Wish List right now."
"Test Phrase","Frase de Teste"
"message","mensagem"
"Message","Mensagem"
"error-message","mensagem de erro"
"LocalizedException","LocalizedException"
"Product Exception.","Exceção do Produto."
"Localized Exception.","Exceção Localizada."
"Are you sure you want to remove this item?","Tem a certeza que pretende remover este item?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Partilhar Lista de Desejos"
"Add All to Cart","Adicionar tudo ao carrinho"
"Update Wish List","Atualizar Lista de Desejos"
"Move to Wishlist","Mover para a Lista de Desejos"
"Add to Wish List","Adicionar à Lista de Desejos"
"View Product","Ver Produto"
"Qty","Qtd"
"Add to Cart","Adicionar ao carrinho"
"Availability","Disponibilidade"
"In stock","Em stock"
