"Import failed: %1","ഇമ്പോർട് പരാജയപ്പെട്ടു: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 %2 നടപ്പിലാക്കുന്നില്ല"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","ഫയൽ അപ്ലിക്കേഷൻ / etc /%1 വായിക്കാൻ കഴിയില്ല. അത് നിലവിലുണ്ടെന്നും വായനാ അനുമതികൾ ഉണ്ടോ എന്നും പരിശോധിക്കുക."
"There are no sensitive configurations to fill","പൂരിപ്പിക്കുന്നതിന് സെൻസിറ്റീവ് കോൺഫിഗറേഷനുകളൊന്നുമില്ല"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","ഈ പാതയിലുള്ള ഒരു കോൺഫിഗറേഷൻ നിലവിലില്ല അല്ലെങ്കിൽ സെൻസിറ്റീവ് അല്ല"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","തെറ്റായ ലോഗർ ഇന്റർഫേസ് വ്യക്തമാക്കി."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","തെറ്റായ ടൈപ്പ് വ്യക്തമാക്കി: '%1'"
"Wrong queue type specified.","തെറ്റായ ക്യൂ ടൈപ്പ് വ്യക്തമാക്കി."
"Compilation from source: ","Compilation from source: "
"Wrong deploy strategy type: %1","Wrong deploy strategy type: %1"
"Some error","ചില പിശക്"
"some message","ചില സന്ദേശം"
"Exception","Exception"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
