"Import failed: %1","Error de importación: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 no implementa %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","No se puede leer el archivo de la aplicación/etcetera/%1. Por favor comprueba si existe y tiene permisos de lectura."
"There are no sensitive configurations to fill","Hay no hay configuraciones sensibles para llenar"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","Una configuración con esta ruta no existe o no es sensible"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","Se ha especificado una interfaz de registrador incorrecta."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Tipo incorrecto especificado: '%1'"
"Wrong queue type specified.","Tipo de cola incorrecta especificada."
"Compilation from source: ","Compilación de fuente: "
"Wrong deploy strategy type: %1","Implementar mal tipo de estrategia: %1"
"Some error","Algún error"
"some message","algún mensaje"
"Exception","Excepción"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
