"Import failed: %1","Impor gagal: %1"
"Class for type ""%1"" was not declared","Kelas untuk tipe ""%1"" tidak diumumkan"
"%1 does not implement %2","%1 tidak menerapkan %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 tidak dapat dibaca. Silakan periksa apakah ada dan telah membaca izin."
"There are no sensitive configurations to fill","Tidak ada konfigurasi yang sensitif untuk diisi"
"Value can't be empty","Nilai tidak boleh kosong"
"A configuration with this path does not exist or is not sensitive","Konfigurasi dengan jalur ini tidak ada atau tidak sensitif"
"Cannot switch into given mode ""%1""","Tidak dapat beralih ke mode ""%1"" yang diberikan"
"Wrong logger interface specified.","Antar muka logger yang salah ditentukan."
"Hash has not been saved.","Hash belum disimpan."
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","File konfigurasi telah berubah. Jalankan aplikasi: config: import atau setup: perintah upgrade untuk menyinkronkan konfigurasi."
"Wrong type specified: '%1'","Jenis yang salah ditentukan: '%1'"
"Wrong queue type specified.","Jenis antrian salah ditentukan."
"Compilation from source: ","Kompilasi dari sumber: "
"Wrong deploy strategy type: %1","Jenis strategi penggelaran yang salah: %1"
"Some error","Beberapa kesalahan"
"some message","beberapa pesan"
