"Import failed: %1","Import fehlgeschlagen: %1"
"Class for type ""%1"" was not declared","Klasse vom Typ ""%1"" wurde nicht deklariert"
"%1 does not implement %2","%1 implementiert nicht %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Die Datei app/etc/%1 kann nicht gelesen werden. Bitte überprüfen Sie, ob die Datei existiert und die Leseberechtigung richtig gesetzt sind."
"There are no sensitive configurations to fill","Es gibt keine sensiblen Konfigurationen zum Ausfüllen"
"Value can't be empty","Wert darf nicht leer sein"
"A configuration with this path does not exist or is not sensitive","Eine Konfiguration mit diesem Pfad existiert nicht oder ist nicht sensibel"
"Cannot switch into given mode ""%1""","Kann nicht in den angegebenen Modus ""%1"" wechseln"
"Wrong logger interface specified.","Falsche Logging-Schnittstelle angegeben."
"Hash has not been saved.","Hash wurde nicht gespeichert."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" muss vorhanden sein."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Die Konfiguration wurde geändert. Starten Sie app:config:import oder setup:upgrade, um die Konfiguration zu synchronisieren."
"Wrong type specified: '%1'","Falscher Typ angegeben: '%1'"
"Wrong queue type specified.","Falscher Warteschlangentyp angegeben."
"Compilation from source: ","Kompilierung von Quelle: "
"Wrong deploy strategy type: %1","Falscher Deploy-Strategie-Typ: %1"
"Some error","Ein Fehler"
"some message","eine Nachricht"
"Exception","Ausnahme"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Die Klasse für ""%1"" Typ wurde nicht deklariert. Geben Sie die Klasse ein und versuchen Sie es erneut."
"The value can't be empty. Enter the value and try again.","Der Wert darf nicht leer sein. Geben Sie den Wert ein und versuchen Sie es erneut."
"The mode can't be switched to ""%1"".","Der Modus kann nicht auf ""%1"" gewechselt werden."
"The hash isn't saved.","Der Hash wird nicht gespeichert."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","Der Parameter ""importer_class"" fehlt. Setzen Sie ""importer_class"" und versuchen Sie es erneut."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Die Konfiguration wurde geändert. Starten Sie ""app:config:import"" oder ""setup:upgrade"", um die Konfiguration zu synchronisieren."
