"Import failed: %1","Import fehlgeschlagen: %1"
"Class for type ""%1"" was not declared","Klasse vom Typ ""%1"" wurde nicht deklariert"
"%1 does not implement %2","%1 implementiert nicht %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Die Datei app/etc/%1 kann nicht gelesen werden. Bitte überprüfen Sie, ob die Datei existiert und die Leseberechtigung richtig gesetzt sind."
"There are no sensitive configurations to fill","Es gibt keine sensiblen Konfigurationen zum Ausfüllen"
"Value can't be empty","Wert darf nicht leer sein"
"A configuration with this path does not exist or is not sensitive","Eine Konfiguration mit diesem Pfad existiert nicht oder ist nicht sensibel"
"Cannot switch into given mode ""%1""","Kann nicht in den angegebenen Modus ""%1"" wechseln"
"Wrong logger interface specified.","Falsche Logging-Schnittstelle angegeben."
"Hash has not been saved.","Hash wurde nicht gespeichert."
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Die Konfiguration wurde geändert. Starten Sie app:config:import oder setup:upgrade, um die Konfiguration zu synchronisieren."
"Wrong type specified: '%1'","Falscher Typ angegeben: '%1'"
"Wrong queue type specified.","Falscher Warteschlangentyp angegeben."
"Compilation from source: ","Kompilierung von Quelle: "
"Wrong deploy strategy type: %1","Falscher Deploy-Strategie-Typ: %1"
"Some error","Ein Fehler"
"some message","eine Nachricht"
