"Import failed: %1","インポートに失敗しました: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 は、%2 を実装していません"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","ファイル app/etc/%1 を読み込めません。ファイルが存在しているか、読み込み権限が付与されているか確認してください。"
"There are no sensitive configurations to fill","入力しなければならないセンシティブ設定はありません"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","この設定パスは存在しないか、センシティブではありません"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","不正なログインターフェースが指定されました。"
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","不正なタイプが指定されました: '%1'"
"Wrong queue type specified.","不正なキュータイプが指定されました"
"Compilation from source: ","ソースからのコンパイル: "
"Wrong deploy strategy type: %1","間違ったデプロイ方法の種類: %1"
"Some error","何らかのエラー"
"some message","何かのメッセージ"
"Exception","例外"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" タイプのクラスが宣言されていません。クラスを入力し、再度お試し下さい。"
"The value can't be empty. Enter the value and try again.","値は空にすることはできません。値を入力して再度お試し下さい。"
"The mode can't be switched to ""%1"".","モードを ""%1"" に切り替えることはできません。"
"The hash isn't saved.","ハッシュは保存されません。"
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","""importer_class""のパラメータがありません。""importer_class""を設定して、再度お試し下さい。"
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","設定ファイルが変更されました。設定と同期するために、app:config:import または setup:upgrade コマンドを実行してください。"
