"Import failed: %1","Import nieudany: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 does not implement %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 can't be read. Please check if it exists and has read permissions."
"There are no sensitive configurations to fill","There are no sensitive configurations to fill"
"Value can't be empty","Wartość nie może być pusta"
"A configuration with this path does not exist or is not sensitive","A configuration with this path does not exist or is not sensitive"
"Cannot switch into given mode ""%1""","Nie można przełączyć do danego trybu ""%1"""
"Wrong logger interface specified.","Wybrana została błędna instancja loggera."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parametr ""importer_class"" musi być obecny."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Wrong type specified: '%1'"
"Wrong queue type specified.","Wrong queue type specified."
"Compilation from source: ","Kompilacja ze źródła: "
"Wrong deploy strategy type: %1","Wrong deploy strategy type: %1"
"Some error","Błąd"
"some message","some message"
"Exception","Wyjątek"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
