"Import failed: %1","Неуспешно импортиране: %1"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Не е деклариран клас за ""%1"". Въведете клас и опитайте пак."
"%1 does not implement %2","%1 не изпълнява %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Файл аpp/etc/%1 не се чете. Проверете дали съществува и има разрешения за четене."
"There are no sensitive configurations to fill","Няма чувствителни конфигурации за запълване"
"The value can't be empty. Enter the value and try again.","Стойноста не може да е празна. Въведете стойност и опитайте пак."
"A configuration with this path does not exist or is not sensitive","Конфигурация с този път не съществува или не е чувствителен"
"The mode can't be switched to ""%1"".","Режимът не може да се превключи на ""%1""."
"Wrong logger interface specified.","Грешен дървар интерфейс зададен."
"The hash isn't saved.","Хешът не е записан."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","Липсва параметърът ""importer_class"". Задайте ""importer_class"" и опитайте пак."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Конфигурационният файл е променен. Задействайте командата ""app:config:import"" или ""setup:upgrade"" за да синхронизирате конфигурацията."
"Wrong type specified: '%1'","Грешно зададен тип: ""%1"""
"Wrong queue type specified.","Грешно зададено правило."
"Compilation from source: ","Компилация от източник: "
"Wrong deploy strategy type: %1","Неправилно разполагане стратегия тип: %1"
"Some error","Някаква грешка"
"some message","някакво съобщение"
"Exception","Изключение"
