"New Permission","නව අවසරය"
"You already have a permission with this scope.","ඔබට දැනටමත් මෙම විෂය පථය සමඟ අවසරයක් ඇත."
"(Allow)","(ඉඩ දෙන්න)"
"(Deny)","(ප්‍රතික්ෂේප කරන්න)"
"Category Permissions","ප්‍රවර්ග අවසර"
"Browsing Category","බ්‍රවුසින් ප්‍රවර්ගය"
"Display Product Prices","නිෂ්පාදන මිල පෙන්වන්න"
"Add to Cart","ගැලට එක් කරන්න"
"Yes, for Everyone","ඔව්, සෑම කෙනෙකුටම"
"Yes, for Specified Customer Groups","ඔව්, නිශ්චිත පාරිභෝගික කණ්ඩායම් සඳහා"
"No","නැත"
"No, Redirect to Landing Page","නැත, ගොඩබෑමේ පිටුවට හරවා යවන්න"
"Permission with the same scope","එකම විෂය පථය සහිත අවසරය"
"You may need more permissions to access this category.","මෙම ප්‍රවර්ගයට ප්‍රවේශ වීමට ඔබට තවත් අවසර අවශ්‍ය විය හැක."
"You may need more permissions to access this product.","මෙම නිෂ්පාදනයට ප්‍රවේශ වීමට ඔබට තවත් අවසර අවශ්‍ය විය හැක."
"You cannot add ""%1"" to the cart.","ඔබට කරත්තයට ""%1"" එකතු කළ නොහැක."
"Permissions do not depend on store views.","අවසර ගබඩා දර්ශන මත රඳා නොපවතී."
"Website","වෙබ් අඩවිය"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Action","කටයුතු"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"All Websites","සියලුම වෙබ් අඩවි"
"All Customer Groups","සියලුම පාරිභෝගික කණ්ඩායම්"
"Allow","ඉඩ දෙන්න"
"Deny","ප්‍රතික්ෂේප කරන්න"
"Use parent","දෙමාපිය භාවිතා කරන්න"
"Category Permissions Section","කාණ්ඩ අවසර අංශය"
"Enable","සබල කරන්න"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Browsing Category ඉඩ දෙන්න"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Landing Page","ගොඩබෑමේ පිටුව"
"Allow Adding to Cart","කරත්තයට එකතු කිරීමට ඉඩ දෙන්න"
"Disallow Catalog Search By","විසින් නාමාවලි සෙවීමට ඉඩ නොදෙන්න"
"Catalog Category Permissions","නාමාවලි කාණ්ඩ අවසර"
"Indexed permissions for categories","කාණ්ඩ සඳහා සුචිගත අවසර"
"Catalog Product Permissions","නාමාවලි නිෂ්පාදන අවසර"
"Indexed permissions for products","නිෂ්පාදන සඳහා සුචිගත අවසර"
