"New Permission","Izin Baru"
"You already have a permission with this scope.","Anda sudah memiliki izin dengan cakupan ini."
"(Allow)","(Mengizinkan)"
"(Deny)","(Menyangkal)"
"Category Permissions","Izin Kategori"
"Browsing Category","Kategori Browsing"
"Display Product Prices","Tampilkan Harga Produk"
"Add to Cart","Masukkan ke keranjang"
"Yes, for Everyone","Ya, untuk semua orang"
"Yes, for Specified Customer Groups","Ya, untuk Kelompok Pelanggan Tertentu"
"No","Tidak"
"No, Redirect to Landing Page","Tidak, Pengalihan ke Halaman arahan"
"Permission with the same scope","Izin dengan lingkup yang sama"
"You may need more permissions to access this category.","Anda mungkin memerlukan lebih banyak izin untuk mengakses kategori ini."
"You may need more permissions to access this product.","Anda mungkin memerlukan lebih banyak izin untuk mengakses produk ini."
"You cannot add ""%1"" to the cart.","Anda tidak dapat menambahkan ""%1"" ke keranjang."
"Permissions do not depend on store views.","Izin tidak bergantung pada tampilan toko."
"Website","Situs web"
"Customer Group","Grup Pelanggan"
"Action","Tindakan"
"-- Please Select --","-- Silahkan pilih --"
"All Websites","Semua Website"
"All Customer Groups","Semua Kelompok Pelanggan"
"Allow","Mengizinkan"
"Deny","Menyangkal"
"Use parent","Gunakan orang tua"
"Category Permissions Section","Bagian Izin Kategori"
"Enable","Memungkinkan"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Kelompok pelanggan"
"Landing Page","Halaman arahan"
"Allow Adding to Cart","Izinkan Menambah Keranjang"
"Disallow Catalog Search By","Larang Pencarian Katalog Oleh"
"Catalog Category Permissions","Perizinan Kategori Katalog"
"Indexed permissions for categories","Izin terindeks untuk kategori"
"Catalog Product Permissions","Katalog izin produk"
"Indexed permissions for products","Izin terindeks untuk produk"
