"Percent Discount","Процент отстъпка"
"-- Select --","-- Избери --"
"Dynamic","Динамично"
"Fixed","Фиксиран"
"Create New Option","Създаване на нова опция"
"Bundle Items","Продукти в комплект"
"Add Products to Option","Добави продукти към опция"
"Close","Затвори"
"Delete Option","Изтрий опцията"
"What are you looking for?","Какво търсите?"
"ID","ИД"
"Product","Продукт"
"SKU","Кат. номер"
"Price","Цена"
"Delete","Изтрий"
"Use Default Value","Използвайте стойност по подразбиране"
"There is no defined renderer for ""%1"" option type.","Няма дефиниран рендерер за тип опция ""%1""."
"Only implemented for bundle product","Релизирано само за групирани продукти"
"Product with specified sku: ""%1"" is not a bundle product","Продукт с определен кат. номер: %1 не е пакет продукт"
"Bundle product could not contain another composite product","Групираните продукти не могат да съдържат други групирани такива"
"Id field of product link is required","Задължителен е Кудът на връзката на продуката"
"Can not find product link with id ""%1""","Не може да се намери прдуктова връзка скод ""%1"""
"Could not save child: ""%1""","Не може да се запише ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Продукт с определен кат. номер: ""%1"" не съдържа опция: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Подпродукт с код: ""%1"" е вече добавен към продукт: ""%2"""
"Product with specified sku: %1 is not a bundle product","Продукт с определен кат. номер: %1 не е пакет продукт"
"Requested bundle option product doesn't exist","Исканият пакет от опции за продукт не съществува"
"%fieldName is a required field.","%fieldName е задължително поле."
"Requested option doesn't exist","Исканата опция не съществува"
"Cannot delete option with id %1","Не може да се изтрие опция с код %1"
"Could not save option","Опцията не може да бъде записана"
"Price Range","Ценови диапазон"
"As Low as","От"
"Together","Заедно"
"Separately","Отделно"
"Please specify product option(s).","Моля посочете продуктовите опции."
"The options you selected are not available.","Опциите, които избахте не са налице."
"The required options you selected are not available.","Необходимите опции, които сте избрали не са налични."
"Please select all required options.","Моля изберете всички задължителни опции."
"We can't add this item to your shopping cart right now.","Не може да добавите този елемент към вашата пазарска количка точно сега."
"N/A","Не е достъпно"
"Percent","Процент"
"We can't save custom-defined options for bundles with dynamic pricing.","потребителски дефинираните опции с динамично ценообразуване не могат да бъдат запазени."
"Cancel","Отказ"
"Add Selected Products","Добави избраните продукти"
"Add Option","Добави опция"
"New Option","Нова опция"
"Option Title","Заглавие на опцията"
"Default Title","Заглавие по подразбиране"
"Store View Title","Заглавие на изгледа на магазина"
"Input Type","Вмъкни тип"
"Drop-down","Падащо меню"
"Radio Buttons","Радио бутони"
"Checkbox","Квадратче за отметка"
"Multiple Select","Многоброен избор"
"Required","Изискван"
"Is Default","Е по подразбиране"
"Name","Име"
"Default Quantity","Количество по подразбиране"
"User Defined","Определен потребител"
"Price Type","Тип цена"
"None","Никакъв"
"Quantity:","Количество:"
"Choose a selection...","Изберете селекция..."
"Ship Bundle Items","Изпрати комплектованите продукти"
"Position","Позиция"
"There are no products in this option.","В тази опция няма продукти."
"Default","По подразбиране"
"Ordered","Поръчан"
"Invoiced","Фактурирани"
"Shipped","Изпратен"
"Refunded","Възстановен"
"Canceled","Отказан"
"As low as","Толкова малко, колкото"
"Regular Price","Редовна цена"
"From","От"
"To","До"
"Buy %1 with %2 discount each","Купете %1 с %2 отстъпка всяко"
"Go back to product details","Върнете се към детайлите за продукта"
"Customize and Add to Cart","Персонализирайте и добавете в количката"
"* Required Fields","* Задължителни полета"
"Your Customization","Вашата персонализация"
"Availability","Наличност"
"In stock","На склад"
"Out of stock","Изчерпано количество"
"Summary","Обобщение"
"%1 x %2","%1 x %2"
"Availability:","Наличност:"
"Quantity","Количество: "
"Customize %1","Персонализирай %1"
"No options of this product are available.","Няма налични опции за този продукт."
"Gift Message","Съобщение за подарък"
"From:","От:"
"To:","До:"
"Message:","Съобщение:"
"Product Name","Име на продукт"
"Subtotal","Сума"
"Discount Amount","Размер на отстъпката"
"Row Total","Ред общо"
"Qty Invoiced","Фактурирано кол-во"
"Qty Shipped","Експедирано количество"
"Add Products to New Option","Добави продукти към нова опция"
"Add Products to Option ""%1""","Добави продукти към опция ""%1"""
"Select...","Изберете..."
"Status","Статус"
"Thumbnail","Миниатюра"
"Type","Тип"
"Special Price","Промо цена"
"This is implemented for bundle products only.","Това е реализирано замо за групирани продукти."
"The product with the ""%1"" SKU isn't a bundle product.","Продуктът с код ""%1"" SKU не е групиран продукт."
"The bundle product can't contain another composite product.","Групираните продукти не могат да съдържат други групирани такива."
"The product link needs an ID field entered. Enter and try again.","Връзката към продукт изисква поледи ID да бъде попълнено. Попълнете и опитайте пак."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Връзката към продукт с ID ""%1"" поле не съществува. Провереде ID и опитайте пак."
"The bundle product doesn't exist. Review your request and try again.","Групираният продукт не съществува. Проверете заявката и опитайте отново."
"The option that was requested doesn't exist. Verify the entity and try again.","Опцията която заявихте не съществува. Проверете изделието и опитайте пак."
"The option couldn't be saved.","Опцията не може да бъде записана."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължително. Въведете и опитайте пак."
"The option with ""%1"" ID can't be deleted.","Опцита с ID ""%1"" не може да бъде изтрита."
