"Percent Discount","Remise en pourcentage"
"-- Select --","-- Sélectionnez --"
"Dynamic","Dynamique"
"Fixed","Fixe"
"Create New Option","Créer nouvelle option"
"Bundle Items","Kit d'articles"
"Add Products to Option","Ajouter des produits en tant qu'option"
"Close","Fermer"
"Delete Option","Supprimer cette option"
"What are you looking for?","Que cherchez-vous ?"
"ID","Identifiant"
"Product","Produit"
"SKU","REF"
"Price","Prix"
"Delete","Supprimer"
"Use Default Value","Utiliser la valeur par défaut"
"There is no defined renderer for ""%1"" option type.","Il n'y a pas de d'affichage défini pour le type d'option ""%1""."
"Only implemented for bundle product","Implémenté uniquement pour les kits de produits"
"Product with specified sku: ""%1"" is not a bundle product","Le produit portant la REF spécifique : ""%1"" n'est pas un kit de produits"
"Bundle product could not contain another composite product","Un kit de produits ne peut pas contenir un autre kit de produits"
"Id field of product link is required","Le champ ID du lien vers le produit est obligatoire"
"Can not find product link with id ""%1""","Impossible de trouvé lien vers le produit possédant l'ID ""%1"""
"Could not save child: ""%1""","Impossible de d'enregistrer l'entité ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Le produit spécifié portant la REF ""%1"" ne contient pas l'option : ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Le sous-élément portant la REF : ""%1"" est déjà attribué au produit : ""%2"""
"Product with specified sku: %1 is not a bundle product","Le produit portant la REF : %1 n'est pas un kit de produits"
"Requested bundle option product doesn't exist","Le kit de produits demandé n'existe pas"
"%fieldName is a required field.","%fieldName est un champ obligatoire."
"Requested option doesn't exist","L'option demandée n'existe pas."
"Cannot delete option with id %1","Impossible de supprimer l'option avec l'id %1"
"Could not save option","Impossible d'enregistrer l'option"
"Price Range","Tranche de prix"
"As Low as","À partir de"
"Together","Ensemble"
"Separately","Séparément"
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"The options you selected are not available.","Les options que vous avez sélectionnées ne sont pas disponibles."
"The required options you selected are not available.","Les options requises que vous avez sélectionnées ne sont pas disponibles."
"Please select all required options.","Veuillez sélectionner toutes les options requises."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier maintenant."
"N/A","N/A"
"Percent","Pourcent"
"We can't save custom-defined options for bundles with dynamic pricing.","Nous ne pouvons pas enregistrer les options personnalisées pour les kits de produits avec tarification dynamique."
"Cancel","Annuler"
"Add Selected Products","Ajouter les produits sélectionnés"
"Add Option","Ajouter une option"
"New Option","Nouvelle option"
"Option Title","Titre de l'option"
"Default Title","Titre par défaut"
"Store View Title","Titre de la vue magasin"
"Input Type","Type de saisie"
"Drop-down","Liste déroulante"
"Radio Buttons","Boutons radio"
"Checkbox","Case à cocher"
"Multiple Select","Sélection multiple"
"Required","Obligatoire"
"Is Default","Sélectionné par défaut"
"Name","Nom"
"Default Quantity","Quantité par défaut"
"User Defined","Choisi par l'utilisateur"
"Price Type","Type de prix"
"None","Aucun"
"Quantity:","Quantité :"
"Choose a selection...","Choisissez une sélection..."
"Ship Bundle Items","Livrer les articles packagés"
"Position","Position"
"There are no products in this option.","Il n'y a pas de produits dans cette option."
"Default","Par défaut"
"Ordered","Commandé"
"Invoiced","Facturé"
"Shipped","Livré"
"Refunded","Remboursé"
"Canceled","Annulée"
"As low as","Prix à partir de"
"Regular Price","Prix d'origine"
"From","Depuis"
"To","À"
"Buy %1 with %2 discount each","Achetez-en %1 et profitez d'une remise de %2 par produit"
"Go back to product details","Revenir aux détails du produit"
"Customize and Add to Cart","Personnaliser et ajouter au panier"
"* Required Fields","* Champs obligatoires"
"Your Customization","Votre personnalisation"
"Availability","Disponibilité"
"In stock","En stock"
"Out of stock","Épuisé"
"Summary","Résumé"
"%1 x %2","%1 x %2"
"Availability:","Disponibilité :"
"Quantity","Quantité"
"Customize %1","Personnaliser %1"
"No options of this product are available.","Il n'y a pas d'options disponible pour ce produit."
"Gift Message","Message cadeau"
"From:","De :"
"To:","À :"
"Message:","Message :"
"Product Name","Nom du produit"
"Subtotal","Sous-total"
"Discount Amount","Remise"
"Row Total","Total ligne"
"Qty Invoiced","Qté facturée"
"Qty Shipped","Qté livrée"
"Add Products to New Option","Ajouter des produits à la nouvelle option"
"Add Products to Option ""%1""","Ajouter des produits à l’option ""%1"""
"Select...","Sélectionnez..."
"Status","Statut"
"Thumbnail","Miniature"
"Type","Type"
"Cannot create shipment as bundle product ""%1"" has shipment type ""%2"". %3 should be shipped instead.","Cannot create shipment as bundle product ""%1"" has shipment type ""%2"". %3 should be shipped instead."
"Bundle product itself","Bundle product itself"
"Bundle product options","Bundle product options"
