"Percent Discount","درصد تخفیف"
"-- Select --","-- انتخاب --"
"Dynamic","پویا"
"Fixed","ثابت"
"Create New Option","ایجاد گزینه جدید"
"Bundle Items","آيتم های بسته"
"Add Products to Option","افزودن محصولات به گزینه"
"Close","بستن"
"Delete Option","حذف گزینه"
"What are you looking for?","دنبال چه می گردید؟"
"ID","شناسه"
"Product","محصول"
"SKU","کد محصول"
"Price","قيمت"
"Delete","حذف"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"There is no defined renderer for ""%1"" option type.","هیچ رندری برای تعریف این نوع گزینه ""%1"" وجود ندارد."
"Only implemented for bundle product","فقط برای محصول بسته نرم افزاری"
"Product with specified sku: ""%1"" is not a bundle product","محصولات با sku مشخص شده: ""%1""محصول بسته نرم افزاری نیست"
"Bundle product could not contain another composite product","محصول بسته بندی نمیتواند با محصول دیگری ترکیب شود"
"Id field of product link is required","فیلد شناسه لینک محصول مورد نیاز است"
"Can not find product link with id ""%1""","پیوند محصول با شناسه ""%1"" پیدا نشد"
"Could not save child: ""%1""","نمیتواند زیر دسته: ""%1"" را ذخیره کند"
"Product with specified sku: ""%1"" does not contain option: ""%2""","محصول با کد مشخص شده: ""%1"" گزینه ای شامل: ""%2"" را ندارد"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","زیر دسته با کد محصول مشخص شده: ""%1"" در حال حاضر برای محصول: ""%2"" تعیین شده است"
"Product with specified sku: %1 is not a bundle product","محصولات با sku مشخص شده:%1 یک محصول بسته نیست"
"Requested bundle option product doesn't exist","درخواست گزینه بسته محصول وجود ندارد"
"%fieldName is a required field.","پر کردن %fieldName ضروری است."
"Requested option doesn't exist","درخواست گزینه مورد نظر وجود ندارد"
"Cannot delete option with id %1","گزینه ای با شناسه%1 قابل حذف نیست"
"Could not save option","گزینه ذخیره نشد"
"Price Range","بازه‌ قیمت"
"As Low as","از حداقل"
"Together","با هم"
"Separately","جداگانه"
"Please specify product option(s).","لطفا گزینه(ها)ی محصول را مشخص نمایید."
"The options you selected are not available.","گزینه های مورد نظر شما در دسترس نیست."
"The required options you selected are not available.","گزینه های مورد نظر شما که انتخاب شده در دسترس نیست."
"Please select all required options.","لطفا تمام گزینه های مورد نیاز را انتخاب کنید."
"We can't add this item to your shopping cart right now.","ما اکنون نمی توانیم این آیتم را به سبد خرید خود اضافه کنیم."
"N/A","هیچ"
"Percent","درصد"
"We can't save custom-defined options for bundles with dynamic pricing.","ما نمی توانیم گزینه های تعریف شده سفارشی برای بسته های با قیمت گذاری پویا را ذخیره کنیم."
"Cancel","لغو"
"Add Selected Products","افزودن محصولات انتخاب شده"
"Add Option","افزودن گزینه"
"New Option","گزینه جدید"
"Option Title","عنوان گزینه"
"Default Title","عنوان پیش فرض"
"Store View Title","عنوان نمای فروشگاه"
"Input Type","نوع ورودی"
"Drop-down","کشویی"
"Radio Buttons","دکمه‌ های رادیویی"
"Checkbox","چک باکس"
"Multiple Select","چند انتخابی"
"Required","الزامی"
"Is Default","پیش فرض است"
"Name","نام"
"Default Quantity","تعداد پیش فرض"
"User Defined","تعریف شده توسط کاربر"
"Price Type","نوع قیمت"
"None","هیچ یک"
"Quantity:","تعداد:"
"Choose a selection...","برگزیدن یک انتخاب..."
"Ship Bundle Items","ارسال مجموعه محصولات"
"Position","موقعيت"
"There are no products in this option.","هیچ محصولی در این گزینه وجود ندارد."
"Default","پیش فرض"
"Ordered","سفارش داده شده"
"Invoiced","فاکتور شده"
"Shipped","ارسال شده"
"Refunded","مسترد"
"Canceled","لغو شده"
"As low as","از حداقل"
"Regular Price","قیمت عادی"
"From","از"
"To","به"
"Buy %1 with %2 discount each","خرید %1 با تخفیف %2 برای هر کدام"
"Go back to product details","بازگشت به جزئیات محصول"
"Customize and Add to Cart","سفارشی سازی و افزودن به سبد خرید"
"* Required Fields","* زمينه هاي مورد نياز"
"Your Customization","سفارشی سازی شما"
"Availability","دسترسی"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Summary","خلاصه"
"%1 x %2","%1 x %2"
"Availability:","موجودی:"
"Quantity","تعداد"
"Customize %1","سفارشی سازی %1"
"No options of this product are available.","هیچ گزینه‌ ای از این محصول در دسترس نیست."
"Gift Message","پيغام هديه"
"From:","از:"
"To:","به:"
"Message:","پیغام:"
"Product Name","نام محصول"
"Subtotal","جمع جز"
"Discount Amount","مبلغ تخفیف"
"Row Total","جمع سطر"
"Qty Invoiced","تعداد فاکتور شده"
"Qty Shipped","تعداد ارسال شده"
"Add Products to New Option","افزودن محصولات به گزینه جدید"
"Add Products to Option ""%1""","افزودن محصولات به گزینه ""%1"""
"Select...","انتخاب..."
"Status","وضعيت"
"Thumbnail","تصویر بندانگشتی"
"Type","نوع"
"Special Price","قیمت ویژه"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
