"Percent Discount","සියයට වට්ටමක්"
"-- Select --","-- තෝරන්න --"
"Dynamic","ගතික"
"Fixed","ස්ථාවර"
"Create New Option","නව විකල්පය සාදන්න"
"Bundle Items","බණ්ඩල් අයිතම"
"Add Products to Option","විකල්පයට නිෂ්පාදන එක් කරන්න"
"Close","වසන්න"
"Delete Option","මකන්න විකල්පය"
"What are you looking for?","ඔයා බලමින් සිටින්නේ කුමක් ද?"
"ID","හැඳුනුම්පත"
"Product","නිෂ්පාදන"
"SKU","SKU"
"Price","මිල"
"Delete","මකන්න"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"There is no defined renderer for ""%1"" option type.","""%1"" විකල්ප වර්ගය සඳහා නිශ්චිත විදැහුම්කරුවෙකු නොමැත."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","දරුවා සුරැකීමට නොහැකි විය: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","නිශ්චිත sku සහිත නිෂ්පාදනය: ""%1"" විකල්පය අඩංගු නොවේ: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","නිශ්චිත sku සහිත දරුවා: ""%1"" දැනටමත් නිෂ්පාදනයට පවරා ඇත: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","මිල පරාසය"
"As Low as","තරම් අඩුයි"
"Together","එක්ව"
"Separately","වෙනම"
"Please specify product option(s).","කරුණාකර නිෂ්පාදන විකල්පය(ය) සඳහන් කරන්න."
"The options you selected are not available.","ඔබ තෝරාගත් විකල්ප නොමැත."
"The required options you selected are not available.","ඔබ තෝරාගත් අවශ්‍ය විකල්ප නොමැත."
"Please select all required options.","කරුණාකර අවශ්‍ය සියලු විකල්ප තෝරන්න."
"We can't add this item to your shopping cart right now.","අපට මෙම අයිතමය දැන් ඔබේ සාප්පු කරත්තයට එක් කළ නොහැක."
"N/A","N/A"
"Percent","සියයට"
"We can't save custom-defined options for bundles with dynamic pricing.","ගතික මිලකරණය සහිත මිටි සඳහා අභිරුචි-නිර්වචනය කළ විකල්ප සුරැකිය නොහැක."
"Cancel","අවලංගු කරන්න"
"Add Selected Products","තෝරාගත් නිෂ්පාදන එකතු කරන්න"
"Add Option","විකල්පය එකතු කරන්න"
"New Option","නව විකල්පය"
"Option Title","විකල්ප මාතෘකාව"
"Default Title","පෙරනිමි මාතෘකාව"
"Store View Title","ගබඩා දැක්ම මාතෘකාව"
"Input Type","ආදාන වර්ගය"
"Drop-down","පතන"
"Radio Buttons","ගුවන්විදුලි බොත්තම්"
"Checkbox","පිරික්සුම් කොටුව"
"Multiple Select","බහු තේරීම"
"Required","අවශ්යයි"
"Is Default","පෙරනිමි වේ"
"Name","නම"
"Default Quantity","පෙරනිමි ප්රමාණය"
"User Defined","පරිශීලක අර්ථ දක්වා ඇත"
"Price Type","මිල වර්ගය"
"None","කිසිවක් නැත"
"Quantity:","ප්රමාණය:"
"Choose a selection...","තේරීමක් තෝරන්න..."
"Ship Bundle Items","නැව් බණ්ඩල් අයිතම"
"Position","තනතුර"
"There are no products in this option.","මෙම විකල්පය තුළ නිෂ්පාදන නොමැත."
"Default","පෙරනිමිය"
"Ordered","ඇණවුම් කළා"
"Invoiced","ඉන්වොයිස් කර ඇත"
"Shipped","නැව්ගත කර ඇත"
"Refunded","ආපසු ගෙවන ලදී"
"Canceled","අවලංගු කළා"
"As low as","තරම් අඩුයි"
"Regular Price","නිත්ය මිල"
"From","සිට"
"To","වෙත"
"Buy %1 with %2 discount each","%2 බැගින් වට්ටම් සහිතව %1 මිලදී ගන්න"
"Go back to product details","නිෂ්පාදන විස්තර වෙත ආපසු යන්න"
"Customize and Add to Cart","අභිරුචිකරණය කර කරත්තයට එක් කරන්න"
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Your Customization","ඔබේ අභිරුචිකරණය"
"Availability","පවතින බව"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Summary","සාරාංශය"
"%1 x %2","%1 x %2"
"Availability:","පවතින බව:"
"Quantity","ප්රමාණය"
"Customize %1","%1අභිරුචිකරණය කරන්න"
"No options of this product are available.","මෙම නිෂ්පාදනය සඳහා විකල්ප නොමැත."
"Gift Message","තෑගි පණිවිඩය"
"From:","සිට:"
"To:","වෙත:"
"Message:","පණිවුඩය:"
"Product Name","නිෂ්පාදන නාමය"
"Subtotal","උප එකතුව"
"Discount Amount","වට්ටම් මුදල"
"Row Total","පේළි එකතුව"
"Qty Invoiced","Qty ඉන්වොයිස්"
"Qty Shipped","Qty නැව්ගත කර ඇත"
"Add Products to New Option","නව විකල්පයට නිෂ්පාදන එක් කරන්න"
"Add Products to Option ""%1""","""%1"" විකල්පයට නිෂ්පාදන එක් කරන්න"
"Select...","තෝරන්න..."
"Status","තත්ත්වය"
"Thumbnail","සිඟිති රුව"
"Type","ටයිප් කරන්න"
"Special Price","විශේෂ මිල"
"This is implemented for bundle products only.","මෙය ක්‍රියාත්මක වන්නේ බණ්ඩල් නිෂ්පාදන සඳහා පමණි."
"The product with the ""%1"" SKU isn't a bundle product.","""%1"" SKU සහිත නිෂ්පාදනය මිටි නිෂ්පාදනයක් නොවේ."
"The bundle product can't contain another composite product.","බණ්ඩල් නිෂ්පාදනයේ වෙනත් සංයුක්ත නිෂ්පාදනයක් අඩංගු විය නොහැක."
"The product link needs an ID field entered. Enter and try again.","නිෂ්පාදන සබැඳියට ID ක්ෂේත්‍රයක් ඇතුළත් කිරීමට අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","""%1"" ID ක්ෂේත්‍රය සමඟ නිෂ්පාදන සබැඳිය හමු නොවිණි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
