"Percent Discount","Procenat popusta"
"-- Select --","--Izaberite--"
"Dynamic","Dinamički"
"Fixed","Fiksno"
"Create New Option","Kreirajte novu opciju"
"Bundle Items","Artikli u paketu"
"Add Products to Option","Dodati opcije za proizvode"
"Close","Zatvori"
"Delete Option","Opcija brisanja"
"What are you looking for?","Šta tražite?"
"ID","ID"
"Product","Proizvod"
"SKU","Šifra"
"Price","Cena"
"Delete","Obrisati"
"Use Default Value","Koristite podrazumevane vrednosti"
"There is no defined renderer for ""%1"" option type.","Nema definisanih pruženih usluga za opciju tipa „%1”."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Ne može se sačuvati veza: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Proizvod sa navedenom šifrom: „%1” ne sadrži opciju: „%2”"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Dete sa navedenom šifrom: ""%1"" je već dodeljen proizvodu: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Cenovni rang"
"As Low as","Sniženje"
"Together","Zajedno"
"Separately","Posebno"
"Please specify product option(s).","Molim vas da navedete opciju(e) proizvoda."
"The options you selected are not available.","Opcije koje ste izabrali nisu dostupne."
"The required options you selected are not available.","Obavezne opcije koje ste izabrali nisu dostupne."
"Please select all required options.","Molimo izaberite sve obavezne opcije."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"N/A","N/A - nije dostupno"
"Percent","Procenat"
"We can't save custom-defined options for bundles with dynamic pricing.","Mi ne možemo da sačuvamo korisnički prilagođene opcije za pakete sa dinamičkim cenama."
"Cancel","Odustani"
"Add Selected Products","Dodati izabrane proizvode"
"Add Option","Dodati opciju"
"New Option","Nova opcija"
"Option Title","Naziv opcije"
"Default Title","Podrazumevani naslov"
"Store View Title","Naslov izgleda prodavnice"
"Input Type","Vrsta unosa"
"Drop-down","Padajuće"
"Radio Buttons","Radio dugmići"
"Checkbox","Polje za potvrdu"
"Multiple Select","Izbor više stavki"
"Required","Obavezno"
"Is Default","Je podrazumevano"
"Name","Ime"
"Default Quantity","Podrazumevana količina"
"User Defined","Korisnički definisane"
"Price Type","Vrstu cena"
"None","Ništa"
"Quantity:","Količina:"
"Choose a selection...","Odaberite selekciju..."
"Ship Bundle Items","Isporuka artikala u paketu"
"Position","Pozicija"
"There are no products in this option.","Nema proizvoda u listi opcija."
"Default","Podrazumevani"
"Ordered","Porućeno"
"Invoiced","Faktura"
"Shipped","Isporučeno"
"Refunded","Povraćen novac"
"Canceled","Otkazano"
"As low as","Sniženje"
"Regular Price","Redovna cena"
"From","Od"
"To","Do"
"Buy %1 with %2 discount each","Kupi %1 sa %2 popustom za svaki"
"Go back to product details","Vrati se na detalje o proizvodu"
"Customize and Add to Cart","Prilagodi i Dodaj u korpu"
"* Required Fields","* Obavezna polja"
"Your Customization","Vaše prilagođavanje"
"Availability","Dostupnost"
"In stock","Na stanju"
"Out of stock","Nema na lageru"
"Summary","Rezime"
"%1 x %2","%1 x %2"
"Availability:","Dostupnost:"
"Quantity","Količina"
"Customize %1","Prilagodi %1"
"No options of this product are available.","Ni jedna opcija za ovaj proizvod nije dostupna."
"Gift Message","Poklon poruka"
"From:","Od:"
"To:","Za:"
"Message:","Poruka:"
"Product Name","Naziv proizvoda"
"Subtotal","Međuzbir"
"Discount Amount","Iznos popusta"
"Row Total","Red ukupno"
"Qty Invoiced","Fakturisana kol."
"Qty Shipped","Isporučena kol."
"Add Products to New Option","Dodavanje proizvoda u novu opciju"
"Add Products to Option ""%1""","Dodavanje proizvoda na opciju „%1”"
"Select...","Izabrati..."
"Status","Status"
"Thumbnail","Sličice"
"Type","Tip"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
