"Percent Discount","Foiz stavkasi"
"-- Select --","-- Tanlang --"
"Dynamic","Dinamik"
"Fixed","Ruxsat etilgan"
"Create New Option","Yangi variant yaratish"
"Bundle Items","Bundle Items"
"Add Products to Option","Variantlarga mahsulot qo'shish"
"Close","Yoping"
"Delete Option","Variantni o'chirish"
"What are you looking for?","Siz nimani izlayapsiz?"
"ID","ID"
"Product","Mahsulot"
"SKU","SKU"
"Price","Narx"
"Delete","O‘chirish"
"Use Default Value","Standart qiymatdan foydalaning"
"There is no defined renderer for ""%1"" option type.","""%1"" variant turi uchun maxsus hisobot berish usuli yo'q."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Mahsulot saqlanmadi: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Ko'rsatilgan skuga ega mahsulot: ""%1"" parametri mavjud emas: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Ko'rsatilgan skuga ega bo'lgan avlod: ""%1"" mahsulotiga allaqachon tayinlangan: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Narxlar oralig'i"
"As Low as","Juda kam"
"Together","Birgalikda"
"Separately","Alohida"
"Please specify product option(s).","Mahsulot parametrlarini kiriting."
"The options you selected are not available.","Siz tanlagan variantlar mavjud emas."
"The required options you selected are not available.","Siz tanlagan kerakli variantlar mavjud emas."
"Please select all required options.","Iltimos, barcha kerakli variantlarni tanlang."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"N/A","N/A"
"Percent","Foiz"
"We can't save custom-defined options for bundles with dynamic pricing.","Paket uchun maxsus parametrlarni dinamik narxlash bilan saqlab bo'lmaydi."
"Cancel","Bekor qilish"
"Add Selected Products","Tanlangan mahsulotlarni qo'shing"
"Add Option","Parametr qo'shish"
"New Option","Yangi parametr"
"Option Title","Parametr nomi"
"Default Title","Standart nom"
"Store View Title","Do'kon ko'rinishi sarlavhasi"
"Input Type","Kirish turi"
"Drop-down","Ochiladigan ro'yxat"
"Radio Buttons","Radio tugmalari"
"Checkbox","Belgilar qutisi"
"Multiple Select","Ko'p tanlov"
"Required","Majburiy"
"Is Default","Standart"
"Name","Ism"
"Default Quantity","Standart miqdori"
"User Defined","Foydalanuvchi uchun belgilangan"
"Price Type","Narx turi"
"None","Yo'q"
"Quantity:","Miqdor:"
"Choose a selection...","Tanlovni tanlang..."
"Ship Bundle Items","Mahsulot paketini kiriting"
"Position","Obyekt"
"There are no products in this option.","Ushbu versiyada hech qanday tovarlar yo'q."
"Default","Standart"
"Ordered","Buyurtma qilingan"
"Invoiced","Xarajatlar"
"Shipped","Yuborildi"
"Refunded","Qaytarildi"
"Canceled","Bekor qilindi"
"As low as","Juda kam"
"Regular Price","Muntazam narx"
"From","-dan"
"To","-ga"
"Buy %1 with %2 discount each","%1 ni %2 chegirma bilan sotib oling"
"Go back to product details","Mahsulot ma'lumotlariga qaytish"
"Customize and Add to Cart","Moslashtiring va savatga qo'shing"
"* Required Fields","* To'ldirilishi majburiy joylar"
"Your Customization","Sizning sozlamalaringiz"
"Availability","Mavjudligi"
"In stock","Omborda mavjud"
"Out of stock","Sotib bo'lingan"
"Summary","Xulosa"
"%1 x %2","%1 x %2"
"Availability:","Mavjudligi:"
"Quantity","Miqdor"
"Customize %1","%1 moslashtiring"
"No options of this product are available.","Ushbu mahsulotning variantlari mavjud emas."
"Gift Message","Sovg'a xabarlari"
"From:","Kimdan:"
"To:","Kimga:"
"Message:","Xabar:"
"Product Name","Mahsulot nomi"
"Subtotal","Jami summ"
"Discount Amount","Chegirma miqdori"
"Row Total","Umumiy satrlar"
"Qty Invoiced","Qat'iy miqdori"
"Qty Shipped","Miqdor yuborildi"
"Add Products to New Option","Mahsulotlarni yangi variantga qo'shish"
"Add Products to Option ""%1""","""%1"" parametriga mahsulot qo'shish"
"Select...","Tanlang..."
"Status","Holat"
"Thumbnail","Kichik rasm"
"Type","Turi"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
