"Percent Discount","Disconto de Percentagem"
"-- Select --","-- Seleccione --"
"Dynamic","Dinâmico"
"Fixed","Fixo"
"Create New Option","Criar Nova Opção"
"Bundle Items","Items do pacote"
"Add Products to Option","Adicionar Produtos à Opção"
"Close","Fechar"
"Delete Option","Apagar Opção"
"What are you looking for?","O que procura?"
"ID","Id."
"Product","Produto"
"SKU","REF"
"Price","Preço"
"Delete","Eliminar"
"Use Default Value","Usar o Valor Pré-definido"
"There is no defined renderer for ""%1"" option type.","Não existe renderer definido para o tipo de opção ""%1""."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Não foi possível gravar o sub-produto: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","O produto com a referência indicada: ""%1"" não contém a opção: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","O sub-produto com a referência indicada: ""%1"" já está atribuído ao produto: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Intervalo de Preços"
"As Low as","Tão baixo como"
"Together","Em conjunto"
"Separately","Separadamente"
"Please specify product option(s).","Por favor escolha a configuração do produto."
"The options you selected are not available.","As configurações que selecionou não estão disponíveis."
"The required options you selected are not available.","As configurações obrigatórias que selecionou não estão disponíveis."
"Please select all required options.","Por favor seleccione todas as configurações obrigatórias."
"We can't add this item to your shopping cart right now.","De momento não é possível adicionar este item ao seu carrinho de compras."
"N/A","N/D"
"Percent","Por cento"
"We can't save custom-defined options for bundles with dynamic pricing.","Não é possível guardar opções definidas de forma personalizada em pacotes com preços dinâmicos."
"Cancel","Cancelar"
"Add Selected Products","Adicionar Produtos Selecionados"
"Add Option","Adicionar Opção"
"New Option","Nova Opção"
"Option Title","Título da opção"
"Default Title","Título por Omissão"
"Store View Title","Título da Vista de Loja"
"Input Type","Tipo de input"
"Drop-down","Menu"
"Radio Buttons","Botões de radio"
"Checkbox","Caixa de seleção"
"Multiple Select","Seleção Múltipla"
"Required","Obrigatório"
"Is Default","Utilizar por pré-definição"
"Name","Nome"
"Default Quantity","Quantidade Pré-definida"
"User Defined","Definido pelo Utilizador"
"Price Type","Tipo de Preço"
"None","Nenhum"
"Quantity:","Quantidade:"
"Choose a selection...","Selecione uma opção..."
"Ship Bundle Items","Enviar Produtos de Pack"
"Position","Posição"
"There are no products in this option.","Não existem produtos nesta opção."
"Default","Pré-definido"
"Ordered","Encomendada"
"Invoiced","Faturada"
"Shipped","Enviada"
"Refunded","Reembolsada"
"Canceled","Cancelada"
"As low as","Tão baixo quanto"
"Regular Price","Preço Normal"
"From","De"
"To","Para"
"Buy %1 with %2 discount each","Compre %1 com %2 de desconto em cada unidade"
"Go back to product details","Voltar para detalhes do produto"
"Customize and Add to Cart","Personalizar e Adicionar ao Carrinho"
"* Required Fields","* Campos Obrigatórios"
"Your Customization","A Sua Personalização"
"Availability","Disponibilidade"
"In stock","Em stock"
"Out of stock","Esgotado"
"Summary","Resumo"
"%1 x %2","%1 x %2"
"Availability:","Disponibilidade:"
"Quantity","Quantidade"
"Customize %1","Personalizar %1"
"No options of this product are available.","Nenhuma das opções deste produto está disponível."
"Gift Message","Mensagem da Oferta"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Product Name","Nome do Produto"
"Subtotal","Subtotal"
"Discount Amount","Desconto"
"Row Total","Total da Linha"
"Qty Invoiced","Qtd Faturada"
"Qty Shipped","Qtd Enviada"
"Add Products to New Option","Adicionar Produtos à Nova Opção"
"Add Products to Option ""%1""","Adicionar Produtos à Opção ""%1"""
"Select...","Selecione..."
"Status","Estado"
"Thumbnail","Imagem Miniatura"
"Type","Tipo"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
