"Percent Discount","Porcentaje de descuento"
"-- Select --","-- Seleccione --"
"Dynamic","Dinámica"
"Fixed","Fijo"
"Create New Option","Crear Nueva Opción"
"Bundle Items","Elementos en paquete"
"Add Products to Option","Añadir productos a la opción"
"Close","Cerrar"
"Delete Option","Eliminar opción"
"What are you looking for?","¿Qué estás buscando?"
"ID","Número de Identificación (ID)"
"Product","Producto"
"SKU","Art"
"Price","Precio"
"Delete","Eliminar"
"Use Default Value","Usar Valor Predeterminado"
"There is no defined renderer for ""%1"" option type.","No hay renderizador definido para el tipo de opción ""%1""."
"Only implemented for bundle product","Implementado solo para paquete de productos"
"Product with specified sku: ""%1"" is not a bundle product","El producto con el sku especificado: ""%1"" no es un paquete de productos"
"Bundle product could not contain another composite product","El paquete de productos no puede contener otro producto compuesto"
"Id field of product link is required","El campo Id del enlace de producto es obligatorio"
"Can not find product link with id ""%1""","No se puede encontrar el enlace de producto con el id ""%1"""
"Could not save child: ""%1""","No se puede guardar subproducto: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","El producto con la sku especificada: ""%1"" no contiene la opción: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Subproducto con el sku especificado: ""%1"" ya asignado al producto: ""%2"""
"Product with specified sku: %1 is not a bundle product","El producto con el sku especificado: %1 no es un paquete de productos"
"Requested bundle option product doesn't exist","La opción solicitada del paquete de productos no existe"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","La opción solicitada no existe"
"Cannot delete option with id %1","No se puede eliminar la opción con id %1"
"Could not save option","No se puede guardar la opción"
"Price Range","Rango de precios"
"As Low as","Tan bajo como"
"Together","Juntos"
"Separately","Por separado"
"Please specify product option(s).","Por favor, especifique la(s) opción(es) del producto."
"The options you selected are not available.","Las opciones seleccionadas no están disponibles."
"The required options you selected are not available.","Las opciones requeridas seleccionadas no están disponibles."
"Please select all required options.","Por favor seleccione todas las opciones requeridas."
"We can't add this item to your shopping cart right now.","No se puede añadir este artículo al carrito de compras en este momento."
"N/A","No disponible"
"Percent","Porcentaje"
"We can't save custom-defined options for bundles with dynamic pricing.","No podemos guardar las opciones personalizadas para conjuntos con precio dinámico."
"Cancel","Cancelar"
"Add Selected Products","Añadir los artículos seleccionados"
"Add Option","Agregar opción"
"New Option","Nueva opción"
"Option Title","Título de opciones"
"Default Title","Título (predeterminado)"
"Store View Title","Título de vista de tienda"
"Input Type","Introducir tipo"
"Drop-down","Menú desplegable"
"Radio Buttons","Botones de radio"
"Checkbox","Casilla de verificación"
"Multiple Select","Selección múltiple"
"Required","Obligatorio"
"Is Default","Es por defecto"
"Name","Nombre"
"Default Quantity","Cantidad predeterminada"
"User Defined","Personalizado"
"Price Type","Tipo de precio"
"None","Ninguno"
"Quantity:","Cantidad:"
"Choose a selection...","Elija una selección..."
"Ship Bundle Items","Enviar artículos de paquete"
"Position","Destacados"
"There are no products in this option.","No existen productos en esta opción."
"Default","Por defecto"
"Ordered","Pedido realizado"
"Invoiced","Facturado"
"Shipped","Enviado"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"As low as","Tan bajo como"
"Regular Price","Precio habitual"
"From","De"
"To","Para"
"Buy %1 with %2 discount each","Compra %1 con %2 de descuento"
"Go back to product details","Volver a detalles del producto"
"Customize and Add to Cart","Personalizar y añadir al carrito de compras"
"* Required Fields","* Campos Requeridos"
"Your Customization","Su personalización"
"Availability","Disponibilidad"
"In stock","En stock"
"Out of stock","Sin stock"
"Summary","Resumen"
"%1 x %2","%1 x %2"
"Availability:","Disponibilidad:"
"Quantity","Cantidad"
"Customize %1","Personalizar %1"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"Gift Message","Mensaje de regalo"
"From:","De:"
"To:","Para:"
"Message:","Mensaje:"
"Product Name","Nombre del Producto"
"Subtotal","Subtotal"
"Discount Amount","Cantidad descontada"
"Row Total","Fila total"
"Qty Invoiced","Cantidad facturada"
"Qty Shipped","Cantidad enviada"
"Add Products to New Option","Añadir productos a la nueva opción"
"Add Products to Option ""%1""","Añadir productos a la opción ""%1"""
"Select...","Seleccionar..."
"Status","Estado"
"Thumbnail","Miniatura"
"Type","Tipo"
"Special Price","Precio especial"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","La opción no pudo guardarse."
"""%fieldName"" is required. Enter and try again.","Se requiere ""%fieldName"". Introdúzcalo y vuelva a intentarlo."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
