"Percent Discount","ശതമാനം കിഴിവ്"
"-- Select --","സെലക്ട് ചെയ്യുക"
"Dynamic","ഡൈനാമിക്"
"Fixed","നിശ്ചിതമായ"
"Create New Option","പുതിയ ഓപ്ഷൻ സൃഷ്ടിക്കുക"
"Bundle Items","ഇനങ്ങൾ ബണ്ടിൽ ചെയ്യുക"
"Add Products to Option","ഓപ്ഷനിലേക്ക് ഉൽപ്പന്നങ്ങൾ ചേർക്കുക"
"Close","അടയ്ക്കുക"
"Delete Option","ഓപ്ഷൻ ഇല്ലാതാക്കുക"
"What are you looking for?","എന്താണ് നിങ്ങൾ തിരയുന്നത്?"
"ID","ഐഡി"
"Product","ഉൽപ്പന്നം"
"SKU","SKU"
"Price","വില"
"Delete","നീക്കം ചെയ്യുക"
"Use Default Value","സ്ഥിര മൂല്യം ഉപയോഗിക്കുക"
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"Only implemented for bundle product","ബണ്ടിൽ ഉൽപ്പന്നത്തിനായി മാത്രം നടപ്പിലാക്കി"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","ബണ്ടിൽ ഉൽപ്പന്നത്തിൽ മറ്റൊരു സംയോജിത ഉൽപ്പന്നം അടങ്ങിയിരിക്കരുത്"
"Id field of product link is required","ഉൽപ്പന്ന ലിങ്കിന്റെ ഐഡി ഫീൽഡ് ആവശ്യമാണ്"
"Can not find product link with id ""%1""","""%1"" ഐഡി ആയുള്ള ഉൽപ്പന്ന ലിങ്ക് കണ്ടെത്താനായില്ല"
"Could not save child: ""%1""","Could not save child: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product with specified sku: ""%1"" does not contain option: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Child with specified sku: ""%1"" already assigned to product: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","അഭ്യർത്ഥിച്ച ബണ്ടിൽ ഓപ്ഷൻ ഉൽപ്പന്നം നിലവിലില്ല"
"%fieldName is a required field.","%fഫീൽഡ്നെയിം ഒരു ആവശ്യമായ ഫീൽഡാണ്."
"Requested option doesn't exist","അഭ്യർത്ഥിച്ച ഓപ്‌ഷൻ നിലവിലില്ല"
"Cannot delete option with id %1","ഐഡി %1 ഉള്ള ഓപ്‌ഷൻ ഇല്ലാതാക്കാൻ കഴിയില്ല"
"Could not save option","ഓപ്ഷൻ സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല"
"Price Range","വില പരിധി"
"As Low as","അത്രയും കുറവാണ്"
"Together","ഒരുമിച്ച്"
"Separately","വെവ്വേറെ"
"Please specify product option(s).","ഉൽപ്പന്ന ഓപ്ഷൻ (കൾ) വ്യക്തമാക്കുക."
