"Percent Discount","Відсоткова знижка"
"-- Select --","-- Виберіть --"
"Dynamic","Динамічна"
"Fixed","Фіксована"
"Create New Option","Створити нову опцію"
"Bundle Items","Позиції комплекту"
"Add Products to Option","Додати товари до опції"
"Close","Закрити"
"Delete Option","Видалити опцію"
"What are you looking for?","Що Ви шукаєте?"
"ID","Ідентифікатор"
"Product","Продукт"
"SKU","Артикул"
"Price","Ціна"
"Delete","Видалити"
"Use Default Value","Використовувати типове значення"
"There is no defined renderer for ""%1"" option type.","Немає визначеного візуалізатора для типу опції ""%1""."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Не вдалося зберегти дочірній: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Товар із вказаним артикулом: ""%1"" не містить опцію: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Дочірній із вказаним артикулом: ""%1"" уже призначений товарові: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Ціновий діапазон"
"As Low as","Від"
"Together","Разом"
"Separately","Порізно"
"Please specify product option(s).","Будь ласка, вкажіть опцію(ї) товару."
"The options you selected are not available.","Вибрані Вами опції є недоступні."
"The required options you selected are not available.","Вибрані Вами обов'язкові опції є недоступні."
"Please select all required options.","Будь ласка, оберіть усі обов'язкові опції."
"We can't add this item to your shopping cart right now.","Наразі ми не можемо додати цю позицію до вашого кошику."
"N/A","Н/Д"
"Percent","Відсоток"
"We can't save custom-defined options for bundles with dynamic pricing.","Ми не можемо зберегти користувацькі опції для комплектів з динамічним ціноутворенням."
"Cancel","Скасувати"
"Add Selected Products","Додати вибрані товари"
"Add Option","Додати опцію"
"New Option","Нова опція"
"Option Title","Назва опції"
"Default Title","Заголовок за промовчанням"
"Store View Title","Заголовок виду магазину"
"Input Type","Тип вводу"
"Drop-down","Випадаючий"
"Radio Buttons","Радіокнопки"
"Checkbox","Прапорець"
"Multiple Select","Множинний вибір"
"Required","Обов'язкове"
"Is Default","Є за промовчанням"
"Name","Назва"
"Default Quantity","Типова кількість"
"User Defined","Визначене користувачем"
"Price Type","Тип ціни"
"None","Жоден"
"Quantity:","Кількість:"
"Choose a selection...","Вибрати добірку..."
"Ship Bundle Items","Відправляти комплектні позиції"
"Position","Позиція"
"There are no products in this option.","Немає товарів у цій опції."
"Default","За промовчанням"
"Ordered","Замовлено"
"Invoiced","Виставлено рахунок"
"Shipped","Відправлено"
"Refunded","Повернено"
"Canceled","Скасовано"
"As low as","Від"
"Regular Price","Звичайна ціна"
"From","Від"
"To","До"
"Buy %1 with %2 discount each","Купити %1 зі знижкою %2 кожний"
"Go back to product details","Повернутися до подробиць товару"
"Customize and Add to Cart","Змінити під потреби і додати до кошика"
"* Required Fields","* Обов'язкові поля"
"Your Customization","Ваші налаштування"
"Availability","Наявність"
"In stock","В наявності"
"Out of stock","Немає у наявності"
"Summary","Підсумок"
"%1 x %2","%1 x %2"
"Availability:","Наявність:"
"Quantity","Кількість"
"Customize %1","Змінити під потреби %1"
"No options of this product are available.","Немає доступних опцій цього товару."
"Gift Message","Подарункове повідомлення"
"From:","Від:"
"To:","До:"
"Message:","Повідомлення:"
"Product Name","Назва товару"
"Subtotal","Проміжні підсумки"
"Discount Amount","Сума знижки"
"Row Total","Підсумок рядка"
"Qty Invoiced","К-ть виставлених рахунків"
"Qty Shipped","Відправлена к-сть"
"Add Products to New Option","Додати товари до нової опції"
"Add Products to Option ""%1""","Додати товари до опції ""%1"""
"Select...","Виберіть..."
"Status","Статус"
"Thumbnail","Мініатюра"
"Type","Тип"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
