"Percent Discount","Prozent Rabatt"
"-- Select --","--Auswählen--"
"Dynamic","Dynamisch"
"Fixed","Festkosten"
"Create New Option","Neue Option erstellen"
"Bundle Items","Bündel-Artikel"
"Add Products to Option","Produkte zur Option hinzufügen"
"Close","Schließen"
"Delete Option","Menge:"
"What are you looking for?","Was suchen Sie?"
"ID","Id"
"Product","Produkt"
"SKU","Artikelnummer"
"Price","Preis"
"Delete","Löschen"
"Use Default Value","Standardwert verwenden"
"There is no defined renderer for ""%1"" option type.","Es ist kein Renderer für ""%1"" Optionstyp definiert."
"Only implemented for bundle product","Nur Bündelprodukte implementiert"
"Product with specified sku: ""%1"" is not a bundle product","Produkt mit der Artikelnummer ""%1"" ist kein Bündelprodukt"
"Bundle product could not contain another composite product","Bündelprodukt kann kein anderes zusammengesetztes Produkt enthalten"
"Id field of product link is required","ID Feld des Produktlinks wird benötigt"
"Can not find product link with id ""%1""","Produkt Link mit der Id ""%1"" konnte nicht gefunden werden."
"Could not save child: ""%1""","Untergeordnetes Element konnte nicht gespeichert werden: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkt mit der angegebenen Artikelnummer: ""%1"" enthält keine Option: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Kindelement mit der angegebenen Artikelnummer ""%1"" wurde bereits Artikel %2 zugewiesen."
"Product with specified sku: %1 is not a bundle product","Produkt mit der angegebenen sku: %1 ist kein Bundle Produkt"
"Requested bundle option product doesn't exist","Angefordertes Bundle Option Produkt existiert nicht"
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"Requested option doesn't exist","Angeforderte Option existiert nicht"
"Cannot delete option with id %1","Option mit id %1 kann nicht gelöscht werden"
"Could not save option","Konnte Option nicht speichern"
"Price Range","Preisbereich"
"As Low as","Nur"
"Together","Zusammen"
"Separately","Separat"
"Please specify product option(s).","Bitte Produktoption(en) angeben."
"The options you selected are not available.","Die ausgewählten Optionen sind nicht verfügbar."
"The required options you selected are not available.","Die erforderlichen Optionen, die Sie ausgewählt haben, sind nicht verfügbar."
"Please select all required options.","Bitte wählen Sie alle benötigten Optionen aus."
"We can't add this item to your shopping cart right now.","Der Artikel konnte nicht in Ihren Warenkorb gelegt werden."
"N/A","Keine Angabe"
"Percent","Prozent"
"We can't save custom-defined options for bundles with dynamic pricing.","Wir können benutzerdefinierte Optionen für Bundles mit dynamischen Preisgestaltung nicht speichern."
"Cancel","Stornieren"
"Add Selected Products","Füge ausgewählte Artikel hinzu"
"Add Option","Option hinzufügen"
"New Option","Neue Option"
"Option Title","Titel Option"
"Default Title","Standardtitel"
"Store View Title","Titel des Store View"
"Input Type","Eingabetyp"
"Drop-down","Dropdown-Liste"
"Radio Buttons","Optionsfelder (Radio Buttons)"
"Checkbox","Auswahlfeld (Checkbox)"
"Multiple Select","Mehrfach Auswahl"
"Required","Erforderlich"
"Is Default","Ist voreingestellt"
"Name","Name"
"Default Quantity","Standardmenge"
"User Defined","Benutzerdefiniert"
"Price Type","Preistyp"
"None","Keine"
"Quantity:","Menge:"
"Choose a selection...","Treffen Sie eine Auswahl..."
"Ship Bundle Items","Paket-Artikel versenden"
"Position","Reihenfolge"
"There are no products in this option.","Es gibt keine Artikel in dieser Wahl."
"Default","Voreinstellung"
"Ordered","Bestellt"
"Invoiced","In Rechnung gestellt"
"Shipped","Versandt"
"Refunded","Erstattet"
"Canceled","Storniert"
"As low as","Ab"
"Regular Price","Regulärer Preis"
"From","Von"
"To","Bis"
"Buy %1 with %2 discount each","%1 mit jeweils %2 Rabatt kaufen"
"Go back to product details","Zurück zu den Produktdetails"
"Customize and Add to Cart","Anpassen und in den Warenkorb legen"
"* Required Fields","* Pflichtfelder"
"Your Customization","Ihre Anpassung"
"Availability","Verfügbarkeit"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Summary","Zusammenfassung"
"%1 x %2","%1 x %2"
"Availability:","Verfügbarkeit:"
"Quantity","Menge"
"Customize %1","%1 anpassen"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"Gift Message","Geschenknachricht"
"From:","Von:"
"To:","Bis:"
"Message:","Nachricht:"
"Product Name","Artikelname"
"Subtotal","Zwischensumme"
"Discount Amount","Rabattbetrag"
"Row Total","Pos. Zwischensumme"
"Qty Invoiced","Menge in Rechnung gestellt"
"Qty Shipped","Versandte Menge"
"Add Products to New Option","Füge Artikel zur neuen Option hinzu"
"Add Products to Option ""%1""","Füge Artikel zur Option ""%1"" hinzu"
"Select...","Bitte wählen..."
"Status","Status"
"Thumbnail","Vorschaubild"
"Type","Typ"
"Special Price","Sonderpreis"
"This is implemented for bundle products only.","Nur für Bundle-Produkte implementiert."
"The product with the ""%1"" SKU isn't a bundle product.","Das Produkt mit der Artikelnummer ""%1"" ist kein Bundle-Produkt."
"The bundle product can't contain another composite product.","Das Bundle-Produkt kann kein anderes zusammengesetztes Produkt enthalten."
"The product link needs an ID field entered. Enter and try again.","Der Produktlink benötigt ein eingegebenes ID-Feld. Geben Sie dieses ein und versuchen Sie es erneut."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Der Produktlink mit dem ID-Feld ""%1"" wurde nicht gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
