"Page not found.","Pagina niet gevonden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt dat u contact met ons opnam. U kunt spoedig op ons antwoord rekenen."
"An error occurred while processing your form. Please try again later.","Er is een fout opgetreden tijdens het verwerken van uw formulier. Probeer het later opnieuw."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Verplichte velden"
"Write Us","Neem contact met ons op"
"Jot us a note and we’ll get back to you as quickly as possible.","Laat een vraag of opmerking achter en wij zullen hier zo spoedig mogelijk op terugkomen."
"Name","Naam"
"Email","E-mail"
"Phone Number","Telefoonnummer"
"What’s on your mind?","Wat is uw vraag?"
"Submit","Bevestig"
"Contact Form","Contactformulier"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contact sectie"
"Contacts","Contacten"
"Contact Us","Neem contact met ons op"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Email Options","E-mail opties"
"Send Emails To","E-mails versturen aan"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
