"Page not found.","Страната не е пронајдена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Ви благодариме што не контактирате преку вашите коментари и прашања. Ќе ви одговориме во најкраток рок."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Задолжителни полиња"
"Write Us","Write Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"Name","Име"
"Email","Емаил"
"Phone Number","Телефонски број"
"What’s on your mind?","Што имате на ум?"
"Submit","Поднеси"
"Contact Form","Контакт формулар"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contacts Section"
"Contacts","Contacts"
"Contact Us","Contact Us"
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
