"Page not found.","Stránka nebyla nalezena."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Děkujeme, že nám zasíláte své připomínky, dotazy a komentáře. Jakmile to bude možné, odpovíme."
"An error occurred while processing your form. Please try again later.","Při zpracování formuláře došlo k chybě. Opakujte akci později."
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"* Required Fields","* Povinný údaj"
"Write Us","Napište nám"
"Jot us a note and we’ll get back to you as quickly as possible.","Zanechte nám zprávu a my se vám ozveme co nejdříve."
"Name","Jméno"
"Email","E-mail"
"Phone Number","Telefonní číslo"
"What’s on your mind?","Co máte na mysli?"
"Submit","Odeslat"
"Contact Form","Kontaktní formulář"
"Phone","Phone"
"Message","Message"
"Contacts Section","Sekce kontakty"
"Contacts","Kontakty"
"Contact Us","Napište nám"
"Enable Contact Us","Zapnout kontaktní formulář"
"Email Options","Nastavení e-mailu"
"Send Emails To","E-maily odesílat na"
"Email Sender","E-mail odesílatele"
"Email Template","Šablona e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
